training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,315.8086,3.6769,-0.1450
0,1,196.9693,2.0909,0.4371
0,2,170.3150,1.2919,0.5589
0,3,149.4402,1.5258,0.5686
0,4,133.5254,1.8592,0.4576
0,5,116.3344,1.1601,0.7515
0,6,119.0784,1.2522,0.7307
0,7,117.1606,1.3590,0.6367
0,8,105.6864,1.3388,0.7563
0,9,100.0127,1.1501,0.7572
0,10,132.7637,1.6273,0.7237
0,11,108.0620,1.0049,0.7626
0,12,94.3404,1.2660,0.6841
0,13,95.1972,1.5879,0.7892
0,14,104.8015,1.3198,0.7723
0,15,98.7160,0.9463,0.7793
0,16,101.6066,1.3606,0.7852
0,17,93.9498,1.3206,0.8037
0,18,85.3436,1.1117,0.7426
0,19,88.8758,1.3048,0.7873
0,20,88.1886,1.1210,0.7534
0,21,90.2101,1.4050,0.7712
0,22,78.9263,1.3292,0.8126
0,23,85.9287,1.2157,0.7467
0,24,81.3335,1.1245,0.7925
0,25,80.6987,1.2467,0.7585
0,26,78.5008,1.3293,0.7872
0,27,82.2078,0.9711,0.7831
0,28,76.2888,1.3809,0.8064
0,29,77.0334,1.0758,0.6738
0,30,73.4502,1.2212,0.7884
0,31,99.0981,1.3063,0.7532
0,32,111.9289,1.4732,-0.0909
0,33,94.0919,1.2311,0.7911
0,34,81.3392,1.4282,0.8210
0,35,79.6799,1.1821,0.6876
0,36,78.1185,1.2056,0.8376
0,37,76.9890,1.0875,0.8400
0,38,72.0602,1.0974,0.8310
0,39,71.6852,1.1028,0.8117
0,40,89.1428,1.4624,0.7708
0,41,93.6696,1.1637,0.7878
0,42,86.4351,1.1169,0.8085
0,43,80.8556,1.3723,0.7091
0,44,77.4906,1.1681,0.8220
0,45,75.2467,1.6473,0.8197
0,46,74.9469,1.0191,0.8345
0,47,91.4400,1.0873,0.7954
0,48,80.1749,1.1483,0.7465
0,49,76.8060,1.2482,0.7027
0,50,71.2183,1.5798,0.8473
0,51,73.3798,1.3004,0.8276
0,52,69.6249,1.0249,0.8357
0,53,87.1623,1.2126,0.8055
0,54,78.1808,1.1645,0.8333
0,55,83.4149,1.1315,0.7994
0,56,97.3079,1.1759,0.7958
0,57,84.9318,1.2541,0.8240
0,58,79.6022,1.2438,0.8264
0,59,75.7215,1.1841,0.7472
0,60,73.9327,1.1993,0.6198
0,61,70.6213,1.1763,0.7964
0,62,71.1480,1.1888,0.8453
0,63,69.8555,1.1927,0.8440
0,64,69.6737,1.1663,0.8497
0,65,77.9491,1.3430,0.8373
0,66,74.9993,1.2262,0.8201
0,67,69.8084,1.3105,0.8286
0,68,70.5472,1.1358,0.8463
0,69,82.7276,1.2329,0.7995
0,70,104.4614,1.5237,0.7663
0,71,87.6699,1.2868,0.8131
0,72,89.2315,1.4633,0.3822
0,73,121.0062,1.2661,0.7365
0,74,85.8912,1.1908,0.7953
0,75,80.8794,1.1853,0.8261
0,76,79.1189,1.4080,0.8309
0,77,78.6061,1.2480,0.7525
0,78,66.8932,1.2720,0.4584
0,79,69.3079,1.2264,0.8512
0,80,70.3709,1.2525,0.8532
0,81,69.6384,1.4319,0.6678
0,82,68.1430,1.2059,0.5047
0,83,70.3903,1.1655,0.8275
0,84,70.2484,1.4418,0.8411
0,85,65.8643,1.3337,0.8106
0,86,64.3452,1.4790,0.3563
0,87,65.6314,1.1614,0.8596
0,88,64.6166,1.4994,0.7610
0,89,68.0031,1.1987,0.8115
0,90,66.4203,1.1415,0.8117
0,91,63.9997,1.1627,0.8574
0,92,64.6722,1.1852,0.8421
0,93,66.6716,1.2123,0.8483
0,94,64.7028,1.3062,0.8517
0,95,69.3189,1.1923,0.8106
0,96,64.8752,1.1980,0.8627
0,97,64.8555,1.2077,0.8504
0,98,65.4782,1.4055,0.8523
0,99,66.4128,1.3504,0.8621
0,100,64.2921,1.1466,0.8631
0,101,65.8490,1.2497,0.8470
0,102,66.8570,1.2132,0.8251
0,103,65.2836,1.1895,0.7991
0,104,66.7644,1.9212,0.8400
0,105,64.3709,1.2117,0.8279
0,106,65.5200,1.2301,0.8589
0,107,63.3166,1.5273,0.8257
0,108,65.7485,1.2019,0.8620
0,109,68.7455,1.2938,0.8576
0,110,63.4807,1.1899,0.8600
0,111,65.0825,1.2542,0.8558
0,112,63.0656,1.2118,0.8663
0,113,63.6338,1.2254,0.8544
0,114,65.3923,1.1622,0.8630
0,115,66.3664,1.1979,0.8167
0,116,65.6732,1.1786,0.8649
0,117,66.4753,1.1569,0.8188
0,118,62.5261,1.1464,0.8664
0,119,62.2649,1.1847,0.8320
0,120,61.5949,1.1569,0.8400
0,121,62.0817,1.1564,0.8709
0,122,62.7322,1.1591,0.8140
0,123,64.2566,1.2234,0.8655
0,124,63.8369,1.2052,0.8134
0,125,62.3223,1.1253,0.8493
0,126,63.6084,2.8861,0.8598
0,127,67.2608,1.2089,0.8099
0,128,65.9136,1.1454,0.8284
0,129,63.6875,1.1106,0.8543
0,130,63.8471,1.1503,0.8653
0,131,64.7055,1.2537,0.7877
0,132,67.2185,1.1289,0.8240
0,133,61.6038,1.1374,0.8426
0,134,61.3351,1.1420,0.7381
0,135,62.4401,1.1518,0.8569
0,136,62.9030,1.1588,0.8623
0,137,61.6042,1.3222,0.8647
0,138,60.5078,1.1422,0.8697
0,139,65.1556,1.1798,0.8588
0,140,63.6022,1.1615,0.8566
0,141,61.9376,1.1978,0.8556
0,142,63.4607,1.1501,0.8417
0,143,61.5833,1.2578,0.8735
0,144,62.5307,1.1586,0.8687
0,145,63.1288,1.2020,0.8375
0,146,63.4953,1.1817,-0.2984
0,147,63.9197,1.2360,0.8532
0,148,64.8519,1.1869,0.7393
0,149,62.7662,1.2918,0.3546
0,150,62.6313,1.1575,0.8692
0,151,63.9167,1.1915,0.8580
0,152,61.4895,1.1381,0.8389
0,153,62.7731,1.3449,0.8435
0,154,61.2837,1.1649,0.8587
0,155,63.6125,1.2329,0.8661
0,156,58.6639,1.3359,0.8774
0,157,61.6382,1.1314,0.8558
1,0,109.4802,2.4076,0.6785
1,1,89.3295,1.9358,0.7607
1,2,79.9314,2.3024,0.7750
1,3,79.5515,2.2077,0.7901
1,4,81.6895,2.0479,0.7894
1,5,79.0377,2.4627,0.8063
1,6,78.9965,1.9911,0.7903
1,7,73.0301,2.2049,0.8169
1,8,76.2399,1.9695,0.7818
1,9,77.6191,2.1617,0.7995
1,10,79.9053,2.5623,0.8026
1,11,77.3817,2.1459,0.8066
1,12,75.6566,2.2212,0.8037
1,13,74.6696,2.1816,0.8063
1,14,77.3593,2.0474,0.8015
1,15,74.1261,2.0882,0.8085
1,16,71.0861,2.0972,0.8295
1,17,71.1896,2.0566,0.8121
1,18,69.7218,1.9555,0.8231
1,19,76.3398,2.3287,0.8049
1,20,69.6734,2.1898,0.8121
1,21,70.0783,2.0701,0.8231
1,22,70.4300,2.0555,0.8203
1,23,64.8675,1.9562,0.8412
1,24,68.7201,2.0697,0.8179
1,25,64.0057,1.9878,0.8407
1,26,66.8584,2.0864,0.7917
1,27,65.0057,2.2134,0.8254
1,28,65.1414,2.1366,0.8177
1,29,64.3814,2.0044,0.8364
1,30,66.7638,1.9172,0.8218
1,31,67.2619,2.2006,0.8335
1,32,64.0953,2.0488,0.8369
1,33,65.7510,1.9495,0.8235
1,34,65.2392,2.0992,0.8199
1,35,65.2069,2.4593,0.8090
1,36,65.1781,2.0721,0.8148
1,37,62.4629,1.9459,0.8374
1,38,64.2924,1.8242,0.8359
1,39,63.5856,2.0020,0.8303
1,40,62.7892,1.9954,0.8374
1,41,65.7996,2.0749,0.8192
1,42,65.6909,2.0204,0.8275
1,43,60.6865,1.9886,0.8459
1,44,66.2095,1.9716,0.8312
1,45,64.8434,1.9345,0.8296
1,46,61.9457,2.0756,0.8373
1,47,62.2026,2.0500,0.8424
1,48,64.8894,1.8716,0.8206
1,49,60.8656,1.9570,0.8361
1,50,63.2401,1.9957,0.8201
1,51,61.4301,2.1132,0.8398
1,52,62.5616,1.9413,0.8383
1,53,61.2141,1.8499,0.8200
1,54,63.6214,2.0773,0.8391
1,55,62.2330,1.9833,0.8434
1,56,62.6732,2.0191,0.8414
1,57,63.1230,2.0522,0.8212
1,58,60.7149,1.9718,0.8415
1,59,62.3048,1.9498,0.8275
1,60,62.3461,1.8984,0.8281
1,61,63.0685,1.8750,0.8331
1,62,63.1976,1.9199,0.8300
1,63,62.9953,1.9331,0.8365
1,64,60.6650,1.9234,0.8435
1,65,60.3857,1.8846,0.8350
1,66,61.6595,1.8810,0.8212
1,67,60.5703,1.9592,0.8451
1,68,60.4110,1.9546,0.8393
1,69,58.8531,2.0206,0.8486
1,70,59.6217,2.0173,0.8399
1,71,60.5199,1.9349,0.8422
1,72,62.9118,1.9194,0.8217
1,73,60.5354,2.0544,0.8411
1,74,63.5553,1.8970,0.8337
1,75,61.3530,1.9162,0.8346
1,76,63.7385,1.9036,0.8373
1,77,60.3946,2.3099,0.8261
1,78,59.1206,1.9936,0.8522
1,79,63.0309,1.9471,0.8329
1,80,59.8904,2.1497,0.8506
1,81,61.8563,1.8952,0.8356
1,82,59.5219,1.9009,0.8349
1,83,61.6353,1.8867,0.8367
1,84,62.9994,1.9751,0.8400
1,85,63.2499,1.9530,0.8415
1,86,62.5727,1.8931,0.8418
1,87,62.1530,1.8751,0.8377
1,88,63.0372,1.9220,0.8308
1,89,62.8355,1.9812,0.8369
1,90,62.2003,1.8883,0.8340
1,91,62.1323,2.0999,0.8356
1,92,61.7834,1.9256,0.8284
1,93,59.7818,1.9153,0.8426
1,94,64.1605,1.9487,0.8223
1,95,61.2723,1.9315,0.8405
1,96,64.1954,2.1731,0.8225
1,97,62.0000,2.0218,0.8369
1,98,65.6013,2.0147,0.8296
1,99,65.4898,1.9627,0.8309
1,100,62.0828,2.0561,0.8421
1,101,64.1006,2.4292,0.8283
1,102,63.4243,1.9110,0.8337
1,103,62.0437,2.0409,0.8216
1,104,60.5615,1.9309,0.8488
1,105,61.4189,1.9253,0.8174
1,106,64.9939,2.0571,0.8049
1,107,63.8139,2.0731,0.8366
1,108,62.9802,2.0170,0.8320
1,109,61.0195,1.9375,0.8179
1,110,64.9247,1.8924,0.8279
1,111,58.9865,2.0319,0.8508
1,112,61.7395,2.1433,0.8408
1,113,59.9162,1.9081,0.8466
1,114,62.8752,1.8803,0.8216
1,115,59.7988,1.9937,0.8381
1,116,63.7192,2.1826,0.8334
1,117,62.7268,2.1210,0.8162
1,118,61.8773,1.9115,0.8403
1,119,61.8813,1.9841,0.8414
1,120,63.4767,2.2268,0.8335
1,121,60.5007,1.9229,0.8378
1,122,61.5693,1.9659,0.8334
1,123,63.3758,2.0161,0.8264
1,124,62.6017,1.9684,0.8427
1,125,58.9704,1.9441,0.8412
1,126,61.6916,1.9503,0.8342
1,127,61.5356,1.8920,0.8440
1,128,60.2524,1.9390,0.8328
1,129,61.3436,1.8945,0.8230
1,130,63.0285,1.9244,0.8328
1,131,62.1930,1.8751,0.8374
1,132,62.4095,1.8681,0.8420
1,133,63.1093,1.8817,0.8215
1,134,63.4078,2.2091,0.8347
1,135,61.8489,1.9553,0.8405
1,136,62.9889,1.9378,0.8338
1,137,61.8641,1.9634,0.8278
1,138,58.8863,2.0668,0.8256
1,139,62.7009,1.9867,0.8248
1,140,60.8042,1.9187,0.8359
1,141,64.0216,2.1691,0.8135
1,142,61.7250,1.9498,0.8154
1,143,61.7613,1.9895,0.8215
1,144,63.5775,1.9679,0.8344
1,145,60.2723,1.9006,0.8447
1,146,63.1366,2.4225,0.8166
1,147,63.9156,1.9697,0.8362
1,148,63.8743,1.9781,0.8268
1,149,61.7385,1.9720,0.8332
1,150,62.1446,1.8982,0.8259
1,151,63.8998,1.8450,0.8365
1,152,61.8136,1.9506,0.8466
1,153,62.0528,1.9121,0.8425
1,154,61.9573,1.8973,0.8398
1,155,64.6558,1.9415,0.8383
1,156,64.1338,1.9724,0.8327
1,157,62.2885,1.9063,0.8361
1,158,65.0506,1.9289,0.8250
1,159,61.7977,1.9717,0.8459
1,160,62.8079,1.9633,0.8355
1,161,62.7052,1.8880,0.8299
1,162,61.4571,1.8849,0.8403
1,163,62.7656,1.9806,0.8362
1,164,60.9169,2.0498,0.8302
1,165,61.7954,1.9079,0.8439
1,166,61.4916,1.9229,0.8400
1,167,58.9577,1.9453,0.8416
1,168,67.0072,1.9796,0.8212
1,169,60.9652,1.9029,0.8410
1,170,62.1311,2.1399,0.8461
1,171,62.6874,1.9410,0.8400
1,172,61.2976,1.9122,0.8407
1,173,63.0540,1.9747,0.8411
1,174,64.6755,1.9137,0.8332
1,175,60.5018,1.9519,0.8436
1,176,63.4170,2.0601,0.8260
1,177,59.9210,1.8543,0.8439
1,178,61.3010,2.0632,0.8230
1,179,62.7011,1.8986,0.8384
1,180,62.3065,2.0852,0.8324
1,181,61.7619,1.9278,0.8419
1,182,61.6327,1.9113,0.8371
1,183,62.9877,1.9267,0.8359
1,184,62.8003,1.9249,0.8386
1,185,60.5975,1.8763,0.8469
1,186,62.3116,1.9040,0.8362
1,187,64.6748,1.9867,0.8058
1,188,65.7255,1.9188,0.8251
1,189,61.5611,2.4341,0.8341
1,190,63.5252,1.8770,0.8378
1,191,62.4300,1.8911,0.8384
1,192,62.7865,1.8980,0.8247
1,193,60.0828,2.0124,0.8392
1,194,62.5043,1.9025,0.8408
1,195,60.8046,1.9647,0.8397
1,196,63.8860,1.8884,0.8368
1,197,64.1389,1.9676,0.8248
1,198,61.4332,2.4019,0.8449
1,199,62.1031,1.9214,0.8367
2,0,94.2617,1.0998,0.7155
2,1,92.0433,1.0439,0.7533
2,2,96.7900,1.0358,0.7433
2,3,91.2360,1.0960,0.7642
2,4,97.2128,1.1000,0.7449
2,5,94.2791,1.0046,0.7580
2,6,92.1738,1.0434,0.7645
2,7,93.0287,1.0087,0.7616
2,8,92.0290,1.0792,0.7646
2,9,92.4012,1.0395,0.7621
2,10,87.3056,1.0359,0.7796
2,11,90.2416,1.0427,0.7682
2,12,89.6049,1.0591,0.7707
2,13,91.9664,0.9946,0.7657
2,14,90.9101,1.0547,0.7687
2,15,90.5696,1.0241,0.7712
2,16,91.4576,1.0429,0.7694
2,17,91.9492,1.0706,0.7650
2,18,90.0658,1.0404,0.7723
2,19,88.2443,0.9883,0.7760
2,20,86.9452,1.0108,0.7799
2,21,89.4323,0.9757,0.7745
2,22,89.5757,1.0291,0.7726
2,23,89.4742,1.0546,0.7743
2,24,91.5959,1.0021,0.7687
2,25,85.1026,0.9488,0.7871
2,26,81.2052,1.0539,0.7924
2,27,81.0897,1.0184,0.7898
2,28,74.6190,0.9468,0.8084
2,29,77.0268,1.0053,0.7960
2,30,75.2895,0.9983,0.8011
2,31,76.0947,1.0119,0.7979
2,32,73.8155,1.0065,0.8026
2,33,78.9137,0.9593,0.7865
2,34,75.9051,0.9961,0.7960
2,35,72.8702,0.9724,0.8048
2,36,77.3813,0.9900,0.7851
2,37,75.0803,1.0043,0.7972
2,38,74.0592,0.9573,0.7999
2,39,74.1621,0.9446,0.8004
2,40,76.1681,0.9676,0.7932
2,41,72.0152,0.9624,0.8061
2,42,73.8557,0.9774,0.7999
2,43,73.5610,0.9888,0.7991
2,44,71.5171,0.9180,0.8069
2,45,74.7269,0.9918,0.7966
2,46,70.8865,0.9783,0.8100
2,47,71.4260,0.9561,0.8069
2,48,70.8078,0.9559,0.8080
2,49,70.7006,0.9396,0.8088
2,50,72.3249,0.9912,0.8010
2,51,74.0837,0.9574,0.7974
2,52,69.4904,0.9777,0.8117
2,53,72.5653,0.9542,0.8028
2,54,71.5082,0.9340,0.8040
2,55,68.4256,0.9104,0.8145
2,56,71.4322,0.9288,0.8046
2,57,69.9811,0.9618,0.8095
2,58,71.7306,0.9490,0.8042
2,59,67.2883,0.9335,0.8182
2,60,68.3976,0.9173,0.8137
2,61,68.3972,0.9468,0.8117
2,62,72.0302,0.9634,0.8012
2,63,71.9339,0.9434,0.8015
2,64,69.7408,0.9333,0.8084
2,65,69.5051,0.9509,0.8084
2,66,69.3212,0.9472,0.8103
2,67,68.4970,0.9286,0.8124
2,68,68.8914,0.9461,0.8116
2,69,66.7705,0.9446,0.8170
2,70,72.5383,0.9540,0.7991
2,71,67.8043,0.9180,0.8126
2,72,68.1118,0.9620,0.8127
2,73,69.7675,0.9323,0.8084
2,74,68.9619,0.9271,0.8101
2,75,69.0264,0.9478,0.8104
2,76,67.3319,0.9330,0.8168
2,77,67.8137,0.9412,0.8142
2,78,68.5115,0.9595,0.8125
2,79,69.2602,0.9335,0.8102
2,80,69.3079,0.9318,0.8076
2,81,71.5196,0.9492,0.8026
2,82,68.2724,0.9326,0.8125
2,83,70.5506,0.9542,0.8060
2,84,66.6070,0.9370,0.8172
2,85,68.6926,0.9454,0.8102
2,86,68.1120,0.9190,0.8145
2,87,68.3911,0.9361,0.8134
2,88,69.9848,0.9467,0.8063
2,89,70.7700,0.9242,0.8057
2,90,67.7836,0.9137,0.8148
2,91,71.0244,0.9236,0.8019
2,92,65.2988,0.9246,0.8212
2,93,67.8364,0.9203,0.8127
2,94,69.4800,0.9459,0.8091
2,95,71.9702,0.9395,0.8010
2,96,68.1225,0.9352,0.8134
2,97,69.0828,0.9396,0.8096
2,98,67.4095,0.9619,0.8174
