training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,299.3596,3.8579,0.3734
0,1,184.9827,2.0183,0.5902
0,2,154.3934,1.2400,0.6799
0,3,136.6037,1.4028,0.6946
0,4,125.3343,1.4202,0.7430
0,5,112.6720,1.4362,0.7448
0,6,112.0967,1.6081,0.5817
0,7,109.8911,1.6214,0.7621
0,8,97.0975,1.1041,0.7818
0,9,107.7863,1.3320,0.6696
0,10,103.6310,1.3673,0.7232
0,11,109.7898,1.3802,0.4119
0,12,117.6218,1.2918,0.6789
0,13,107.4303,1.3282,0.7537
0,14,95.8739,1.1683,0.7749
0,15,100.9671,1.3367,0.7420
0,16,95.8355,1.2000,0.6880
0,17,79.1118,1.3240,0.8183
0,18,80.3233,1.0529,0.8232
0,19,77.6486,1.3051,0.8385
0,20,75.9737,1.4709,-17.9867
0,21,87.9114,1.3960,0.8117
0,22,82.3390,2.1743,0.6175
0,23,96.7014,1.0885,0.7028
0,24,85.1121,1.3528,0.7480
0,25,82.0869,1.2181,0.7185
0,26,80.6126,1.1776,0.8153
0,27,81.3203,1.2226,0.8168
0,28,88.3492,1.1211,0.7926
0,29,90.0917,1.1979,0.8132
0,30,86.5393,1.0214,0.8138
0,31,78.4483,1.0878,0.8226
0,32,100.2658,1.4292,0.7525
0,33,81.3075,1.2357,0.8043
0,34,79.0195,1.0017,0.8197
0,35,78.2177,1.0703,0.8215
0,36,77.7815,1.3548,0.8356
0,37,78.8272,1.3793,0.8216
0,38,77.2288,1.6206,0.7440
0,39,73.3549,0.9980,0.5936
0,40,70.6718,1.0502,0.8351
0,41,69.8071,1.2383,0.8172
0,42,78.4732,1.2850,0.8249
0,43,68.4147,1.1446,0.8446
0,44,67.8035,1.0127,0.6946
0,45,68.1093,1.2972,0.8335
0,46,68.0575,1.2453,0.8523
0,47,66.5124,1.0418,0.8454
0,48,78.8346,1.1625,0.8365
0,49,77.5595,1.1111,0.8102
0,50,71.3053,1.0926,0.8216
0,51,68.2933,1.1885,0.8426
0,52,64.8499,1.0462,0.8511
0,53,81.9994,1.3046,0.8104
0,54,78.0217,0.9775,0.8121
0,55,76.7889,1.2023,0.8274
0,56,68.6595,1.0916,0.8588
0,57,72.4171,1.1073,0.8415
0,58,77.7208,1.2667,0.8095
0,59,81.0352,1.1150,0.7523
0,60,72.9282,1.3375,0.8500
0,61,70.7319,1.1002,0.8521
0,62,66.2258,1.1952,0.8552
0,63,66.6486,1.1685,0.8615
0,64,67.2325,1.0387,0.7640
0,65,62.9374,1.2816,0.8379
0,66,62.8420,1.1283,0.8639
0,67,62.7542,1.0682,0.8462
0,68,64.5470,1.1536,0.8602
0,69,61.8726,1.1162,0.8710
0,70,63.4553,1.1938,0.8568
0,71,72.2675,1.3028,0.8371
0,72,70.2617,1.3588,-0.0831
0,73,92.5538,1.1872,0.8007
0,74,75.9389,1.2251,0.8415
0,75,71.6759,1.2718,0.8523
0,76,71.7336,1.3471,0.7892
0,77,66.5785,1.0830,0.8342
0,78,74.2950,1.2881,0.8366
0,79,66.4700,1.1819,0.8137
0,80,74.9981,1.3338,0.8282
0,81,73.4638,1.2637,0.7847
0,82,75.0662,1.3165,0.8307
0,83,66.9027,1.1491,0.8626
0,84,67.6069,1.2211,0.7713
0,85,70.6000,1.3120,0.8298
0,86,102.2463,1.3660,0.7737
0,87,76.5283,1.2554,0.8413
0,88,66.6996,1.1971,0.8581
0,89,73.7326,1.2087,0.8184
0,90,140.0254,1.4857,0.6907
0,91,91.0784,1.2197,0.8060
0,92,74.3831,1.5799,0.8454
0,93,77.9963,1.4456,0.5360
0,94,72.7144,1.7228,0.8488
0,95,68.3435,1.2891,0.8575
0,96,66.3367,1.2481,0.8135
0,97,67.2768,1.5025,0.8498
0,98,63.5292,1.2402,0.8519
0,99,70.7599,1.4056,0.8080
0,100,70.6725,1.4422,0.6215
0,101,66.9278,1.4938,0.7695
0,102,66.0070,1.3711,0.8622
0,103,68.5766,1.8123,0.8262
0,104,63.5274,1.4501,0.8114
0,105,61.0071,1.3338,0.8696
0,106,63.4060,1.4095,0.8355
0,107,68.4666,1.3295,0.8406
0,108,76.2246,1.3830,0.5900
0,109,71.0219,1.4321,0.8190
0,110,62.9531,1.2262,0.8700
0,111,79.0621,1.4754,0.7737
0,112,68.3436,1.2689,0.8360
0,113,66.3095,1.4729,0.8394
0,114,64.1092,1.5698,0.8650
0,115,69.0085,1.3161,0.8332
0,116,61.6436,1.3681,0.8497
0,117,73.7952,1.3285,0.8475
0,118,62.7617,1.4056,0.4356
0,119,78.5746,1.3948,0.7861
0,120,74.5460,1.3363,0.7727
0,121,67.5102,1.3567,0.8615
0,122,63.7362,1.3843,0.8383
0,123,66.5504,1.3658,0.8287
0,124,63.9299,1.3104,0.8508
0,125,79.5950,1.4784,0.8346
0,126,70.7702,1.3877,0.8275
0,127,69.6053,1.3260,0.8246
0,128,66.1831,1.3485,0.8452
0,129,59.9681,1.6887,0.8616
0,130,64.6599,1.3003,0.8463
0,131,97.3496,1.5366,0.7833
0,132,80.3885,1.3262,0.8231
0,133,71.0337,1.4661,0.8360
0,134,72.4031,1.4828,0.8470
0,135,69.0368,1.4209,0.8433
0,136,64.8008,1.5020,0.8443
0,137,76.3162,1.4675,0.8174
0,138,75.8111,1.6879,0.8027
0,139,71.3838,1.4145,0.7957
0,140,69.7844,1.5289,0.8146
0,141,65.9038,1.3726,0.8227
0,142,65.1491,1.5323,0.8480
0,143,65.0146,1.7040,0.8072
0,144,58.4384,1.4246,0.8514
0,145,59.9952,1.4753,0.8448
0,146,69.2372,1.3076,0.8235
0,147,61.9713,1.3838,0.8652
0,148,62.0702,1.5703,0.8491
0,149,64.5105,1.3025,0.8295
0,150,62.1556,1.4062,0.8607
0,151,61.9512,1.3240,0.8655
0,152,61.0446,1.3776,0.8355
0,153,67.2205,1.3838,0.8506
0,154,84.5575,1.7999,0.7862
0,155,70.6946,2.0637,0.8255
0,156,67.2446,1.2834,0.8061
0,157,65.6330,1.3350,0.8441
0,158,59.1518,1.2672,0.8774
0,159,62.1145,1.4510,0.8482
0,160,57.5204,1.2935,0.8698
0,161,73.7636,1.3067,0.8041
0,162,78.3420,1.5140,0.8373
0,163,74.5746,1.2543,0.8032
0,164,66.7578,1.4201,0.8046
0,165,65.2758,1.3537,0.8525
0,166,82.3306,4.9279,0.8156
0,167,65.6808,1.3305,0.7653
0,168,63.7492,1.3243,0.8391
0,169,81.0692,1.3833,0.8135
0,170,91.8436,1.4038,0.7620
0,171,80.0871,1.3338,0.8181
0,172,74.9344,1.3394,0.8329
0,173,67.8589,1.3716,0.8504
0,174,80.3269,1.6791,0.8025
0,175,68.9949,1.4586,0.8373
0,176,70.4692,1.3412,0.8373
0,177,89.8582,1.4087,0.7999
0,178,77.6723,1.6034,0.8298
0,179,72.0610,1.2798,0.8188
0,180,66.2995,1.4202,0.6804
0,181,72.5905,1.2393,0.8491
0,182,67.2659,1.4400,0.7698
0,183,61.4685,1.3461,0.8719
0,184,62.5009,1.6437,0.8658
0,185,60.0750,1.5136,0.8187
0,186,60.4199,1.4580,0.8739
0,187,65.0163,1.4844,0.8166
0,188,61.4985,2.2849,0.8655
0,189,67.2521,1.6071,0.7058
0,190,70.3996,2.4983,0.8301
0,191,58.6544,1.4399,0.8676
0,192,61.0109,2.3714,0.7325
0,193,62.7940,1.5578,0.8695
0,194,62.6815,1.5957,0.8698
