eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,1.8202118,0.053695828,0.0048549026,0.0,0.0
0.0,0.0,3.6181605,0.12456415,0.010997505,0.0,0.0
0.0,0.0,3.4689524,0.03163813,0.011093405,0.0,0.0
0.0,0.0,4.40198,0.029020067,0.014227337,0.0,0.0
0.0,0.0,3.6982756,0.02617511,0.014184647,0.0,0.0
0.0,0.0,3.0533333,0.06600094,0.011059545,0.0,0.0
0.0,0.0,2.9367788,0.049296338,0.008291678,0.0,0.0
0.0,0.0,5.557014,0.033851184,0.02039843,0.0,0.0
0.0,0.0,5.847718,0.05385526,0.020801956,0.0,0.0
0.0,0.0,12.822618,0.050909624,0.036339678,0.0,0.0
0.0,0.0,0.23372407,0.106163934,0.00067777873,0.0050077285,0.0050077285
0.0,0.0,0.83915776,0.22799866,0.002548899,0.0,0.0
0.0,0.0,1.2892373,0.053935092,0.0043780524,0.0,0.0
0.0,0.0,2.8037615,0.06976314,0.009072312,0.0,0.0
0.0,0.0,2.3761377,0.031864166,0.009462284,0.0,0.0
0.0,0.0,1.7447917,0.12242505,0.0063255467,0.0,0.0
0.0,0.0,1.9255657,0.05839634,0.0045552165,0.0,0.0
0.0,0.0,1.6787518,0.026005704,0.003937628,0.0,0.0
0.0,0.0,3.7658591,0.061706107,0.014420726,0.0,0.0
0.0,0.0,6.3770227,0.06533778,0.018312596,0.0,0.0
0.0,0.0,0.4193535,0.094169125,0.0010816638,0.0050857645,0.0050857645
0.0,0.0,0.39147374,0.082284145,0.0012020146,0.0025992487,0.0025992487
0.0,0.0,0.6639839,0.035906736,0.0021638693,0.0,0.0
0.0,0.0,1.4123911,0.026452316,0.004574095,0.0,0.0
0.0,0.0,1.1456771,0.028375024,0.004842372,0.0,0.0
0.0,0.0,1.4021701,0.07983074,0.0050395923,0.0,0.0
0.0,0.0,0.69929844,0.04442746,0.0074795494,0.0,0.0
0.0,0.0,1.7049475,0.040202998,0.0061145322,0.0,0.0
0.0,0.0,1.4744062,0.041909672,0.006590853,0.0,0.0
0.0,0.0,5.572737,0.060708035,0.015850939,0.0,0.0
0.0,0.0,1.2291825,0.041883755,0.003543228,0.0065771267,0.0065771267
0.0,0.0,1.6238176,0.038552884,0.0049992315,0.006505719,0.006505719
0.0,0.0,2.1413865,0.04425409,0.007015822,0.0061579086,0.0061579086
0.0,0.0,1.1344986,0.021024179,0.0036704678,0.0,0.0
0.0,0.0,0.48938152,0.031756315,0.0025068647,0.0,0.0
0.0,0.0,1.2335032,0.07183052,0.004423786,0.0,0.0
0.0,0.0,1.6168518,0.04327819,0.020335559,0.0,0.0
0.0,0.0,3.5311341,0.0440957,0.0053504147,0.0,0.0
0.0,0.0,1.4613239,0.04664806,0.006780075,0.0,0.0
0.0,0.0,4.0087867,0.04106861,0.011273606,0.0,0.0
0.0,0.0,1.6695961,0.038465634,0.004373188,0.008497049,0.008497049
0.0,0.0,1.9657952,0.030791368,0.00599957,0.008042456,0.008042456
0.0,0.0,1.6249148,0.015273623,0.005182889,0.005068638,0.005068638
0.0,0.0,1.0602288,0.023112496,0.0034354464,0.0037671067,0.0037671067
0.0,0.0,0.5690605,0.014367887,0.0025226248,0.0,0.0
0.0,0.0,1.2675788,0.03827738,0.0044811936,0.0,0.0
0.0,0.0,1.5779121,0.024068702,0.021173296,0.0,0.0
0.0,0.0,2.6591592,0.022730742,0.0073312568,0.0,0.0
0.0,0.0,2.1908069,0.0260719,0.0054589417,0.0,0.0
0.0,0.0,2.5132325,0.028108861,0.0069559067,0.0,0.0
0.0,0.0,1.0699956,0.0378456,0.0033443773,0.006887988,0.006887988
0.0,0.0,2.1816359,0.03857223,0.006679066,0.007940561,0.007940561
0.0,0.0,1.5384524,0.018720172,0.004674648,0.0049152183,0.0049152183
0.0,0.0,1.5397873,0.024747321,0.0049745417,0.005963168,0.005963168
0.0,0.0,0.9929251,0.014567557,0.0044498486,0.0030220028,0.0030220028
0.0,0.0,0.93339187,0.04735008,0.0032899235,0.0,0.0
0.0,0.0,1.7821611,0.023635508,0.018737465,0.0,0.0
0.0,0.0,3.7252288,0.027691184,0.007932766,0.0,0.0
0.0,0.0,2.686852,0.040391266,0.0105011705,0.0,0.0
0.0,0.0,3.981595,0.045429885,0.01128004,0.0,0.0
0.0,0.0,1.41112,0.049220316,0.0037581364,0.0057384665,0.0057384665
0.0,0.0,2.31826,0.06483769,0.00709083,0.008533601,0.008533601
0.0,0.0,1.56014,0.018537791,0.004656284,0.0058422894,0.0058422894
0.0,0.0,1.9499233,0.021636816,0.006301326,0.006263473,0.006263473
0.0,0.0,1.10643,0.015409287,0.0039890455,0.0048876754,0.0048876754
0.0,0.0,1.1930863,0.039961573,0.004293597,0.0031219984,0.0031219984
0.0,0.0,1.3242642,0.031522032,0.00847448,0.0,0.0
0.0,0.0,2.16808,0.024253048,0.007069296,0.0,0.0
0.0,0.0,1.6059612,0.024718141,0.007433209,0.0,0.0
0.0,0.0,3.2692702,0.040816694,0.009447589,0.0,0.0
0.0,0.0,2.285803,0.05175776,0.0061462168,0.0064249025,0.0064249025
0.0,0.0,2.2079701,0.06690401,0.0067586475,0.008011856,0.008011856
0.0,0.0,1.9120604,0.01421451,0.0058876514,0.007174608,0.007174608
0.0,0.0,1.5906432,0.017071646,0.005144037,0.005413972,0.005413972
0.0,0.0,1.0857658,0.021685412,0.004228463,0.0043030335,0.0043030335
0.0,0.0,1.1985365,0.05645645,0.0042426204,0.004364899,0.004364899
0.0,0.0,1.2263249,0.040094234,0.021556498,0.021725327,0.021725327
0.0,0.0,1.9899901,0.018013407,0.007039836,0.0,0.0
0.0,0.0,2.217503,0.055015046,0.009010367,0.0,0.0
0.0,0.0,1.8574935,0.049934864,0.0051245685,0.0,0.0
0.0,0.0,1.6073501,0.05593876,0.004032818,0.006731595,0.006731595
0.0,0.0,2.9430292,0.06229414,0.008941765,0.009445336,0.009445336
0.0,0.0,1.5495509,0.021874407,0.0050539495,0.005500625,0.005500625
0.0,0.0,2.185178,0.011932768,0.0070716706,0.0070947167,0.0070947167
0.0,0.0,0.72433037,0.015048807,0.0027385696,0.0036379942,0.0036379942
0.0,0.0,1.1556631,0.06714952,0.004062618,0.004934319,0.004934319
0.0,0.0,1.76005,0.028703045,0.015209099,0.012717114,0.012717114
0.0,0.0,2.3635204,0.021236604,0.0064542103,0.009166166,0.009166166
0.0,0.0,1.7608,0.036285702,0.009151158,0.0,0.0
0.0,0.0,2.5947595,0.036102094,0.00725391,0.0,0.0
0.0,0.0,1.1371742,0.03109196,0.002945524,0.0074945707,0.0074945707
0.0,0.0,2.5598857,0.047516745,0.007842338,0.008464152,0.008464152
0.0,0.0,2.0766609,0.020956839,0.0062803216,0.0073336447,0.0073336447
0.0,0.0,1.5312667,0.020145813,0.004952465,0.00444014,0.00444014
0.0,0.0,0.5567598,0.017438713,0.002539664,0.003875242,0.003875242
0.0,0.0,1.3074348,0.0396315,0.0047174552,0.0035713923,0.0035713923
0.0,0.0,1.5990157,0.019856269,0.012120993,0.013653793,0.013653793
0.0,0.0,1.4338162,0.026219834,0.004070615,0.005806677,0.005806677
0.0,0.0,0.9253087,0.024651453,0.0042385166,0.0075963805,0.0075963805
0.0,0.0,1.072852,0.015960032,0.0028123679,0.0,0.0
