training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,300.7065,5.1256,-0.3779
0,1,197.2232,1.8475,0.5795
0,2,167.2000,1.2985,0.6502
0,3,161.8699,1.4316,0.6255
0,4,139.9201,1.4777,0.6339
0,5,120.7341,1.3435,0.7521
0,6,118.0520,1.4214,0.6027
0,7,106.0504,1.3561,0.7597
0,8,104.0619,1.3198,0.7756
0,9,97.2569,1.2546,0.7968
0,10,96.5308,1.2545,0.7844
0,11,94.8969,1.5445,0.7969
0,12,89.6083,1.2329,0.7830
0,13,121.9105,1.2425,0.7511
0,14,104.4515,1.2087,0.7806
0,15,97.1493,0.9927,0.7940
0,16,96.5777,1.3740,0.7545
0,17,111.6917,1.3473,0.7397
0,18,95.4731,1.3211,0.7712
0,19,117.6305,1.1320,0.7260
0,20,98.5690,1.1485,0.6995
0,21,91.5403,1.4205,0.7614
0,22,87.2406,1.4110,0.7347
0,23,85.6954,1.1538,0.4972
0,24,92.8731,1.3017,0.7890
0,25,93.0368,1.0174,0.7967
0,26,88.3199,1.2820,0.8121
0,27,88.7248,1.5002,0.7759
0,28,77.7998,1.5211,0.8276
0,29,80.2801,1.0379,0.8042
0,30,79.7480,1.2926,0.8166
0,31,82.1204,1.2012,0.7523
0,32,82.4859,1.2264,0.8306
0,33,76.0170,1.0561,0.8388
0,34,80.1166,1.1824,0.8288
0,35,80.9318,1.0807,0.7645
0,36,74.0830,1.2108,0.8327
0,37,76.0092,1.0633,0.8342
0,38,71.5263,1.1724,0.7996
0,39,92.7044,1.1465,0.8025
0,40,90.2753,1.1761,0.7751
0,41,85.1068,1.2446,0.8069
0,42,80.7924,1.3042,0.7797
0,43,96.2205,1.0988,0.7623
0,44,100.2033,1.1745,0.7918
0,45,87.5816,1.2211,0.8090
0,46,86.4226,1.1456,0.7110
0,47,81.0314,1.3430,0.8011
0,48,93.6657,1.2543,0.7461
0,49,81.0549,1.1243,0.8083
0,50,77.4863,1.1965,0.8232
0,51,75.9143,1.1098,0.8414
0,52,73.7017,1.2890,0.8459
0,53,69.0537,1.1952,0.8489
0,54,75.6853,1.4078,0.7418
0,55,92.7520,1.1713,0.8071
0,56,89.0471,1.4102,0.8103
0,57,79.0002,1.2785,0.8244
0,58,90.8852,1.4126,0.7931
0,59,90.3918,1.1883,0.7825
0,60,79.9635,1.2242,0.7704
0,61,76.4081,1.2520,0.8378
0,62,73.2323,1.1696,0.8492
0,63,68.8063,1.0820,0.8576
0,64,73.0281,1.1682,0.8429
0,65,73.4962,1.2677,0.7587
0,66,70.0305,1.7740,0.8540
0,67,69.7488,1.2144,0.8521
0,68,69.0796,1.0902,0.8502
0,69,67.1063,1.1599,0.8605
0,70,69.7015,1.1174,0.8545
0,71,72.0935,1.1202,0.8444
0,72,68.9183,1.3592,0.8449
0,73,71.8736,1.1996,0.8474
0,74,68.7164,1.0861,0.8512
0,75,66.2847,1.0351,0.8560
0,76,66.6742,1.1481,0.8460
0,77,72.8904,1.1871,0.8405
0,78,68.6844,1.0883,0.8487
0,79,73.0033,1.1859,0.1226
0,80,70.4554,1.0591,0.8473
0,81,71.6250,1.1503,0.8459
0,82,66.9582,1.1119,0.8463
0,83,71.4111,1.2736,0.8500
0,84,69.5883,1.1192,0.8352
0,85,70.5316,1.1130,0.7763
0,86,68.0375,1.6510,0.8110
0,87,64.5173,1.1158,0.8545
0,88,68.0427,1.1107,0.8557
0,89,65.0224,1.0226,0.8445
0,90,66.1226,1.0831,0.8623
0,91,67.6282,1.2962,0.8609
0,92,62.8668,1.1723,0.8498
0,93,64.0846,1.1021,0.8670
0,94,64.9282,1.0889,0.8404
0,95,64.1389,1.2080,0.8304
0,96,63.0468,1.1223,0.8697
0,97,66.5926,1.1517,0.7581
0,98,65.5279,1.7476,0.8196
0,99,62.4787,1.2157,0.4858
0,100,64.7985,1.0858,0.8514
0,101,67.5699,1.0016,0.8517
0,102,67.3251,1.1556,0.8304
0,103,65.6865,1.0501,0.8504
0,104,64.4462,1.0593,0.8641
0,105,67.0653,1.0412,0.8118
0,106,66.6860,1.1104,0.7826
0,107,61.9307,1.0846,0.8612
0,108,62.5124,1.2662,0.8692
0,109,64.2714,1.0696,0.8418
0,110,63.4499,1.0946,0.8642
0,111,62.1262,1.1289,0.8504
0,112,61.7104,1.1104,0.8220
0,113,64.9812,1.1121,0.6076
0,114,65.1617,1.0743,0.8653
0,115,63.5561,1.1648,0.5723
0,116,64.7950,1.1614,0.8149
0,117,60.4594,1.1969,0.8729
0,118,63.1957,1.0914,0.8550
0,119,62.5301,1.1711,0.8604
0,120,64.7345,1.0642,0.8579
0,121,64.9230,1.0528,0.8504
0,122,63.6194,1.1010,0.8421
0,123,62.6541,1.1242,0.8190
0,124,63.6004,1.1116,0.3941
0,125,62.5509,1.1360,0.8377
0,126,64.8256,1.2022,0.8217
0,127,63.7961,1.0780,0.8629
0,128,62.8504,1.0952,0.8649
0,129,62.2516,1.0759,0.8696
0,130,61.3487,1.1756,0.8333
0,131,64.8068,1.0658,0.8628
0,132,60.6876,1.0983,0.8651
0,133,61.5956,1.0754,0.8340
0,134,64.3540,1.1859,0.8588
0,135,66.6592,1.0729,0.8423
0,136,63.6678,1.0911,0.8688
0,137,65.9374,1.1630,0.8528
0,138,64.8630,1.1633,0.8162
0,139,63.9458,1.1190,0.8536
0,140,61.2729,1.0766,0.8723
0,141,62.5788,1.1333,0.8678
0,142,62.3280,1.1338,0.8689
0,143,62.6508,1.0887,0.8600
0,144,64.2826,1.0923,0.8010
0,145,65.5977,2.6790,0.8595
0,146,61.6913,1.2135,0.5643
0,147,62.1252,1.0705,0.8628
0,148,64.4374,1.1633,0.7779
0,149,60.9150,1.0999,0.7875
0,150,62.8605,1.2032,0.8213
0,151,62.7492,1.1395,0.8035
0,152,59.8937,1.0512,0.8656
0,153,62.8699,1.4336,0.8644
0,154,67.1272,1.0931,0.7739
0,155,63.5176,1.0999,0.8636
0,156,65.0804,1.0816,0.8517
0,157,61.7681,1.2110,0.8575
0,158,65.3052,1.0859,0.8589
0,159,62.1022,1.0853,0.8338
0,160,61.1897,1.1387,0.8682
0,161,60.4499,1.1139,0.8672
0,162,59.4038,1.0639,0.8386
0,163,61.5135,1.1935,0.8255
0,164,63.2618,1.1208,0.8538
0,165,61.8346,1.1540,0.8411
0,166,63.2720,1.0896,0.8633
0,167,61.9872,1.1976,0.8658
0,168,59.4931,1.0640,0.8486
0,169,62.7299,1.0792,0.8635
0,170,62.6543,1.1944,0.8702
0,171,63.7787,1.0893,0.8626
0,172,63.9242,1.2342,0.8230
0,173,63.4872,1.0588,0.8595
0,174,64.3278,1.0774,0.8675
0,175,63.0641,1.0951,0.8548
