training_exp,epoch,Loss_Epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,348.5524,0.0,4.0323,-0.1161
0,1,213.5552,0.0,2.2334,-0.9519
0,2,182.1536,0.0,2.1222,0.6029
0,3,176.2627,0.0,1.2966,0.5766
0,4,146.1537,0.0,1.2127,0.6612
0,5,139.7057,0.0,1.6084,0.6320
0,6,129.1146,0.0,1.2340,0.7173
0,7,119.5676,0.0,1.0931,0.7513
0,8,112.4383,0.0,1.5493,0.7583
0,9,112.7963,0.0,1.8712,0.6867
0,10,110.1980,0.0,1.1274,0.6417
0,11,104.6904,0.0,1.3367,0.7814
0,12,101.3374,0.0,1.4241,0.7586
0,13,99.0446,0.0,1.1177,0.7336
0,14,94.6746,0.0,1.3734,0.7878
0,15,94.0353,0.0,1.1954,0.8017
0,16,88.6411,0.0,1.0872,0.7988
0,17,85.2069,0.0,1.3688,0.8239
0,18,83.0835,0.0,1.1338,0.8242
0,19,84.2950,0.0,1.4810,0.8177
0,20,84.6480,0.0,1.1678,0.8234
0,21,80.3080,0.0,1.2071,0.8034
0,22,93.4019,0.0,1.1528,0.6991
0,23,83.2666,0.0,1.0985,0.8098
0,24,95.7426,0.0,1.2508,0.7940
0,25,85.7237,0.0,1.2412,0.8200
0,26,81.2000,0.0,1.0463,0.8002
0,27,81.0085,0.0,1.5646,0.7938
0,28,79.5644,0.0,1.1997,0.7396
0,29,140.9388,0.0,1.3048,0.7007
0,30,99.0860,0.0,1.1664,0.7013
0,31,86.1207,0.0,1.0923,0.8129
0,32,87.6788,0.0,1.2300,0.8034
0,33,90.4447,0.0,1.2080,0.7804
0,34,92.2192,0.0,1.2315,0.7880
0,35,80.1855,0.0,1.0613,0.7994
0,36,75.8543,0.0,1.1930,0.8168
0,37,80.7711,0.0,1.1665,0.7328
0,38,77.8157,0.0,1.2628,0.8116
0,39,73.8863,0.0,1.2468,0.8259
0,40,79.5081,0.0,1.0479,0.6791
0,41,76.7578,0.0,1.2533,0.8125
0,42,75.1218,0.0,0.9993,0.8102
0,43,71.0965,0.0,1.4262,0.8222
0,44,70.7885,0.0,1.1994,0.6162
0,45,94.7583,0.0,1.3281,0.7758
0,46,115.3063,0.0,1.3307,0.7343
0,47,89.3023,0.0,1.0342,0.8103
0,48,83.0307,0.0,1.1434,0.8135
0,49,86.6010,0.0,1.4975,0.8158
0,50,82.9602,0.0,1.5962,0.7959
0,51,82.3601,0.0,1.0424,0.7663
0,52,82.4937,0.0,1.5678,0.8163
0,53,80.3219,0.0,0.9701,0.8051
0,54,77.1224,0.0,0.9271,0.8117
0,55,72.3874,0.0,1.0583,0.7839
0,56,73.3378,0.0,1.2448,0.8290
