training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,311.8235,3.6665,0.3099
0,1,195.6242,2.0088,0.5718
0,2,165.0572,1.3787,0.6060
0,3,151.2140,1.4330,0.1772
0,4,132.4937,1.4269,0.7251
0,5,120.1567,1.3117,0.7302
0,6,108.3170,1.2760,0.7339
0,7,110.5632,1.5911,0.6429
0,8,103.9426,1.1149,0.7720
0,9,97.6920,1.2813,0.7528
0,10,116.5610,1.4322,0.7450
0,11,110.7792,1.1646,0.7531
0,12,97.2200,1.1426,0.7759
0,13,116.0914,1.3031,0.5567
0,14,98.5469,1.3357,0.7862
0,15,94.1557,1.2575,0.8030
0,16,95.0835,1.4422,0.7875
0,17,105.0925,1.4800,0.7742
0,18,116.5840,1.2729,0.5086
0,19,94.7751,1.4229,0.7738
0,20,96.4379,1.1906,0.7837
0,21,111.8326,1.2809,0.7578
0,22,101.8592,1.2161,0.7496
0,23,97.5023,1.3262,0.7878
0,24,97.4929,1.5178,0.6878
0,25,91.8505,1.1166,0.7277
0,26,91.7823,1.2147,0.7003
0,27,113.1636,1.7126,0.7598
0,28,106.2479,0.8819,0.7789
0,29,95.5019,1.4600,0.7971
0,30,107.0867,1.2173,0.7703
0,31,103.4749,1.2958,0.6981
0,32,90.6439,1.3325,0.7616
0,33,85.1029,1.5134,0.8173
0,34,86.1578,1.1301,0.8014
0,35,83.1071,1.1582,0.7831
0,36,80.9609,1.5492,0.8272
0,37,79.2957,1.1889,0.6345
0,38,90.6194,1.0408,0.7913
0,39,84.0596,1.1606,-1.2429
0,40,77.6979,1.3929,0.8269
0,41,84.4049,1.1648,0.7833
0,42,84.1766,1.2485,0.8245
0,43,81.3060,1.1681,0.8137
0,44,77.9831,1.1543,0.8390
0,45,81.2656,1.1205,0.8221
0,46,71.5705,1.1987,0.8503
0,47,71.7083,1.3506,0.8512
0,48,73.1780,1.0922,0.8397
0,49,72.1793,1.1773,0.8088
0,50,86.8233,2.9625,0.7447
0,51,150.5816,1.1810,0.6429
0,52,103.2861,1.5511,0.7540
0,53,88.3896,0.9670,0.8096
0,54,78.6505,1.2051,0.8231
0,55,81.4803,1.4419,0.8226
0,56,77.0243,1.7961,0.8398
0,57,71.4853,1.2180,0.8357
0,58,87.6117,1.2776,0.7897
0,59,90.7039,1.2405,0.8033
0,60,82.3304,1.1621,0.7741
0,61,78.9859,1.9326,0.8156
0,62,76.0046,1.1085,0.8309
0,63,86.8912,1.3350,0.8013
0,64,75.8457,1.2629,0.7068
0,65,69.5553,1.3929,0.8489
0,66,78.0900,1.4788,0.6395
0,67,92.5159,1.4850,0.7475
0,68,94.4370,1.2926,0.7244
0,69,95.5768,1.7459,0.7977
0,70,90.4450,1.1852,0.7693
0,71,85.5777,1.3358,0.8241
0,72,79.5121,1.2874,0.7699
0,73,74.5118,1.3651,0.8289
0,74,86.2366,1.2026,0.7935
0,75,82.8403,1.2841,0.8238
0,76,78.4721,1.2844,0.8267
0,77,93.2568,1.6108,0.7445
0,78,79.0573,1.4323,0.8386
0,79,73.7040,1.2346,0.8440
0,80,71.3195,1.1218,0.8345
0,81,68.2361,1.6376,0.8553
0,82,72.0033,1.2193,0.8424
0,83,70.3046,1.5723,0.7378
0,84,69.7641,1.1242,-0.5751
0,85,74.5857,1.1936,0.8440
0,86,71.8622,1.6006,0.8319
0,87,66.1792,1.2454,0.8037
0,88,67.4085,1.8089,-1.3444
0,89,102.9140,1.2853,0.7855
0,90,82.7195,1.4124,0.8156
0,91,84.0432,1.3711,0.7874
0,92,80.6040,1.2166,0.8219
0,93,76.8032,1.4960,0.7200
0,94,90.9170,1.9022,0.7922
0,95,83.1447,1.2280,0.7518
0,96,74.3814,1.3712,0.7597
0,97,74.5004,1.5428,0.7921
0,98,67.6100,1.4886,0.8033
0,99,73.9864,1.1564,0.8174
0,100,86.2772,1.8481,0.8068
0,101,81.1333,1.4266,0.7260
0,102,71.0691,1.2604,0.5540
0,103,83.8056,1.5275,0.8144
0,104,92.0859,1.2529,0.7571
0,105,79.4220,1.9168,0.8302
0,106,73.1582,1.4374,0.8492
0,107,71.2673,1.1961,0.8350
0,108,73.2299,1.4785,0.7735
0,109,77.9978,1.3332,0.7952
0,110,73.1667,1.4642,0.8408
0,111,76.6976,1.3675,0.8229
0,112,82.3890,1.3932,0.8185
0,113,77.2023,1.5279,0.6781
0,114,71.2103,1.4613,0.8512
0,115,68.4510,1.2883,0.8568
0,116,67.0329,1.3645,0.8446
0,117,79.3486,1.5174,0.8035
0,118,78.7677,1.4360,0.8001
0,119,74.8149,1.5942,0.7745
0,120,78.7156,1.7125,0.8353
0,121,76.2765,1.5033,0.8297
0,122,73.1580,1.4481,0.8368
0,123,84.5458,1.3996,0.8000
0,124,79.0974,1.4347,0.7775
0,125,79.1940,1.7124,0.7992
0,126,75.7777,1.4673,0.8392
0,127,72.1947,1.5177,0.8337
0,128,78.7073,1.4831,0.8331
0,129,73.1068,1.3749,0.7354
0,130,66.5788,1.5522,0.8503
0,131,64.0477,1.5335,0.8472
0,132,65.0911,1.4554,0.8035
0,133,65.2793,1.4723,0.8568
0,134,63.1107,1.4817,0.8698
0,135,70.6810,1.4961,0.8441
0,136,86.8368,1.5052,0.7901
0,137,78.2883,1.6896,0.8040
0,138,80.3114,1.5561,0.8276
0,139,75.2063,1.4408,0.8352
0,140,71.0228,1.4530,0.8378
0,141,86.0264,1.6924,0.8236
0,142,94.0765,1.6142,0.7976
0,143,81.5921,1.7350,0.8252
0,144,80.6195,1.8708,0.8013
0,145,71.1228,1.5717,0.8463
0,146,71.3452,1.8797,0.8088
0,147,87.1514,1.7431,-0.0075
0,148,106.6637,1.6883,0.7317
0,149,90.2711,1.9111,0.7828
0,150,76.8546,1.6626,0.8243
0,151,71.8389,1.6382,0.8470
0,152,66.1647,1.4970,0.8244
0,153,75.9452,1.6198,0.8195
0,154,95.6528,1.9930,0.7926
0,155,73.4833,1.6606,0.8478
0,156,73.1432,1.5821,0.8210
0,157,67.6284,1.6325,0.8332
0,158,91.8369,2.7363,-1.8864
0,159,80.2701,1.7200,0.8295
0,160,78.3125,1.7484,0.7676
0,161,76.8603,1.7096,0.8407
0,162,71.3302,1.7629,0.8508
0,163,69.6187,1.7846,0.8274
0,164,60.9176,1.6735,0.8433
0,165,67.0240,1.7062,0.5910
0,166,72.6111,1.8934,-8.3610
0,167,69.6063,1.6152,0.8505
0,168,66.7372,1.6782,0.7919
0,169,64.7262,1.7908,0.7881
0,170,64.1147,1.6574,0.8549
0,171,62.4183,1.6807,0.8467
0,172,59.9991,1.6600,0.8214
0,173,62.2414,1.9541,0.8319
0,174,61.6740,1.6506,0.8704
0,175,66.6273,1.5824,0.8179
0,176,64.8114,1.5741,0.8647
0,177,67.1622,1.3901,0.8552
0,178,71.2252,1.3677,0.8434
0,179,67.8597,1.3793,0.8218
0,180,68.7730,1.5192,0.8434
0,181,67.0205,1.9331,0.8355
0,182,65.7967,1.9681,0.7059
0,183,62.9759,1.4440,0.8577
0,184,70.6350,1.4832,0.8046
0,185,68.5382,1.5386,0.8333
0,186,63.4402,1.5028,0.8200
0,187,98.1606,1.5311,0.7867
0,188,78.6087,1.4977,0.8364
0,189,69.8469,1.5674,0.8132
0,190,70.1375,1.4347,0.8508
0,191,66.1499,1.4530,0.8194
0,192,65.0730,1.3682,0.8111
0,193,63.1067,1.4192,0.8610
0,194,59.7707,1.6573,0.8305
0,195,61.7825,1.3204,0.8640
0,196,71.2669,1.6914,0.8253
0,197,60.9849,1.6975,0.8615
0,198,74.8861,1.6555,0.7746
0,199,69.0085,1.5499,0.4646
1,0,138.3769,2.8288,0.5765
1,1,98.7093,3.5364,0.6817
1,2,83.9377,3.3063,0.7378
1,3,81.8146,2.7385,0.7557
1,4,71.2896,2.7913,0.7923
1,5,73.9929,2.6255,0.7764
1,6,72.4743,2.7102,0.7873
1,7,70.3931,2.6545,0.7980
1,8,65.6110,2.5384,0.8145
1,9,64.3438,2.6561,0.8036
1,10,66.2276,2.6668,0.8101
1,11,65.4949,2.3111,0.7995
1,12,65.8408,2.0395,0.8115
1,13,65.6785,2.3023,0.7991
1,14,62.1589,2.7895,0.8229
1,15,65.0191,2.3354,0.8068
1,16,57.0503,2.5177,0.8350
1,17,58.4919,2.4734,0.8113
1,18,62.2821,2.5474,0.8240
1,19,62.3820,2.7897,0.7650
1,20,59.6017,2.3933,0.8316
1,21,57.5195,2.3768,0.8392
1,22,54.8338,2.4478,0.8401
1,23,55.7777,2.3997,0.8265
1,24,55.7084,2.4817,0.8486
1,25,54.1930,2.2675,0.8373
1,26,55.9508,2.8684,0.8270
1,27,56.8602,2.1682,0.8278
1,28,55.8584,2.6388,0.8425
1,29,54.4736,2.6100,0.8444
1,30,56.4993,2.7768,0.8395
1,31,53.5237,2.1978,0.8410
1,32,52.1818,2.4348,0.8446
1,33,53.0336,2.6386,0.8463
1,34,52.9897,2.3309,0.8496
1,35,55.7137,2.4163,0.8420
1,36,53.0554,2.8536,0.8451
1,37,54.4652,2.4745,0.8378
1,38,52.1812,2.1546,0.8560
1,39,53.2902,2.3896,0.8274
1,40,52.0787,2.2964,0.8446
1,41,58.4523,2.5987,0.8321
1,42,54.0930,2.4408,0.8426
1,43,56.0581,2.3340,0.8481
1,44,54.2718,2.5574,0.8348
1,45,52.1921,2.1507,0.8494
1,46,54.3466,2.5826,0.8378
1,47,49.5688,2.1505,0.8483
1,48,51.4431,2.1533,0.8576
1,49,52.4725,2.6202,0.8562
1,50,49.2257,2.5699,0.8604
1,51,50.2726,2.1198,0.8406
1,52,48.4184,2.5860,0.8592
1,53,53.1908,2.3677,0.8525
1,54,51.0209,2.4208,0.8536
1,55,51.8495,2.1169,0.8490
1,56,50.1283,2.4966,0.8609
1,57,52.1335,2.3781,0.8547
1,58,50.6711,2.3174,0.8604
1,59,52.1913,2.3853,0.8557
1,60,60.8837,2.3952,0.8312
1,61,56.7295,2.6175,0.8355
1,62,50.7674,3.4789,0.8483
1,63,50.1311,2.6315,0.8591
1,64,47.3321,2.5144,0.8685
1,65,50.4141,2.3652,0.8595
1,66,52.2232,2.4527,0.8507
1,67,53.3280,2.8247,0.8431
1,68,48.8807,2.3994,0.8647
1,69,51.5013,2.6227,0.8563
1,70,47.9231,2.7899,0.8722
1,71,49.9583,2.5403,0.8667
1,72,47.2377,2.4212,0.8710
1,73,45.8458,2.7905,0.8672
1,74,46.4605,2.2574,0.8714
1,75,49.4551,2.6418,0.8671
1,76,49.0264,2.0852,0.8653
1,77,47.5957,2.6784,0.8665
1,78,46.3213,2.4096,0.8764
1,79,45.0136,2.3814,0.8749
1,80,47.5901,2.3379,0.8684
1,81,46.7776,2.3196,0.8738
1,82,48.2844,2.7508,0.8581
1,83,49.8913,2.3997,0.8647
1,84,45.9120,2.8698,0.8725
1,85,45.7831,3.3448,0.8744
1,86,48.8391,2.5889,0.8668
1,87,48.5332,2.3989,0.8686
1,88,50.4142,2.5359,0.8374
1,89,45.8335,2.7316,0.8738
1,90,45.4481,3.0718,0.8661
1,91,45.9907,2.3357,0.8768
1,92,46.5262,2.6763,0.8729
1,93,47.2018,2.2042,0.8675
1,94,46.3298,2.6609,0.8742
1,95,46.3642,2.7763,0.8742
1,96,44.5095,2.4135,0.8826
1,97,43.4609,2.8289,0.8845
1,98,44.2316,2.0543,0.8745
1,99,45.7402,2.0440,0.8759
1,100,49.5887,2.3431,0.8641
1,101,46.3460,2.5147,0.8715
1,102,48.1581,2.5573,0.8724
1,103,44.6922,2.4285,0.8788
1,104,44.5268,2.4875,0.8793
1,105,48.8885,2.3456,0.8643
1,106,43.7981,2.5647,0.8772
1,107,45.7245,2.1656,0.8737
1,108,45.4717,2.1233,0.8790
1,109,43.7124,2.2258,0.8851
1,110,45.3921,2.3048,0.8798
1,111,45.2225,2.3570,0.8570
1,112,49.0183,2.4371,0.8637
1,113,47.5377,2.1892,0.8653
1,114,45.4285,2.7263,0.8691
1,115,54.7228,2.8128,0.8526
1,116,53.5634,2.2982,0.8497
1,117,50.1037,2.7339,0.8300
1,118,47.0011,2.2714,0.8679
1,119,48.4025,2.3801,0.8690
1,120,49.0845,2.5581,0.8691
1,121,45.5003,2.2657,0.8721
1,122,44.2941,2.1540,0.8829
1,123,46.3905,2.4123,0.8645
1,124,45.2382,2.7599,0.8721
1,125,45.4029,2.1605,0.8832
1,126,44.8884,2.0594,0.8755
1,127,44.5134,3.4639,0.8691
1,128,54.8621,2.2926,0.8433
1,129,50.1230,2.7705,0.8628
1,130,49.4003,3.1289,0.8644
1,131,47.9282,2.4646,0.8726
1,132,46.6083,2.4760,0.8730
1,133,46.9001,2.1243,0.8478
1,134,48.6543,2.3181,0.8529
1,135,47.2960,2.3795,0.8560
1,136,46.7973,2.2695,0.8762
1,137,44.0550,4.5644,0.8732
1,138,46.4353,2.5528,0.8760
1,139,42.9210,2.3928,0.8809
1,140,43.4047,2.2431,0.8839
1,141,44.9044,2.7781,0.8755
1,142,45.0232,3.5767,0.8815
1,143,45.1914,2.3199,0.8792
1,144,45.6769,2.1998,0.8751
1,145,44.6885,2.2858,0.8772
1,146,44.6492,2.1324,0.8841
1,147,43.2700,2.4127,0.8886
1,148,42.5680,2.4860,0.8886
1,149,41.2848,2.4777,0.8942
1,150,43.0741,2.4383,0.8851
1,151,44.0772,2.0189,0.8810
1,152,47.3137,2.3489,0.8679
1,153,46.7977,2.2533,0.8589
1,154,44.8574,2.2976,0.8755
1,155,45.5082,2.3611,0.8647
1,156,44.4745,2.4085,0.8791
1,157,43.9842,2.2832,0.8830
1,158,45.5858,2.2132,0.8637
1,159,42.8442,2.2636,0.8865
1,160,43.7085,2.2716,0.8778
1,161,44.7112,2.2839,0.8776
1,162,42.0305,2.5077,0.8882
1,163,45.5400,2.2974,0.8801
1,164,41.4582,2.4611,0.8905
1,165,44.9087,2.2688,0.8741
1,166,41.5267,2.6687,0.8828
1,167,43.0506,1.9978,0.8774
1,168,44.3561,1.9783,0.8757
1,169,45.2691,2.3491,0.8755
1,170,45.1086,2.3324,0.8819
1,171,45.4425,2.3649,0.8752
1,172,46.9506,2.3371,0.8758
1,173,45.8712,2.3205,0.8816
1,174,45.8886,2.6183,0.8783
1,175,42.1146,2.1934,0.8921
1,176,45.0644,2.3074,0.8811
1,177,43.5843,2.3586,0.8769
1,178,44.4533,2.1572,0.8856
1,179,45.1813,2.4856,0.8779
1,180,43.3258,2.4831,0.8852
1,181,43.1821,2.7951,0.8845
1,182,43.4647,2.1117,0.8886
1,183,43.7125,2.3837,0.8851
1,184,44.0320,2.1179,0.8865
1,185,41.2705,2.1442,0.8903
1,186,42.0490,2.4344,0.8919
1,187,42.4732,2.2008,0.8905
1,188,44.0443,2.0395,0.8825
1,189,41.4626,2.4038,0.8887
1,190,41.8665,2.0292,0.8914
1,191,42.5775,2.3855,0.8814
1,192,43.0362,2.2245,0.8892
1,193,44.2838,2.1842,0.8799
1,194,42.4043,2.6795,0.8890
1,195,42.9080,2.5846,0.8732
1,196,54.6699,2.6112,0.8460
1,197,52.9361,2.3830,0.8541
1,198,47.7017,3.2341,0.8763
1,199,43.9107,2.5476,0.8819
2,0,-22931.8739,1.2349,0.7087
2,1,-288018.1114,1.3169,0.7603
2,2,-921075.0880,1.2087,0.7746
2,3,-1841552.3806,1.2631,0.7817
2,4,-2962406.1526,1.2101,0.7963
2,5,-4224116.3533,1.2727,0.8000
2,6,-5588532.0595,1.2325,0.8038
2,7,-7030913.9529,1.1215,0.8095
2,8,-8534698.8771,1.1330,0.8086
2,9,-10088408.6155,1.1725,0.8150
2,10,-11683813.8365,1.1069,0.8137
2,11,-13314844.1308,1.1668,0.8104
2,12,-14976914.5203,1.1472,0.8177
2,13,-16666466.8107,1.1240,0.8200
2,14,-18380704.2061,1.1052,0.8282
2,15,-20117377.1972,1.1890,0.8332
2,16,-21874649.2250,1.0966,0.8264
2,17,-23651032.0971,1.1213,0.8346
2,18,-25445267.0347,1.0294,0.8342
2,19,-27256290.5590,1.0985,0.8303
2,20,-29083214.1943,1.1376,0.8255
2,21,-30925272.6759,1.1346,0.8369
2,22,-32781788.0674,1.1505,0.8326
2,23,-34652194.7195,1.0985,0.8282
2,24,-36536002.2597,1.1333,0.8376
2,25,-38432738.7314,1.0878,0.8308
2,26,-40342054.8662,1.1359,0.8385
2,27,-42263581.1378,1.1726,0.8311
2,28,-44197007.3736,1.2353,0.8323
2,29,-46142071.9604,1.2370,0.8344
2,30,-48098518.8385,1.2508,0.8358
2,31,-50066128.5629,1.1677,0.8363
2,32,-52044712.5946,1.2158,0.8449
2,33,-54034080.7413,1.1268,0.8450
2,34,-56034051.9286,1.1253,0.8460
2,35,-58044476.3806,1.2682,0.8365
2,36,-60065232.7096,1.2209,0.8405
2,37,-62096194.2597,1.1244,0.8491
2,38,-64137226.4618,1.2506,0.8384
2,39,-66188252.0357,1.1455,0.8400
2,40,-68249140.2339,1.2402,0.8458
2,41,-70319817.5778,1.2527,0.8452
2,42,-72400214.2636,1.1705,0.8519
2,43,-74490236.1705,1.1450,0.8489
2,44,-76589807.1516,1.1721,0.8469
2,45,-78698874.7275,1.3021,0.8407
2,46,-80817379.3459,1.1771,0.8460
2,47,-82945253.3360,1.0864,0.8514
2,48,-85082458.4896,1.1536,0.8573
2,49,-87228934.7156,1.1062,0.8485
2,50,-89384627.8057,1.0720,0.8442
2,51,-91549484.3290,1.2197,0.8465
2,52,-93723499.6868,1.1729,0.8485
2,53,-95906610.6244,1.1401,0.8540
2,54,-98098775.2626,1.1612,0.8513
2,55,-100299983.9604,1.1574,0.8503
2,56,-102510165.9703,1.0798,0.8566
2,57,-104729342.7552,1.1591,0.8570
2,58,-106957452.2577,1.1499,0.8578
2,59,-109194479.0406,1.1849,0.8546
2,60,-111440393.8553,1.1679,0.8565
2,61,-113695172.2498,1.1229,0.8487
2,62,-115958806.6442,1.2091,0.8497
2,63,-118231255.6353,1.1123,0.8567
2,64,-120512505.1021,1.1460,0.8506
2,65,-122802534.6601,1.1385,0.8568
2,66,-125101376.6026,1.1265,0.8528
2,67,-127408935.4133,1.2564,0.8558
2,68,-129725220.6700,1.0979,0.8540
2,69,-132050229.3598,1.1527,0.8578
2,70,-134383949.2725,1.1154,0.8620
2,71,-136726346.2597,1.1745,0.8593
2,72,-139077440.6501,1.1252,0.8526
2,73,-141437245.6056,1.0978,0.8557
2,74,-143805685.7879,1.2072,0.8594
2,75,-146182757.7879,1.2159,0.8594
2,76,-148568473.8474,1.1232,0.8495
2,77,-150962815.9366,1.1747,0.8570
2,78,-153365790.9851,1.1494,0.8567
2,79,-155777377.7284,1.1709,0.8605
2,80,-158197548.4163,1.2808,0.8545
2,81,-160626274.9812,1.1946,0.8566
2,82,-163063708.9554,1.1770,0.8602
2,83,-165509832.3568,1.2273,0.8646
2,84,-167964429.3043,1.1689,0.8599
2,85,-170427446.5015,1.1308,0.8552
2,86,-172899089.3637,1.2133,0.8669
2,87,-175379270.9138,1.1893,0.8645
2,88,-177868006.3746,1.1489,0.8625
2,89,-180365260.9395,1.2010,0.8583
2,90,-182871090.0139,1.1403,0.8500
2,91,-185385461.7721,1.0809,0.8637
2,92,-187908336.1586,1.1233,0.8611
2,93,-190439736.9911,1.1562,0.8587
2,94,-192979673.7047,1.1600,0.8596
2,95,-195528127.4926,1.2457,0.8586
2,96,-198085081.3399,1.2039,0.8633
2,97,-200650534.5332,1.1382,0.8619
2,98,-203224514.4103,1.2166,0.8615
2,99,-205806998.9455,1.1761,0.8601
2,100,-208398000.2537,1.2367,0.8593
2,101,-210997474.9970,1.1630,0.8615
2,102,-213605470.3350,1.1646,0.8678
2,103,-216221933.8593,1.2082,0.8631
2,104,-218846905.1972,1.1621,0.8601
