eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,1.0450047,0.010922877,0.0032330055,0.0,0.0
0.0,0.0,2.3699415,0.011124179,0.012813457,0.0,0.0
0.0,0.0,1.5765245,0.008947887,0.0064919004,0.0,0.0
0.0,0.0,2.0105362,0.012615058,0.015973726,0.0,0.0
0.0,0.0,2.0542846,0.01232173,0.012575151,0.0,0.0
0.0,0.0,1.5420392,0.011434055,0.006596966,0.0,0.0
0.0,0.0,1.8753161,0.009978213,0.010421612,0.0,0.0
0.0,0.0,1.1489012,0.024723217,0.008341079,0.0,0.0
0.0,0.0,2.5141256,0.04589255,0.015464956,0.0,0.0
0.0,0.0,6.8058505,0.024855657,0.025896572,0.0,0.0
0.0,0.0,0.5818475,0.013307283,0.0018247842,0.0022907082,0.0022907082
0.0,0.0,0.53567225,0.015635649,0.0015489883,0.0,0.0
0.0,0.0,0.7568578,0.0127593,0.002281446,0.0,0.0
0.0,0.0,0.99195606,0.013501279,0.010108715,0.0,0.0
0.0,0.0,0.51400346,0.013348775,0.0036434827,0.0,0.0
0.0,0.0,0.40649235,0.009274218,0.0031613896,0.0,0.0
0.0,0.0,0.49469963,0.012225183,0.0023916103,0.0,0.0
0.0,0.0,0.7635488,0.012754089,0.005712709,0.0,0.0
0.0,0.0,1.252738,0.029344251,0.008188015,0.0,0.0
0.0,0.0,3.929882,0.033503518,0.015569893,0.0,0.0
0.0,0.0,0.2882784,0.0067444476,0.00089014234,0.0031118474,0.0031118474
0.0,0.0,0.2151899,0.0048233178,0.0011618919,0.0011565033,0.0011565033
0.0,0.0,0.3484759,0.004371913,0.0017087987,0.0,0.0
0.0,0.0,0.34151682,0.00781896,0.0024295032,0.0,0.0
0.0,0.0,0.27603677,0.004934071,0.0024727287,0.0,0.0
0.0,0.0,0.289886,0.0046818117,0.0018897337,0.0,0.0
0.0,0.0,0.337477,0.0057192664,0.0030420981,0.0,0.0
0.0,0.0,0.36183023,0.007645256,0.0034007067,0.0,0.0
0.0,0.0,0.31477836,0.007914032,0.0035937259,0.0,0.0
0.0,0.0,1.237124,0.019135624,0.0060763354,0.0,0.0
0.0,0.0,0.24793367,0.007140544,0.0011155078,0.0032546117,0.0032546117
0.0,0.0,0.2651369,0.008466611,0.0014330404,0.0021213205,0.0021213205
0.0,0.0,0.2770663,0.004522995,0.0020516838,0.0013765901,0.0013765901
0.0,0.0,0.36841354,0.005396524,0.0016354969,0.0,0.0
0.0,0.0,0.2880512,0.004585231,0.0017448218,0.0,0.0
0.0,0.0,0.36405587,0.006541877,0.001855008,0.0,0.0
0.0,0.0,0.2835357,0.005510316,0.0026916538,0.0,0.0
0.0,0.0,0.4474372,0.011323982,0.0027717284,0.0,0.0
0.0,0.0,0.42830494,0.0079118125,0.003389322,0.0,0.0
0.0,0.0,0.91774386,0.010482566,0.0058800266,0.0,0.0
0.0,0.0,0.21702716,0.007420648,0.00085403665,0.0032022453,0.0032022453
0.0,0.0,0.24138996,0.015508792,0.0010617656,0.0017056894,0.0017056894
0.0,0.0,0.33077577,0.008081686,0.001716647,0.000992393,0.000992393
