training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,427.9240,1.0628,-0.3233
0,1,319.5690,2.4795,-0.0013
0,2,261.5723,4.5312,0.0920
0,3,264.7673,5.2363,0.1881
0,4,245.4088,4.0536,0.2057
0,5,221.9455,3.0329,0.2750
0,6,216.7538,2.4227,0.3471
0,7,212.4355,2.3207,0.3515
0,8,202.3570,2.3415,0.3816
0,9,187.2109,2.7103,0.4322
0,10,176.6726,3.0921,0.4537
0,11,172.2743,3.2045,0.4606
0,12,166.0635,3.1196,0.4838
0,13,158.0567,2.7526,0.5151
0,14,153.9466,2.3191,0.5471
0,15,149.7886,2.0724,0.5423
0,16,145.2521,2.1445,0.5507
0,17,137.7076,2.0592,0.5902
0,18,134.3502,2.0470,0.6029
0,19,130.5114,1.9121,0.6121
0,20,129.0778,2.0072,0.5958
0,21,121.8985,1.9950,0.6213
0,22,120.4337,1.8345,0.6406
0,23,116.0835,1.6759,0.6410
0,24,114.2249,1.5376,0.6569
0,25,111.5649,1.5567,0.6659
0,26,108.4975,1.4267,0.6656
0,27,106.0061,1.4963,0.6770
0,28,102.1245,1.4867,0.6778
0,29,101.5398,1.5655,0.6983
0,30,95.1695,1.5260,0.7035
0,31,94.6193,1.2441,0.7081
0,32,94.6450,1.1846,0.7132
0,33,92.8814,1.3155,0.7075
0,34,90.7658,1.2733,0.7324
0,35,89.1423,1.2220,0.7253
0,36,86.0889,1.1486,0.7198
0,37,87.5210,1.1166,0.7297
0,38,84.5244,1.1424,0.7430
0,39,85.1211,1.1467,0.7390
0,40,81.3770,1.1256,0.7501
0,41,80.8316,1.0788,0.7359
0,42,81.5399,1.0862,0.7466
0,43,80.3515,1.1239,0.7439
0,44,77.0095,1.1316,0.7539
0,45,76.3997,1.0200,0.7561
0,46,75.8755,1.0013,0.7586
0,47,76.6327,0.9807,0.7538
0,48,71.9314,1.0692,0.7582
0,49,73.7350,1.0511,0.7591
0,50,73.4139,1.0134,0.7731
0,51,72.7365,0.9785,0.7706
0,52,70.7449,0.9281,0.7781
0,53,71.3225,1.0534,0.7610
0,54,70.0651,1.0574,0.7668
0,55,68.2642,1.0020,0.7874
0,56,69.6611,0.9588,0.7719
0,57,67.9320,1.0370,0.7635
0,58,67.8276,1.0230,0.7725
0,59,65.6951,0.8883,0.7887
0,60,67.3357,1.0110,0.7828
0,61,65.0395,0.9532,0.7917
0,62,65.3318,0.9525,0.7962
0,63,63.9436,0.9858,0.7981
0,64,64.0140,0.9183,0.7787
0,65,64.0488,0.9356,0.7923
0,66,62.8138,0.9689,0.8010
0,67,62.5732,0.9602,0.7973
0,68,62.6720,0.9038,0.8029
0,69,62.0070,0.8916,0.7918
0,70,60.9434,0.8704,0.8031
0,71,60.7633,0.8956,0.8152
0,72,60.6409,0.9723,0.7879
0,73,60.3816,0.9111,0.7938
0,74,58.7002,0.8265,0.8003
0,75,57.8792,0.8360,0.8033
0,76,59.0602,0.8622,0.8005
0,77,60.3644,0.9058,0.7868
0,78,59.4645,0.8557,0.8159
0,79,58.4248,0.8526,0.8099
0,80,58.3068,0.9147,0.8011
0,81,57.7214,0.8896,0.8102
0,82,58.3588,0.8314,0.8137
0,83,58.2423,0.8468,0.8110
0,84,54.0317,0.8536,0.8232
0,85,56.1897,0.8075,0.8129
0,86,54.6497,0.8312,0.8233
0,87,55.5708,0.7819,0.8031
0,88,55.1792,0.8255,0.8217
0,89,54.5495,0.8435,0.8213
0,90,55.8050,0.8219,0.7976
0,91,54.9734,0.8730,0.8226
0,92,53.4286,0.8103,0.8282
0,93,54.3213,0.8551,0.8089
0,94,53.5114,0.7792,0.8257
0,95,54.1575,0.7997,0.8207
0,96,53.3168,0.8285,0.8165
0,97,52.9119,0.8105,0.8220
0,98,53.5982,0.8158,0.8174
0,99,52.5486,0.8261,0.8301
0,100,53.5946,0.7718,0.8211
0,101,51.2897,0.7886,0.8184
0,102,51.6295,0.8634,0.8251
0,103,52.6782,0.8717,0.8004
0,104,52.1731,0.8187,0.8147
0,105,51.0254,0.8336,0.8283
0,106,51.6998,0.7668,0.8289
0,107,52.6386,0.7362,0.8265
0,108,51.9104,0.7516,0.8152
0,109,51.6699,0.7893,0.8229
0,110,49.6609,0.7529,0.8370
0,111,49.3476,0.7839,0.8386
0,112,50.4993,0.7573,0.8306
0,113,49.6745,0.7500,0.8272
0,114,50.6384,0.7603,0.8325
0,115,50.0831,0.7823,0.8325
0,116,49.9514,0.7899,0.8303
0,117,50.9682,0.7267,0.8305
0,118,50.7749,0.8159,0.8251
0,119,50.5052,0.7562,0.8374
0,120,49.3183,0.7295,0.8416
0,121,49.2261,0.7512,0.8446
0,122,49.8772,0.7762,0.8391
0,123,49.6879,0.8128,0.8241
0,124,50.9647,0.7844,0.8319
0,125,49.7941,0.7421,0.8335
0,126,47.8700,0.6901,0.8375
0,127,48.0228,0.7509,0.8441
0,128,47.6476,0.8074,0.8365
0,129,47.7090,0.7541,0.8413
0,130,47.9255,0.7383,0.8392
0,131,47.5730,0.7594,0.8446
0,132,47.9450,0.7314,0.8310
0,133,45.7936,0.7846,0.8258
0,134,47.2246,0.7590,0.8374
0,135,47.0205,0.7486,0.8351
0,136,48.3696,0.7808,0.8419
0,137,47.8588,0.7775,0.8334
0,138,48.1288,0.7239,0.8447
0,139,49.1922,0.7517,0.8244
0,140,45.7165,0.7374,0.8434
0,141,46.1755,0.7431,0.8302
0,142,47.1411,0.7372,0.8435
0,143,49.0186,0.6828,0.8246
0,144,45.8163,0.7015,0.8452
0,145,46.0741,0.7563,0.8465
0,146,44.2208,0.7243,0.8459
0,147,46.1722,0.7114,0.8454
0,148,46.6188,0.7598,0.8398
0,149,45.7198,0.7669,0.8348
0,150,47.1738,0.7682,0.8253
0,151,45.4711,0.6963,0.8458
0,152,45.0629,0.6921,0.8369
0,153,46.8938,0.7272,0.8352
0,154,45.3403,0.7549,0.8339
0,155,46.6777,0.6927,0.8350
0,156,45.0580,0.7423,0.8440
0,157,44.9871,0.7784,0.8430
0,158,44.4808,0.7202,0.8526
0,159,43.4726,0.7570,0.8489
0,160,44.2341,0.7113,0.8537
0,161,44.3401,0.7243,0.8407
0,162,44.5992,0.7151,0.8432
0,163,44.7820,0.7183,0.8509
0,164,43.7179,0.7257,0.8412
0,165,44.8001,0.7547,0.8443
0,166,44.0930,0.7297,0.8261
0,167,43.7176,0.7164,0.8461
0,168,43.0397,0.7172,0.8610
0,169,45.2016,0.7045,0.8424
0,170,44.1549,0.6978,0.8528
0,171,43.0895,0.6996,0.8511
0,172,43.9342,0.7448,0.8573
0,173,43.6667,0.7129,0.8461
0,174,42.9962,0.6791,0.8579
0,175,44.6060,0.7182,0.8468
0,176,41.7246,0.7401,0.8509
0,177,43.8307,0.6727,0.8493
0,178,43.2520,0.6680,0.8514
0,179,42.7338,0.6996,0.8522
0,180,43.6854,0.6989,0.8411
0,181,43.5066,0.7149,0.8517
0,182,42.6955,0.6980,0.8598
0,183,43.8046,0.6894,0.8579
0,184,41.8071,0.6899,0.8628
0,185,43.5066,0.6750,0.8547
0,186,43.8376,0.6510,0.8508
0,187,42.6826,0.6696,0.8518
0,188,42.5245,0.7015,0.8645
0,189,42.7521,0.6928,0.8467
0,190,42.6185,0.7104,0.8588
0,191,42.6950,0.7052,0.8520
0,192,42.8771,0.7439,0.8491
0,193,43.6282,0.7198,0.8538
0,194,42.5526,0.7743,0.8530
0,195,41.7540,0.6882,0.8588
0,196,42.1750,0.7304,0.8432
0,197,42.0475,0.7215,0.8595
0,198,42.0121,0.6418,0.8548
0,199,42.4134,0.7222,0.8502
0,200,43.3923,0.7026,0.8497
0,201,42.5444,0.6532,0.8544
0,202,42.5232,0.6420,0.8526
0,203,43.1029,0.7037,0.8465
0,204,43.4044,0.7269,0.8427
0,205,42.2583,0.6267,0.8505
0,206,42.7802,0.7216,0.8520
0,207,41.1991,0.7005,0.8637
0,208,42.0778,0.7426,0.8373
0,209,40.8902,0.6760,0.8576
0,210,39.6640,0.6638,0.8685
0,211,40.9759,0.6699,0.8590
0,212,40.7620,0.6858,0.8576
0,213,41.6044,0.6727,0.8534
0,214,40.8947,0.6888,0.8603
0,215,42.5085,0.7178,0.8564
0,216,41.7737,0.6917,0.8403
0,217,41.6960,0.7035,0.8539
0,218,40.7695,0.7115,0.8606
0,219,41.5323,0.7491,0.8449
0,220,40.3228,0.7036,0.8410
0,221,40.2225,0.6893,0.8599
0,222,39.6738,0.6613,0.8537
0,223,40.0126,0.6471,0.8635
0,224,40.3568,0.6570,0.8440
0,225,40.1455,0.7041,0.8603
0,226,40.7822,0.6780,0.8490
0,227,40.6762,0.6497,0.8608
0,228,41.0464,0.7065,0.8575
0,229,41.0006,0.6541,0.8490
0,230,40.1904,0.6922,0.8588
0,231,41.5846,0.6961,0.8644
0,232,41.2379,0.6782,0.8670
0,233,39.9542,0.6558,0.8646
0,234,40.2370,0.6852,0.8580
0,235,41.2770,0.6572,0.8504
0,236,40.2660,0.6545,0.8656
0,237,39.8921,0.6708,0.8502
0,238,40.8217,0.6533,0.8556
0,239,39.0958,0.6648,0.8557
0,240,40.1037,0.6776,0.8670
0,241,38.9278,0.6339,0.8666
0,242,40.1954,0.6847,0.8531
0,243,40.0429,0.6718,0.8575
0,244,40.2458,0.6943,0.8600
0,245,39.9106,0.6623,0.8598
0,246,40.1797,0.6469,0.8557
0,247,39.6969,0.6601,0.8674
0,248,41.9672,0.6621,0.8403
0,249,39.9048,0.6625,0.8611
1,0,58.6233,0.8643,0.7937
1,1,55.8348,1.0245,0.8013
1,2,52.8129,0.8993,0.8127
1,3,50.2997,1.0442,0.8198
1,4,47.9579,0.7937,0.8272
1,5,46.1097,0.7749,0.8369
1,6,45.9308,0.7855,0.8338
1,7,44.3847,0.7712,0.8397
1,8,43.9399,0.7903,0.8410
1,9,44.3469,0.8305,0.8375
1,10,43.2899,0.8428,0.8400
1,11,42.9529,0.7992,0.8419
1,12,42.6210,0.7579,0.8394
1,13,42.6048,0.8210,0.8449
1,14,42.3844,0.7918,0.8444
1,15,42.7082,0.8346,0.8471
1,16,41.1951,0.7719,0.8497
1,17,41.3400,0.7999,0.8484
1,18,41.1501,0.8057,0.8481
1,19,40.2295,0.7559,0.8517
1,20,40.6480,0.7765,0.8485
1,21,40.7561,0.7284,0.8506
1,22,40.1150,0.7950,0.8509
1,23,40.4260,0.7902,0.8497
1,24,41.1711,0.7718,0.8472
1,25,40.4792,0.8256,0.8517
1,26,39.1599,0.7616,0.8550
1,27,40.9823,0.7701,0.8487
1,28,40.3958,0.7631,0.8486
1,29,39.8779,0.7478,0.8533
1,30,39.6484,0.7353,0.8525
1,31,39.2004,0.7600,0.8524
1,32,38.7263,0.7752,0.8560
1,33,38.8169,0.7209,0.8575
1,34,38.9548,0.7620,0.8549
1,35,39.0635,0.7458,0.8545
1,36,38.2866,0.7282,0.8572
1,37,38.8650,0.7510,0.8543
1,38,38.7913,0.7170,0.8549
1,39,38.5029,0.7520,0.8570
1,40,38.4836,0.7209,0.8588
1,41,37.9776,0.7105,0.8571
1,42,37.3240,0.7519,0.8629
1,43,37.6917,0.7303,0.8608
1,44,37.5384,0.7121,0.8585
1,45,37.3608,0.7337,0.8606
1,46,37.8273,0.7292,0.8587
1,47,37.9154,0.7050,0.8588
1,48,37.6127,0.7161,0.8595
1,49,36.8759,0.7080,0.8622
1,50,37.2209,0.6971,0.8627
1,51,36.7981,0.7327,0.8586
1,52,37.1031,0.7165,0.8639
1,53,37.3121,0.7002,0.8634
1,54,36.9137,0.6971,0.8646
1,55,36.1564,0.7133,0.8689
1,56,37.1145,0.7233,0.8625
1,57,36.0627,0.6962,0.8670
1,58,36.1456,0.7108,0.8622
1,59,36.4705,0.6948,0.8648
1,60,36.9078,0.7503,0.8624
1,61,36.2808,0.7104,0.8666
1,62,37.3275,0.6973,0.8594
1,63,36.0470,0.6737,0.8642
1,64,35.3928,0.6914,0.8683
1,65,36.1007,0.6837,0.8640
1,66,35.9123,0.6911,0.8642
1,67,35.7327,0.6928,0.8646
1,68,36.4532,0.7005,0.8641
1,69,36.2053,0.7228,0.8649
1,70,35.6972,0.7100,0.8652
1,71,36.2235,0.7016,0.8650
1,72,35.0741,0.6803,0.8696
1,73,35.8159,0.6834,0.8651
1,74,35.4448,0.6975,0.8677
1,75,36.3214,0.7135,0.8638
1,76,35.3294,0.6675,0.8666
1,77,34.9902,0.6597,0.8660
1,78,35.2271,0.6961,0.8626
1,79,35.1603,0.6786,0.8647
1,80,35.2744,0.7361,0.8680
1,81,35.5381,0.6732,0.8651
1,82,34.8554,0.6848,0.8704
1,83,34.4665,0.6612,0.8710
1,84,34.8217,0.6758,0.8692
1,85,35.0180,0.6854,0.8683
1,86,33.7440,0.7029,0.8734
1,87,34.9144,0.6971,0.8696
1,88,33.9080,0.6908,0.8729
1,89,34.8575,0.6907,0.8700
1,90,33.5602,0.6966,0.8757
1,91,34.3317,0.6523,0.8678
1,92,34.6716,0.6865,0.8685
1,93,34.3087,0.6919,0.8716
1,94,33.7076,0.6701,0.8742
1,95,33.9385,0.6654,0.8732
1,96,33.5441,0.6651,0.8714
1,97,34.1471,0.6622,0.8704
1,98,34.0161,0.6792,0.8730
1,99,34.0077,0.6719,0.8720
1,100,34.2051,0.7098,0.8712
1,101,33.5195,0.6795,0.8738
1,102,33.7627,0.6961,0.8725
1,103,33.9043,0.6529,0.8725
1,104,33.8923,0.6695,0.8729
1,105,33.8262,0.6450,0.8717
1,106,33.8716,0.6654,0.8720
1,107,33.4150,0.6636,0.8750
1,108,33.4937,0.6635,0.8731
1,109,33.7681,0.6542,0.8694
1,110,33.8269,0.6465,0.8739
1,111,33.3232,0.6736,0.8742
1,112,33.2632,0.6252,0.8752
1,113,34.0253,0.6646,0.8730
1,114,33.5715,0.6516,0.8739
1,115,33.4063,0.7337,0.8718
1,116,33.6461,0.6970,0.8719
1,117,33.6789,0.6604,0.8704
1,118,33.4355,0.6490,0.8745
1,119,33.0885,0.6566,0.8728
1,120,32.5219,0.6584,0.8761
1,121,32.9799,0.6529,0.8747
1,122,32.7307,0.6537,0.8747
1,123,33.1035,0.6818,0.8721
1,124,33.3173,0.6608,0.8719
1,125,33.4953,0.6429,0.8725
1,126,32.6056,0.6750,0.8765
1,127,31.9040,0.6653,0.8812
1,128,31.8064,0.6809,0.8794
1,129,33.6342,0.6629,0.8731
1,130,32.6063,0.6650,0.8749
1,131,33.4159,0.6600,0.8714
1,132,32.4343,0.6460,0.8766
1,133,32.2418,0.6456,0.8790
1,134,32.5351,0.6342,0.8766
1,135,32.5582,0.6588,0.8748
1,136,32.1240,0.6621,0.8781
1,137,32.4504,0.6455,0.8772
1,138,32.8744,0.6426,0.8746
1,139,32.0526,0.6555,0.8773
1,140,31.9038,0.6356,0.8773
1,141,32.2382,0.6473,0.8793
1,142,32.2145,0.6410,0.8767
1,143,31.4435,0.6522,0.8799
1,144,32.4953,0.6570,0.8780
1,145,31.8633,0.6828,0.8766
1,146,31.9741,0.6536,0.8765
1,147,32.1118,0.6600,0.8765
1,148,31.9511,0.6475,0.8791
1,149,32.4055,0.6540,0.8762
1,150,31.9775,0.6430,0.8775
1,151,32.5159,0.6626,0.8745
1,152,32.8192,0.6738,0.8752
1,153,32.3162,0.6603,0.8768
1,154,32.5442,0.6597,0.8749
1,155,32.1590,0.6619,0.8795
1,156,30.8442,0.6412,0.8827
1,157,32.0588,0.6491,0.8760
1,158,32.7522,0.6395,0.8756
1,159,31.8899,0.6511,0.8776
1,160,31.7569,0.6597,0.8778
1,161,31.9257,0.6651,0.8778
1,162,32.7157,0.6374,0.8762
1,163,32.5467,0.6504,0.8764
1,164,31.8422,0.6502,0.8756
1,165,31.3860,0.6610,0.8796
1,166,32.5572,0.6566,0.8770
1,167,32.1831,0.6575,0.8763
1,168,32.0020,0.6518,0.8766
1,169,32.2687,0.6586,0.8770
1,170,32.5528,0.6383,0.8761
1,171,31.8149,0.6457,0.8791
1,172,32.1697,0.6512,0.8792
1,173,32.0484,0.6395,0.8782
1,174,32.2967,0.6493,0.8764
1,175,31.6379,0.6617,0.8792
1,176,31.5112,0.6600,0.8778
1,177,32.8161,0.6420,0.8755
1,178,31.3502,0.6513,0.8783
1,179,31.9178,0.6664,0.8760
1,180,31.6274,0.6553,0.8765
1,181,32.4013,0.6467,0.8768
1,182,32.1259,0.6575,0.8757
1,183,32.0683,0.6464,0.8781
1,184,32.2388,0.6455,0.8768
1,185,32.4898,0.6417,0.8757
1,186,31.7925,0.6671,0.8805
1,187,32.0073,0.6485,0.8804
1,188,31.5117,0.6423,0.8807
1,189,32.1119,0.6745,0.8752
1,190,32.9918,0.6500,0.8706
1,191,31.4146,0.6585,0.8819
1,192,32.6157,0.6501,0.8760
1,193,32.2040,0.6409,0.8769
1,194,32.4294,0.6565,0.8766
1,195,32.5698,0.6529,0.8770
1,196,32.4287,0.6378,0.8765
1,197,32.2225,0.6487,0.8744
1,198,32.0754,0.6770,0.8760
1,199,31.4196,0.6516,0.8826
1,200,32.4840,0.6593,0.8749
1,201,32.2634,0.6449,0.8795
1,202,32.5716,0.6433,0.8762
1,203,32.5072,0.6696,0.8775
1,204,31.6323,0.6362,0.8819
1,205,32.1185,0.6485,0.8778
1,206,31.9188,0.6648,0.8778
1,207,32.2917,0.6614,0.8798
1,208,32.8621,0.6503,0.8751
1,209,32.1587,0.6572,0.8772
1,210,31.4486,0.6503,0.8802
1,211,32.0945,0.6663,0.8804
1,212,31.6284,0.6592,0.8800
1,213,32.2602,0.6557,0.8784
1,214,32.0666,0.6596,0.8774
1,215,32.4775,0.6614,0.8760
1,216,31.7735,0.6532,0.8794
1,217,31.8646,0.6486,0.8789
1,218,32.6417,0.6478,0.8769
1,219,32.2029,0.6613,0.8742
1,220,32.1717,0.6722,0.8742
1,221,31.9060,0.6425,0.8802
1,222,31.8737,0.6484,0.8780
1,223,32.3721,0.6818,0.8737
