training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,429.8345,1.2005,-0.3162
0,1,324.1609,2.7082,0.0210
0,2,262.0585,5.1737,0.1135
0,3,259.7841,5.2193,0.2095
0,4,239.8036,4.3623,0.2540
0,5,219.7514,3.0925,0.3330
0,6,211.3042,2.5409,0.3517
0,7,207.8727,2.3696,0.3681
0,8,197.8425,2.5842,0.3913
0,9,184.9079,2.5346,0.4608
0,10,176.0280,3.1530,0.4530
0,11,172.5187,3.3242,0.4786
0,12,163.5485,3.0152,0.4930
0,13,158.0936,2.7794,0.5236
0,14,151.8725,2.4215,0.5304
0,15,147.5446,2.1974,0.5620
0,16,144.2802,2.2571,0.5643
0,17,136.2285,2.0976,0.5960
0,18,134.4100,2.2207,0.6114
0,19,129.6887,2.0937,0.6130
0,20,126.9071,2.0322,0.6143
0,21,122.6669,1.6921,0.6275
0,22,119.2759,1.7939,0.6486
0,23,117.5964,1.7564,0.6518
0,24,113.7667,1.7287,0.6646
0,25,112.7399,1.7074,0.6609
0,26,107.4045,1.4939,0.6626
0,27,103.4915,1.4281,0.6766
0,28,102.0647,1.4854,0.6683
0,29,99.8306,1.4553,0.7074
0,30,97.0003,1.4181,0.7069
0,31,98.5092,1.3945,0.6949
0,32,95.4553,1.3010,0.6964
0,33,93.3326,1.3509,0.7162
0,34,90.3757,1.2491,0.7131
0,35,86.6892,1.0973,0.7302
0,36,86.7602,1.1508,0.7210
0,37,85.8134,1.1888,0.7047
0,38,85.8737,1.1146,0.7257
0,39,82.7789,1.0242,0.7350
0,40,81.7741,1.1434,0.7342
0,41,78.2356,1.3040,0.7618
0,42,77.5287,1.1309,0.7598
0,43,80.8255,1.1072,0.7507
0,44,78.2584,1.0468,0.7566
0,45,76.1363,1.0865,0.7629
0,46,77.4611,1.1565,0.7507
0,47,75.3862,1.0219,0.7465
0,48,72.1927,1.0060,0.7759
0,49,73.6143,1.0229,0.7638
0,50,71.1485,1.0465,0.7696
0,51,71.1711,1.0040,0.7658
0,52,71.0873,1.0052,0.7692
0,53,69.4873,0.9948,0.7835
0,54,69.8076,0.9575,0.7764
0,55,68.7103,0.9364,0.7812
0,56,66.9808,0.9355,0.7820
0,57,66.5444,1.0406,0.7822
0,58,65.8199,1.0017,0.7814
0,59,65.5571,0.9162,0.7779
0,60,65.2779,1.0054,0.7909
0,61,66.7251,1.0015,0.7786
0,62,63.8933,0.9945,0.7871
0,63,64.8355,0.8956,0.7746
0,64,64.5163,0.9994,0.7856
0,65,63.7311,0.9238,0.7897
0,66,63.5198,0.9485,0.7868
0,67,62.9186,0.8763,0.8004
0,68,59.3870,0.9230,0.8067
0,69,61.3169,0.9537,0.8004
0,70,61.5204,0.8573,0.7916
0,71,61.0020,0.8021,0.7938
0,72,60.8512,0.8870,0.7898
0,73,59.6836,0.9436,0.7990
0,74,58.1070,0.9004,0.8149
0,75,58.0491,0.8956,0.8091
0,76,60.1089,0.8417,0.7949
0,77,57.7189,0.8978,0.8021
0,78,56.2531,0.8086,0.8132
0,79,58.3801,0.8191,0.8092
0,80,55.6278,0.7897,0.8195
0,81,57.1926,0.8623,0.8184
0,82,56.5879,0.8742,0.8166
0,83,55.7956,0.8598,0.8272
0,84,53.7653,0.8242,0.8083
0,85,55.7862,0.8002,0.8163
0,86,55.1435,0.8269,0.7991
0,87,54.5110,0.8328,0.8123
0,88,53.4779,0.8109,0.8257
0,89,53.9054,0.8434,0.8248
0,90,52.2884,0.8939,0.8351
0,91,54.4140,0.8019,0.8079
0,92,53.0897,0.8197,0.8313
0,93,52.1952,0.7698,0.8279
0,94,53.1581,0.7905,0.8180
0,95,53.2417,0.8206,0.8060
0,96,53.7461,0.8451,0.8188
0,97,52.1562,0.8181,0.8253
0,98,52.1358,0.7458,0.8155
0,99,52.1048,0.7599,0.8295
0,100,50.5526,0.8122,0.8314
0,101,50.9429,0.7664,0.8311
0,102,50.8940,0.7630,0.8293
0,103,50.9043,0.7648,0.8325
0,104,50.2526,0.8138,0.8203
0,105,52.2097,0.7490,0.8283
0,106,50.3493,0.7301,0.8221
0,107,50.6808,0.7359,0.8323
0,108,50.7630,0.8148,0.8347
0,109,51.2616,0.7467,0.8276
0,110,48.8511,0.7943,0.8379
0,111,51.8325,0.7923,0.8238
0,112,48.9465,0.7423,0.8372
0,113,49.7738,0.7379,0.8360
0,114,49.6686,0.8218,0.8323
0,115,49.9591,0.7961,0.8335
0,116,48.6363,0.7512,0.8353
0,117,49.0784,0.7065,0.8349
0,118,49.2160,0.7777,0.8180
0,119,49.2298,0.7636,0.8317
0,120,48.5285,0.7091,0.8291
0,121,48.6198,0.7073,0.8378
0,122,48.5956,0.7858,0.8351
0,123,48.6380,0.7294,0.8295
0,124,46.6415,0.7605,0.8317
0,125,48.7276,0.7382,0.8391
0,126,47.5096,0.6971,0.8406
0,127,49.0874,0.7726,0.8241
0,128,46.0979,0.7436,0.8338
0,129,47.9831,0.7595,0.8322
0,130,47.9475,0.7579,0.8384
0,131,47.1712,0.7392,0.8456
0,132,47.0945,0.7578,0.8367
0,133,48.1270,0.7851,0.8382
0,134,46.6982,0.7573,0.8415
0,135,47.3734,0.7452,0.8450
0,136,47.3847,0.7002,0.8405
0,137,47.8134,0.7434,0.8325
0,138,47.3377,0.8592,0.8417
0,139,46.3370,0.7510,0.8372
0,140,46.1445,0.6999,0.8391
0,141,45.6926,0.7634,0.8424
0,142,46.4279,0.7748,0.8372
0,143,43.8291,0.7467,0.8440
0,144,45.6622,0.7022,0.8430
0,145,46.4112,0.7123,0.8376
0,146,46.4428,0.6974,0.8355
0,147,45.4183,0.7089,0.8395
0,148,45.0517,0.7133,0.8389
0,149,46.1603,0.7542,0.8370
0,150,45.5822,0.7655,0.8418
0,151,45.4300,0.7450,0.8231
0,152,45.1199,0.7086,0.8452
0,153,45.5257,0.7501,0.8377
0,154,44.6584,0.6928,0.8477
0,155,44.0573,0.7307,0.8507
0,156,44.6353,0.7053,0.8425
0,157,42.8129,0.7075,0.8514
0,158,44.6598,0.7386,0.8498
0,159,45.6688,0.7363,0.8410
0,160,44.1302,0.7258,0.8452
0,161,46.3518,0.7017,0.8431
0,162,44.6616,0.6631,0.8370
0,163,43.9047,0.6807,0.8521
0,164,44.8925,0.7179,0.8479
0,165,45.5655,0.7265,0.8471
0,166,44.2058,0.7192,0.8494
0,167,45.3558,0.6949,0.8450
0,168,43.6746,0.6844,0.8524
0,169,44.3542,0.6717,0.8523
0,170,44.1635,0.6891,0.8504
0,171,44.2919,0.7196,0.8451
0,172,44.3583,0.7056,0.8498
0,173,43.9565,0.7895,0.8534
0,174,44.6881,0.7075,0.8571
0,175,43.3664,0.7420,0.8531
0,176,43.1241,0.7267,0.8443
0,177,44.9565,0.6745,0.8505
0,178,44.0159,0.6888,0.8582
0,179,43.9112,0.6981,0.8395
0,180,45.0026,0.7334,0.8488
0,181,44.8485,0.7091,0.8524
0,182,44.2297,0.7076,0.8495
0,183,44.7927,0.7541,0.8452
0,184,43.8266,0.6969,0.8575
0,185,44.2134,0.6954,0.8456
0,186,44.7018,0.6874,0.8308
0,187,43.3881,0.6974,0.8581
0,188,44.4529,0.7291,0.8361
0,189,43.4400,0.6820,0.8410
0,190,44.0481,0.7419,0.8411
0,191,43.1429,0.6882,0.8428
0,192,44.3031,0.7544,0.8328
0,193,43.9058,0.7213,0.8310
0,194,43.9032,0.6675,0.8507
0,195,42.6948,0.6677,0.8530
0,196,44.9022,0.6763,0.8515
0,197,43.9486,0.6729,0.8456
0,198,44.1579,0.7320,0.8493
0,199,44.2499,0.6802,0.8480
0,200,43.7457,0.6925,0.8465
0,201,42.8606,0.7197,0.8519
0,202,42.9404,0.7399,0.8492
0,203,43.5858,0.7563,0.8576
0,204,43.3104,0.6924,0.8561
0,205,44.4460,0.7327,0.8520
0,206,42.3892,0.6852,0.8501
0,207,42.7322,0.6714,0.8488
0,208,43.7056,0.7438,0.8449
0,209,42.5795,0.6685,0.8436
0,210,44.0703,0.6675,0.8473
0,211,44.6621,0.7051,0.8419
0,212,44.2704,0.7027,0.8505
0,213,43.5125,0.7047,0.8596
0,214,43.9861,0.6949,0.8535
0,215,43.6147,0.7177,0.8568
0,216,42.3655,0.7103,0.8442
0,217,42.8160,0.7064,0.8469
0,218,41.6185,0.6803,0.8524
0,219,42.8506,0.7214,0.8433
0,220,43.1737,0.6692,0.8379
0,221,43.0187,0.6997,0.8514
0,222,43.5020,0.7009,0.8370
0,223,42.8778,0.7709,0.8508
0,224,44.0500,0.6999,0.8550
0,225,45.2754,0.7037,0.8352
0,226,44.0564,0.7039,0.8477
0,227,42.9192,0.7035,0.8561
0,228,42.6867,0.6995,0.8473
0,229,44.2406,0.6829,0.8596
0,230,43.6152,0.6886,0.8495
0,231,43.6941,0.7226,0.8532
0,232,43.5645,0.7784,0.8478
0,233,43.6340,0.6786,0.8536
0,234,44.4859,0.7087,0.8457
0,235,43.1243,0.6807,0.8571
0,236,43.8259,0.7098,0.8353
0,237,42.4974,0.7434,0.8520
0,238,44.6222,0.7127,0.8493
0,239,44.6831,0.7115,0.8548
0,240,42.7909,0.7263,0.8496
0,241,44.2011,0.7152,0.8454
0,242,43.7076,0.7167,0.8578
0,243,42.7054,0.6978,0.8578
0,244,43.9225,0.7539,0.8377
0,245,43.6003,0.6968,0.8550
0,246,43.3345,0.6970,0.8480
0,247,41.9601,0.7241,0.8592
0,248,43.5642,0.7374,0.8550
0,249,44.2892,0.6982,0.8488
1,0,78.8280,0.9049,0.7150
1,1,68.7090,1.4467,0.7607
1,2,63.8653,1.2843,0.7737
1,3,62.3127,1.0371,0.7699
1,4,54.7070,1.0397,0.7980
1,5,55.8610,1.0949,0.7979
1,6,51.4710,0.8143,0.8019
1,7,50.4710,0.8063,0.8122
1,8,47.0939,0.8630,0.8184
1,9,47.0842,0.8908,0.8236
1,10,45.9092,0.7817,0.8134
1,11,45.0706,0.7892,0.8255
1,12,45.0077,0.9072,0.8291
1,13,44.0787,0.8674,0.8355
1,14,44.0396,0.8613,0.8321
1,15,42.0416,0.8625,0.8440
1,16,43.2721,0.9223,0.8376
1,17,42.3316,0.7687,0.8295
1,18,40.3120,0.7555,0.8498
1,19,40.7551,0.8202,0.8456
1,20,40.3944,0.8926,0.8483
1,21,40.5671,0.8846,0.8473
1,22,38.8011,0.8287,0.8479
1,23,40.4263,0.9446,0.8397
1,24,39.8862,0.9635,0.8478
1,25,39.4514,0.7904,0.8528
1,26,39.4071,0.8239,0.8478
1,27,39.0723,0.8325,0.8558
1,28,38.8177,0.8228,0.8430
1,29,37.2911,0.8007,0.8579
1,30,38.4769,0.8032,0.8497
1,31,37.4998,0.8043,0.8599
1,32,37.3722,0.8203,0.8513
1,33,38.4488,0.8897,0.8483
1,34,37.6402,0.8860,0.8614
1,35,37.3118,0.8419,0.8576
1,36,37.7213,0.8274,0.8564
1,37,37.3165,0.8255,0.8545
1,38,36.6996,0.7552,0.8633
1,39,36.8272,0.8047,0.8562
1,40,37.0101,0.8029,0.8596
1,41,35.7632,0.7643,0.8722
1,42,36.6360,0.7638,0.8538
1,43,36.7644,0.7866,0.8567
1,44,35.0843,0.8044,0.8690
1,45,35.4717,0.8122,0.8650
1,46,37.0293,0.8529,0.8569
1,47,36.3346,0.8411,0.8623
1,48,35.5437,0.7871,0.8632
1,49,35.8969,0.7023,0.8592
1,50,34.7790,0.7745,0.8657
1,51,35.5915,0.8560,0.8742
1,52,36.2038,0.8142,0.8582
1,53,34.8279,0.7907,0.8723
1,54,34.7996,0.7956,0.8653
1,55,34.4773,0.7636,0.8719
1,56,35.6132,0.7577,0.8615
1,57,34.5312,0.7607,0.8663
1,58,34.4956,0.7586,0.8643
1,59,34.3244,0.7001,0.8642
1,60,35.4130,0.7445,0.8643
1,61,33.3300,0.8016,0.8783
1,62,33.7526,0.7482,0.8716
1,63,35.9747,0.7798,0.8566
1,64,34.3222,0.7278,0.8729
1,65,34.6177,0.6944,0.8652
1,66,34.5576,0.7283,0.8761
1,67,33.9077,0.8208,0.8736
1,68,34.5570,0.7923,0.8730
1,69,33.8884,0.8146,0.8720
1,70,34.8863,0.7610,0.8646
1,71,33.3278,0.7879,0.8747
1,72,33.2639,0.7228,0.8767
1,73,34.3740,0.7151,0.8669
1,74,34.8806,0.6927,0.8619
1,75,33.2957,0.7595,0.8757
1,76,33.1404,0.7674,0.8728
1,77,33.0202,0.6934,0.8769
1,78,33.2688,0.7076,0.8738
1,79,33.5164,0.7455,0.8752
1,80,33.8086,0.6951,0.8747
1,81,33.4483,0.6808,0.8765
1,82,32.8857,0.7601,0.8817
1,83,33.8885,0.7121,0.8779
1,84,33.5126,0.6838,0.8728
1,85,33.2415,0.7351,0.8711
1,86,32.9392,0.8308,0.8719
1,87,32.1122,0.7691,0.8813
1,88,32.8330,0.7657,0.8792
1,89,32.2271,0.7328,0.8799
1,90,33.0854,0.7197,0.8725
1,91,32.3460,0.8158,0.8733
1,92,32.9581,0.7251,0.8724
1,93,32.2961,0.7538,0.8780
1,94,32.8682,0.7175,0.8755
1,95,32.7820,0.7007,0.8734
1,96,33.3090,0.7281,0.8723
1,97,31.8507,0.7393,0.8801
1,98,32.8185,0.7342,0.8751
1,99,32.3365,0.6893,0.8735
1,100,32.1942,0.6729,0.8752
1,101,32.5618,0.6677,0.8800
1,102,31.5549,0.6935,0.8832
1,103,32.5474,0.7585,0.8707
1,104,32.0364,0.7264,0.8786
1,105,32.3614,0.6939,0.8731
1,106,32.1063,0.7420,0.8755
1,107,32.2071,0.7418,0.8783
1,108,32.2756,0.7048,0.8732
1,109,32.2791,0.7185,0.8794
1,110,32.0606,0.6896,0.8800
1,111,32.2316,0.7625,0.8838
1,112,31.6284,0.6987,0.8782
1,113,32.3576,0.6920,0.8795
1,114,31.5036,0.7238,0.8835
1,115,30.6391,0.6766,0.8893
1,116,31.9069,0.6750,0.8789
1,117,31.9942,0.6504,0.8793
1,118,31.4774,0.6854,0.8789
1,119,30.1799,0.7085,0.8865
1,120,31.8136,0.7150,0.8799
1,121,31.1852,0.7024,0.8789
1,122,31.0544,0.7679,0.8810
1,123,31.8493,0.7340,0.8820
1,124,32.0345,0.7100,0.8737
1,125,30.8581,0.7133,0.8786
1,126,31.0548,0.6864,0.8839
1,127,32.0627,0.7359,0.8767
1,128,32.0401,0.6795,0.8781
1,129,30.4569,0.6686,0.8896
1,130,31.9004,0.7358,0.8791
1,131,29.7550,0.6908,0.8887
1,132,32.0735,0.6888,0.8817
1,133,31.6415,0.7451,0.8782
1,134,31.4733,0.7583,0.8760
1,135,31.5737,0.7074,0.8799
1,136,32.1532,0.7196,0.8779
1,137,31.9565,0.6799,0.8787
1,138,31.1375,0.6748,0.8810
1,139,31.7889,0.6811,0.8809
1,140,32.4564,0.6845,0.8747
1,141,30.5498,0.7196,0.8842
1,142,30.8938,0.7142,0.8775
1,143,31.2927,0.7038,0.8782
1,144,30.6385,0.6809,0.8801
1,145,31.2125,0.6781,0.8780
1,146,31.6209,0.7274,0.8807
1,147,31.3228,0.7248,0.8828
1,148,31.1322,0.7184,0.8810
1,149,31.3738,0.6871,0.8818
1,150,30.6593,0.7295,0.8783
1,151,31.3644,0.7158,0.8776
1,152,31.0149,0.7014,0.8883
1,153,30.7419,0.7023,0.8782
