training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,429.3423,1.0952,-0.3266
0,1,325.9143,2.4369,0.0061
0,2,261.2588,4.3045,0.1098
0,3,261.0427,4.9818,0.2044
0,4,243.1376,4.3124,0.2548
0,5,220.2542,3.4501,0.3204
0,6,213.0878,2.6987,0.3674
0,7,210.3892,2.4575,0.3568
0,8,200.1076,2.3914,0.3853
0,9,185.2387,2.8039,0.4496
0,10,176.9342,3.2302,0.4618
0,11,172.2730,3.3172,0.4567
0,12,166.6297,3.2681,0.4942
0,13,157.8615,2.9258,0.5385
0,14,154.1008,2.5352,0.5344
0,15,148.9751,2.2657,0.5497
0,16,143.2315,2.0894,0.5780
0,17,138.1778,2.1176,0.5964
0,18,136.1962,2.2681,0.5871
0,19,131.7492,2.0283,0.5950
0,20,130.3583,1.7598,0.6054
0,21,124.2989,1.7280,0.6296
0,22,120.4765,1.6631,0.6385
0,23,118.8399,1.6660,0.6406
0,24,114.3322,1.6289,0.6523
0,25,111.7516,1.5626,0.6715
0,26,111.2567,1.6211,0.6627
0,27,106.0205,1.4396,0.6701
0,28,102.7815,1.5826,0.6974
0,29,100.8671,1.4069,0.7036
0,30,99.3037,1.3595,0.6967
0,31,98.8789,1.4036,0.6709
0,32,94.4487,1.2902,0.7106
0,33,91.1113,1.1742,0.7011
0,34,89.8703,1.2300,0.6933
0,35,89.3131,1.2200,0.7086
0,36,87.4422,1.2371,0.7318
0,37,85.5026,1.1165,0.7316
0,38,84.8163,1.0914,0.7449
0,39,83.2428,1.1730,0.7392
0,40,83.9351,1.1262,0.7420
0,41,81.1666,1.0285,0.7338
0,42,81.0990,1.0047,0.7442
0,43,77.1042,0.9998,0.7646
0,44,77.0237,1.0504,0.7567
0,45,76.4175,0.9787,0.7574
0,46,76.0304,1.0332,0.7493
0,47,75.2346,1.0468,0.7638
0,48,74.6017,1.0594,0.7633
0,49,74.3556,1.0231,0.7725
0,50,73.2172,0.9512,0.7588
0,51,70.4671,1.0058,0.7772
0,52,70.2062,1.0585,0.7667
0,53,69.1960,0.9762,0.7721
0,54,67.6003,0.9875,0.7800
0,55,68.6026,0.9660,0.7782
0,56,67.0743,0.9354,0.7880
0,57,69.9199,0.9515,0.7808
0,58,67.0616,0.9232,0.7857
0,59,65.6049,0.8837,0.7854
0,60,65.2142,0.9322,0.7902
0,61,64.4747,0.9349,0.7849
0,62,65.0142,0.9000,0.7836
0,63,65.4285,0.8825,0.7730
0,64,65.5178,0.9583,0.7817
0,65,63.9402,0.9640,0.7904
0,66,62.4807,0.9314,0.8034
0,67,61.8444,0.8979,0.8060
0,68,61.3394,0.8696,0.8019
0,69,63.0600,0.8636,0.7691
0,70,60.5799,0.8615,0.7953
0,71,60.3512,0.9144,0.7961
0,72,61.0098,0.8993,0.8031
0,73,59.4462,0.8919,0.8098
0,74,57.6268,0.8384,0.8207
0,75,58.8509,0.8855,0.8104
0,76,58.2650,0.8357,0.8149
0,77,57.3561,0.8323,0.8045
0,78,58.2030,0.8412,0.8143
0,79,58.4602,0.8180,0.8026
0,80,57.6181,0.8879,0.8029
0,81,57.2209,0.8976,0.8051
0,82,56.3852,0.8082,0.7979
0,83,54.9739,0.8137,0.8189
0,84,56.8929,0.8334,0.8128
0,85,59.0813,0.8259,0.7900
0,86,55.2977,0.8392,0.8109
0,87,56.3048,0.7938,0.8076
0,88,55.2936,0.8256,0.8107
0,89,55.7443,0.8190,0.8194
0,90,53.5438,0.8081,0.8303
0,91,55.1194,0.7351,0.8099
0,92,54.7935,0.7970,0.7994
