training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,426.7015,1.0825,-0.3068
0,1,315.6662,2.4954,0.0178
0,2,261.2753,4.4558,0.0877
0,3,266.7677,5.0600,0.1913
0,4,243.3392,4.2815,0.2211
0,5,221.8043,3.0486,0.2720
0,6,214.8218,2.6888,0.3536
0,7,210.7818,2.3571,0.3489
0,8,199.4999,2.7274,0.3825
0,9,186.6645,3.1239,0.4477
0,10,179.1134,3.3664,0.4571
0,11,175.2855,3.1992,0.4467
0,12,165.2509,3.0396,0.4859
0,13,158.0601,2.7893,0.5185
0,14,153.4395,2.2726,0.5239
0,15,150.1410,2.3141,0.5226
0,16,145.8990,2.2479,0.5389
0,17,140.0833,2.4732,0.5870
0,18,135.8081,2.2083,0.5981
0,19,133.7118,2.0561,0.6015
0,20,129.3127,1.9331,0.6076
0,21,127.4214,1.9826,0.5990
0,22,123.3736,1.7430,0.6107
0,23,120.0867,1.7444,0.6385
0,24,119.4902,1.7175,0.6326
0,25,112.6594,1.7087,0.6359
0,26,111.9872,1.5638,0.6490
0,27,109.3369,1.5069,0.6628
0,28,107.1371,1.6040,0.6615
0,29,103.9964,1.5428,0.6838
0,30,100.7750,1.6997,0.6755
0,31,98.5225,1.3504,0.6902
0,32,98.2623,1.3544,0.6667
0,33,94.1803,1.2768,0.7094
0,34,93.7330,1.3157,0.7058
0,35,93.7183,1.2746,0.7086
0,36,89.6062,1.2340,0.7083
0,37,87.7920,1.1416,0.7046
0,38,86.8471,1.0671,0.7281
0,39,86.2080,1.1288,0.7243
0,40,85.2261,1.1998,0.7317
0,41,84.0259,1.0828,0.7361
0,42,82.5661,1.0208,0.7393
0,43,80.1364,0.9936,0.7275
0,44,79.6291,1.0601,0.7394
0,45,79.1322,1.0754,0.7508
0,46,77.1017,1.0195,0.7600
0,47,76.0378,1.0477,0.7538
0,48,76.5120,0.9428,0.7524
0,49,74.7946,1.0794,0.7490
0,50,73.4729,1.0221,0.7504
0,51,72.9668,1.0343,0.7697
0,52,72.9576,0.9877,0.7615
0,53,74.0567,0.9564,0.7664
0,54,71.0738,0.9901,0.7556
0,55,71.4042,1.0446,0.7704
0,56,69.6275,0.9465,0.7826
0,57,68.7619,0.9377,0.7675
0,58,68.5987,0.9049,0.7832
0,59,67.8869,1.0067,0.7658
0,60,67.8466,1.0201,0.7672
0,61,66.4164,0.9705,0.7797
0,62,68.1835,0.9109,0.7785
0,63,66.6395,0.9158,0.7829
0,64,64.8733,0.9835,0.7848
0,65,66.4088,0.9624,0.7809
0,66,62.9220,0.8713,0.7966
0,67,62.8075,0.8292,0.8057
0,68,63.1709,0.9137,0.7934
0,69,63.8447,0.9580,0.7883
0,70,61.8880,0.9123,0.7765
0,71,62.5518,0.8728,0.7861
0,72,58.9874,0.8741,0.7949
0,73,61.4201,0.9523,0.7924
0,74,61.3136,0.9366,0.7969
0,75,61.5751,0.8661,0.7954
0,76,58.8879,0.8146,0.8159
0,77,60.2896,0.8748,0.8078
0,78,59.1267,0.8737,0.8064
0,79,58.2411,0.8187,0.8113
0,80,59.0313,0.8964,0.8020
0,81,57.3606,0.9211,0.8035
0,82,58.3046,0.7994,0.8147
0,83,56.9030,0.8113,0.8111
0,84,56.0894,0.7842,0.8210
0,85,56.5432,0.8748,0.8148
0,86,55.5450,0.8526,0.8087
0,87,56.1518,0.8146,0.8193
0,88,55.1470,0.8067,0.7941
0,89,53.5524,0.8336,0.7935
0,90,54.7471,0.8636,0.8177
0,91,56.2756,0.8050,0.8162
0,92,54.7367,0.8813,0.8254
0,93,53.9447,0.7990,0.8251
0,94,53.9777,0.8545,0.8121
0,95,54.9190,0.8257,0.8238
0,96,52.6585,0.7831,0.8115
0,97,52.5565,0.8353,0.8246
0,98,52.9786,0.8249,0.8158
0,99,54.4271,0.7433,0.8174
0,100,52.0483,0.7594,0.8250
0,101,52.3230,0.8423,0.8212
0,102,53.8573,0.8481,0.8189
0,103,51.4174,0.7943,0.8200
0,104,51.3659,0.7338,0.8284
0,105,51.4225,0.7724,0.8232
0,106,51.9561,0.8058,0.8168
0,107,50.6746,0.7527,0.8209
0,108,51.9454,0.7636,0.8263
0,109,50.3900,0.8060,0.8244
0,110,51.7386,0.7952,0.8325
0,111,50.2826,0.7874,0.8311
0,112,51.4958,0.7273,0.8185
0,113,50.2173,0.7911,0.8321
0,114,50.8259,0.7637,0.8243
0,115,49.5334,0.7608,0.8192
0,116,49.6872,0.7942,0.8330
0,117,48.6154,0.8247,0.8318
0,118,49.7755,0.7820,0.8191
0,119,50.5459,0.7211,0.8065
0,120,50.1866,0.7789,0.8270
0,121,49.9647,0.7552,0.8278
0,122,48.4887,0.8185,0.8406
0,123,48.1908,0.7270,0.8428
0,124,49.3105,0.6949,0.8358
0,125,48.8120,0.7730,0.8371
0,126,48.8751,0.7713,0.8378
0,127,48.6372,0.7280,0.8383
0,128,50.0643,0.7372,0.8329
0,129,46.9189,0.7641,0.8380
0,130,48.2574,0.7607,0.8354
0,131,48.0983,0.7455,0.8384
0,132,47.8674,0.7539,0.8331
0,133,48.1617,0.6884,0.8461
0,134,47.0998,0.7615,0.8268
0,135,48.1965,0.8446,0.8296
0,136,47.4520,0.7717,0.8413
0,137,47.9247,0.7076,0.8357
0,138,46.8919,0.6701,0.8308
0,139,45.9837,0.7629,0.8489
0,140,47.1598,0.7336,0.8407
0,141,46.7841,0.6966,0.8440
0,142,48.0883,0.7359,0.8348
0,143,48.2201,0.7231,0.8201
0,144,47.1232,0.7540,0.8396
0,145,46.7918,0.7552,0.8412
0,146,45.3147,0.7231,0.8467
0,147,46.1509,0.7284,0.8356
0,148,44.6691,0.7468,0.8538
0,149,45.5308,0.7442,0.8312
0,150,45.8455,0.6966,0.8361
0,151,45.7519,0.7146,0.8458
0,152,46.3971,0.6932,0.8315
0,153,46.3529,0.7850,0.8469
0,154,44.3088,0.7231,0.8466
0,155,46.2085,0.7015,0.8318
0,156,45.0123,0.6828,0.8476
0,157,46.2376,0.7256,0.8402
0,158,46.2806,0.7277,0.8395
0,159,44.8299,0.6841,0.8457
0,160,46.4999,0.7613,0.8380
0,161,45.8873,0.7307,0.8334
0,162,45.2442,0.7143,0.8473
0,163,45.9323,0.7272,0.8413
0,164,45.1831,0.7127,0.8375
0,165,44.1003,0.6891,0.8505
0,166,47.0158,0.7035,0.8226
0,167,44.4715,0.7460,0.8420
0,168,46.1599,0.7156,0.8308
0,169,44.9050,0.7028,0.8399
0,170,45.2744,0.6987,0.8431
0,171,44.0799,0.7148,0.8489
0,172,43.6330,0.7156,0.8484
0,173,45.4113,0.7009,0.8422
0,174,44.9763,0.7700,0.8361
0,175,45.9651,0.7365,0.8257
0,176,44.4396,0.7165,0.8311
0,177,45.8310,0.7122,0.8438
0,178,45.1692,0.7236,0.8412
0,179,43.8054,0.7133,0.8546
0,180,43.8329,0.7291,0.8338
0,181,44.7399,0.7242,0.8521
0,182,43.9887,0.6966,0.8423
0,183,44.4287,0.6957,0.8466
0,184,44.7283,0.6911,0.8494
0,185,43.9136,0.7249,0.8436
0,186,44.2069,0.7328,0.8528
0,187,43.8298,0.6970,0.8500
0,188,45.2887,0.6995,0.8440
0,189,43.8528,0.6775,0.8506
0,190,46.1257,0.7230,0.8420
0,191,42.7697,0.7280,0.8567
0,192,43.2853,0.6607,0.8528
0,193,46.2723,0.7081,0.8389
