training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,427.9205,1.1048,-0.3284
0,1,313.8237,2.6852,0.0282
0,2,260.9715,5.0332,0.1178
0,3,266.3788,4.8538,0.1896
0,4,239.4311,3.9126,0.2625
0,5,220.7172,2.9923,0.2921
0,6,216.3485,2.4966,0.3600
0,7,212.7288,2.2806,0.3760
0,8,200.1927,2.7533,0.4050
0,9,186.3786,2.9218,0.4278
0,10,179.6984,3.1892,0.4576
0,11,173.8964,3.2907,0.4721
0,12,166.8007,3.1279,0.5109
0,13,159.9181,3.1021,0.5095
0,14,154.4325,2.6524,0.5304
0,15,150.4530,2.4498,0.5404
0,16,144.1405,2.2175,0.5758
0,17,139.5230,2.2210,0.5834
0,18,137.0719,2.2846,0.5931
0,19,130.8969,1.9733,0.6069
0,20,130.2036,2.0645,0.6193
0,21,124.6970,1.9113,0.6377
0,22,122.2206,1.8070,0.6335
0,23,117.3649,1.8350,0.6541
0,24,117.3109,1.8067,0.6507
0,25,113.7841,1.7650,0.6608
0,26,111.2287,1.5981,0.6578
0,27,107.5846,1.5341,0.6737
0,28,103.7850,1.6469,0.6820
0,29,104.5862,1.6035,0.6694
0,30,101.3465,1.4380,0.6936
0,31,97.5519,1.3956,0.6972
0,32,96.8982,1.3532,0.6986
0,33,93.7253,1.3207,0.7035
0,34,92.0646,1.3556,0.7140
0,35,90.5197,1.2168,0.7115
0,36,89.7598,1.2056,0.7256
0,37,87.0407,1.2115,0.7302
0,38,83.2916,1.2099,0.7353
0,39,83.8566,1.1767,0.7227
0,40,81.4639,1.0945,0.7505
0,41,81.3169,1.0418,0.7505
0,42,80.4366,1.1055,0.7434
0,43,81.2730,1.1507,0.7401
0,44,76.7305,1.0758,0.7477
0,45,77.3854,1.0014,0.7543
0,46,76.1135,1.0220,0.7668
0,47,75.1376,1.1271,0.7672
0,48,72.1813,1.0940,0.7695
0,49,74.9391,1.0323,0.7641
0,50,74.8605,1.1110,0.7734
0,51,73.4432,1.1057,0.7377
0,52,72.1424,0.9275,0.7632
0,53,71.2249,0.9232,0.7677
0,54,69.7222,0.9973,0.7619
0,55,66.7394,0.9906,0.7832
0,56,68.1240,1.0412,0.7838
0,57,68.5514,0.9897,0.7784
0,58,67.8719,0.9079,0.7851
0,59,66.8192,0.9482,0.7672
0,60,67.4109,0.9442,0.7810
0,61,64.0742,0.9738,0.7952
0,62,66.0221,0.9521,0.7886
0,63,65.7888,1.0059,0.7957
0,64,64.9888,0.9804,0.7941
0,65,65.1855,0.9563,0.7941
0,66,60.7488,0.9040,0.8111
0,67,61.7109,0.8674,0.8064
0,68,61.9492,0.8972,0.8001
0,69,61.2618,0.8677,0.7963
0,70,62.0377,0.8533,0.7985
0,71,60.0473,0.8622,0.8078
0,72,61.3192,1.0392,0.7954
0,73,60.7865,0.8754,0.7921
0,74,59.9571,0.7975,0.8006
0,75,59.8909,0.9102,0.8099
0,76,59.1920,0.8673,0.8068
0,77,58.5288,0.8441,0.8177
0,78,58.4458,0.8505,0.8130
0,79,59.1179,0.8441,0.8125
0,80,58.0340,0.8592,0.8104
0,81,58.3464,0.8413,0.8106
0,82,57.9111,0.8127,0.8115
0,83,59.0035,0.8927,0.7893
0,84,55.6096,0.8876,0.8234
0,85,54.7796,0.8579,0.8218
0,86,58.1500,0.7988,0.8048
0,87,56.6026,0.8115,0.8085
0,88,55.9502,0.8500,0.8170
0,89,55.3038,0.9526,0.8156
0,90,56.7157,0.8494,0.8163
0,91,55.3378,0.7969,0.8230
0,92,55.1075,0.8483,0.8176
0,93,54.4399,0.7932,0.8264
0,94,53.0864,0.7789,0.8215
0,95,53.3884,0.8265,0.8160
0,96,54.9642,0.7959,0.8107
0,97,54.5632,0.8461,0.8073
0,98,54.0452,0.8044,0.8227
0,99,50.4536,0.7922,0.8377
0,100,53.1397,0.7075,0.8273
0,101,52.6841,0.7809,0.8264
0,102,53.3177,0.8226,0.8151
0,103,51.5484,0.7908,0.8394
0,104,53.3387,0.7578,0.8291
0,105,51.7851,0.8441,0.8299
0,106,51.4468,0.7593,0.8241
0,107,51.2900,0.7620,0.8368
0,108,50.2736,0.7914,0.8427
0,109,51.2027,0.7884,0.8091
0,110,52.4229,0.7967,0.8281
0,111,52.1162,0.8392,0.8288
0,112,50.5644,0.7423,0.8248
0,113,50.6364,0.8293,0.8200
0,114,50.0006,0.7776,0.8296
0,115,50.1068,0.7985,0.8270
0,116,48.5307,0.7671,0.8360
0,117,49.2936,0.7150,0.8433
0,118,49.4781,0.7584,0.8374
