eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,0.33683878,0.0075651235,0.0017248205,0.0,0.0
0.0,0.0,2.78186,0.010986006,0.016443152,0.0,0.0
0.0,0.0,1.3838156,0.009893646,0.0074001662,0.0,0.0
0.0,0.0,1.6545126,0.020132383,0.015061023,0.0,0.0
0.0,0.0,0.9700903,0.01560969,0.011638613,0.0,0.0
0.0,0.0,0.921726,0.009244181,0.009400664,0.0,0.0
0.0,0.0,1.2326125,0.009869495,0.012103824,0.0,0.0
0.0,0.0,1.3342953,0.018863648,0.012469253,0.0,0.0
0.0,0.0,1.4493166,0.054209597,0.011828082,0.0,0.0
0.0,0.0,4.944393,0.038600434,0.019953655,0.0,0.0
0.0,0.0,3.2099032,0.034282826,0.011967189,0.011129802,0.011129802
0.0,0.0,0.5094253,0.014542264,0.0021737025,0.0,0.0
0.0,0.0,3.1274583,0.019590873,0.010084518,0.0,0.0
0.0,0.0,1.9934745,0.025287688,0.01126899,0.0,0.0
0.0,0.0,2.1295469,0.023105714,0.011563821,0.0,0.0
0.0,0.0,2.028615,0.026781438,0.009868061,0.0,0.0
0.0,0.0,2.0825183,0.029555388,0.0107391495,0.0,0.0
0.0,0.0,2.5809283,0.036050558,0.02108041,0.0,0.0
0.0,0.0,5.8874407,0.08362021,0.14768058,0.0,0.0
0.0,0.0,6.5306487,0.07706719,0.032209113,0.0,0.0
0.0,0.0,4.9126377,0.022508776,0.020868933,0.020192929,0.020192929
0.0,0.0,2.1737237,0.018222712,0.007125574,0.008266489,0.008266489
0.0,0.0,0.94482464,0.0065511405,0.004289058,0.0,0.0
0.0,0.0,1.6628433,0.010491481,0.008779509,0.0,0.0
0.0,0.0,1.2313068,0.009789458,0.006285847,0.0,0.0
0.0,0.0,1.4113781,0.014922667,0.0093037635,0.0,0.0
0.0,0.0,2.0587041,0.011716699,0.011471819,0.0,0.0
0.0,0.0,1.5939046,0.010255108,0.008195723,0.0,0.0
0.0,0.0,2.204682,0.020150496,0.063169725,0.0,0.0
