training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,428.5356,1.2063,-0.3144
0,1,314.4807,2.6041,0.0248
0,2,263.4399,5.2481,0.0757
0,3,260.3525,4.9456,0.2104
0,4,235.6503,3.8277,0.2556
0,5,219.3950,2.9117,0.3300
0,6,214.7422,2.4342,0.3608
0,7,208.5123,2.5522,0.3581
0,8,195.9196,2.6778,0.3935
0,9,185.5077,2.9871,0.4359
0,10,179.3123,3.0504,0.4621
0,11,174.0217,2.8685,0.4676
0,12,164.9267,3.1476,0.5074
0,13,158.6430,2.7563,0.5088
0,14,154.0349,2.5933,0.5262
0,15,150.1981,2.4028,0.5529
0,16,144.6260,2.3431,0.5665
0,17,141.2405,2.3418,0.5732
0,18,137.0836,1.9281,0.5813
0,19,134.0116,2.1633,0.5882
0,20,128.6093,1.8968,0.6176
0,21,122.1511,1.7876,0.6471
0,22,121.4903,2.0042,0.6357
0,23,118.1291,1.7668,0.6474
0,24,114.6873,1.6116,0.6575
0,25,113.7372,1.6481,0.6660
0,26,108.2078,1.5827,0.6753
0,27,107.1008,1.6167,0.6634
0,28,104.4459,1.5450,0.6924
0,29,102.7861,1.4592,0.6895
0,30,100.3639,1.4193,0.6899
0,31,98.8164,1.5383,0.6832
0,32,96.2710,1.3558,0.6917
0,33,93.9360,1.3346,0.7077
0,34,91.5949,1.3792,0.7107
0,35,91.8545,1.3384,0.7090
0,36,88.6950,1.1914,0.7113
0,37,88.2949,1.1226,0.7318
0,38,86.5467,1.2296,0.7292
0,39,82.9806,1.1908,0.7493
0,40,83.0066,1.1128,0.7326
0,41,82.9619,1.0786,0.7348
0,42,80.4172,1.0033,0.7569
0,43,78.9678,1.1199,0.7220
0,44,78.0311,1.0788,0.7512
0,45,80.5003,1.0510,0.7403
0,46,76.7847,1.0196,0.7530
0,47,74.1493,1.0568,0.7401
0,48,74.7113,1.0798,0.7666
0,49,73.3898,1.1118,0.7694
0,50,72.0202,1.0034,0.7637
0,51,70.3028,1.0143,0.7885
0,52,71.5006,1.0303,0.7716
0,53,71.8319,0.9856,0.7762
0,54,68.2858,0.9926,0.7859
0,55,69.0674,0.9524,0.7718
0,56,68.2873,0.9478,0.7737
0,57,66.7755,0.9127,0.7838
0,58,65.4417,1.0068,0.7919
0,59,67.5432,1.0178,0.7775
0,60,66.3473,0.9557,0.7873
0,61,65.9574,0.9972,0.7739
0,62,64.5966,0.9211,0.7948
0,63,65.4897,0.9712,0.7818
0,64,65.8763,0.8903,0.7923
0,65,64.0674,0.8599,0.7741
0,66,63.1142,0.9520,0.7778
0,67,63.2154,0.9513,0.7879
0,68,61.6629,0.9725,0.8079
0,69,61.6714,0.8756,0.8011
0,70,62.0047,0.8724,0.7892
0,71,59.9500,0.9533,0.8033
0,72,60.2465,0.8609,0.8129
0,73,60.4719,0.8260,0.8064
0,74,60.6391,0.8659,0.8079
0,75,58.4911,0.8943,0.8067
0,76,58.6818,0.8231,0.8129
0,77,58.3418,0.8629,0.8052
0,78,57.1998,0.8191,0.8159
0,79,56.3628,0.8130,0.8200
0,80,55.5378,0.7949,0.8287
0,81,56.7033,0.8285,0.8171
0,82,57.9572,0.8652,0.8097
0,83,55.6369,0.8285,0.8283
0,84,56.4918,0.8604,0.8073
0,85,56.7336,0.8643,0.8019
0,86,54.9760,0.8726,0.8130
0,87,55.7010,0.8498,0.8173
0,88,56.2165,0.8074,0.8229
0,89,53.5373,0.8197,0.8274
0,90,54.1312,0.8357,0.8221
0,91,52.9815,0.7890,0.8096
0,92,54.2095,0.8368,0.8219
0,93,52.1999,0.8490,0.8300
0,94,52.5331,0.8124,0.8211
0,95,53.1096,0.7933,0.8182
0,96,54.3857,0.8450,0.8181
0,97,54.1544,0.7535,0.8237
0,98,53.6412,0.7724,0.8222
0,99,52.5875,0.8099,0.8321
