eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,43.305153,0.49836248,0.859775,0.0,0.0
1.0,0.0,24.4166,0.50507504,0.90897495,0.0,0.0
2.0,0.0,24.85545,0.387025,0.8651999,0.0,0.0
3.0,0.0,21.32804,0.36513752,0.895825,0.0,0.0
4.0,0.0,18.57345,0.41453752,0.912475,0.0,0.0
5.0,0.0,21.568674,0.40413752,0.89100003,0.0,0.0
6.0,0.0,22.534714,0.335475,0.89243746,0.0,0.0
7.0,0.0,17.144537,0.4117,0.91067505,0.0,0.0
8.0,0.0,20.896626,0.4022625,0.89624995,0.0,0.0
9.0,0.0,32.903988,0.58375,0.883775,0.0,0.0
