training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,291.8666,4.2195,0.0399
0,1,183.7902,2.9247,0.3995
0,2,142.4133,2.0179,0.5149
0,3,106.5700,1.5719,0.6072
0,4,84.8695,1.2428,0.6635
0,5,74.3538,1.1002,0.6957
0,6,67.4174,1.0061,0.7155
0,7,63.1020,0.9448,0.7289
0,8,58.5054,0.8754,0.7465
0,9,55.8893,0.8295,0.7591
0,10,53.7682,0.8375,0.7696
0,11,51.8221,0.8004,0.7770
0,12,50.2295,0.7676,0.7823
0,13,49.0768,0.7852,0.7865
0,14,47.8211,0.7692,0.7901
0,15,46.7039,0.7485,0.7975
0,16,45.8675,0.7395,0.7988
0,17,45.1512,0.7413,0.8005
0,18,44.0765,0.7055,0.8079
0,19,43.5004,0.7191,0.8095
0,20,43.3557,0.6991,0.8120
0,21,42.8714,0.6963,0.8136
0,22,41.5501,0.6835,0.8201
0,23,41.8933,0.6900,0.8151
0,24,40.6614,0.6869,0.8218
0,25,40.4345,0.6715,0.8229
0,26,40.4434,0.6562,0.8221
0,27,40.1055,0.6585,0.8202
0,28,39.9385,0.6587,0.8223
0,29,39.2556,0.6562,0.8274
0,30,39.2166,0.6532,0.8274
0,31,38.7883,0.6434,0.8274
0,32,38.4994,0.6247,0.8283
0,33,38.2383,0.6435,0.8319
0,34,37.5781,0.6279,0.8371
0,35,37.6833,0.6261,0.8343
0,36,37.4663,0.6409,0.8334
0,37,37.0011,0.6224,0.8352
0,38,36.9780,0.6259,0.8393
0,39,37.2312,0.6274,0.8366
0,40,36.8007,0.6271,0.8378
0,41,36.4362,0.6120,0.8385
0,42,36.2221,0.6187,0.8394
0,43,36.1531,0.6087,0.8402
0,44,36.0767,0.6006,0.8405
0,45,35.7383,0.6192,0.8424
0,46,35.6022,0.5876,0.8432
0,47,35.3746,0.5880,0.8435
0,48,35.4777,0.5917,0.8427
0,49,35.4863,0.5976,0.8422
0,50,35.0711,0.6008,0.8428
0,51,34.8272,0.5904,0.8463
0,52,34.8288,0.5972,0.8461
0,53,34.4945,0.5829,0.8475
0,54,34.2760,0.5828,0.8480
0,55,34.1943,0.5955,0.8493
0,56,34.3948,0.5820,0.8462
0,57,33.9686,0.5811,0.8478
0,58,34.1352,0.5879,0.8486
0,59,33.7637,0.5860,0.8504
0,60,33.7173,0.5881,0.8507
0,61,33.7430,0.5732,0.8504
0,62,33.5170,0.5792,0.8531
0,63,33.5220,0.5556,0.8503
0,64,33.3291,0.5627,0.8499
0,65,33.1276,0.5721,0.8531
0,66,33.1917,0.5638,0.8540
0,67,33.4000,0.5829,0.8526
0,68,33.3006,0.5631,0.8509
0,69,32.8159,0.5660,0.8568
0,70,33.0500,0.5638,0.8526
0,71,32.4766,0.5852,0.8557
0,72,32.6279,0.5691,0.8566
0,73,32.5981,0.5529,0.8546
0,74,32.2515,0.5723,0.8571
0,75,32.6882,0.5570,0.8554
0,76,32.0962,0.5537,0.8586
0,77,32.2482,0.5566,0.8581
0,78,32.3683,0.5709,0.8539
0,79,32.1575,0.5619,0.8566
0,80,32.2081,0.5580,0.8567
0,81,32.0455,0.5636,0.8570
0,82,31.9938,0.5630,0.8576
0,83,31.8141,0.5538,0.8546
0,84,31.4288,0.5593,0.8614
0,85,31.2620,0.5441,0.8606
0,86,31.5117,0.5525,0.8574
0,87,31.3370,0.5544,0.8612
0,88,31.2267,0.5572,0.8601
0,89,31.4119,0.5578,0.8613
0,90,31.3188,0.5490,0.8608
0,91,30.8949,0.5709,0.8644
0,92,30.8364,0.5524,0.8624
0,93,31.2245,0.5489,0.8611
0,94,30.7412,0.5466,0.8601
0,95,30.6344,0.5555,0.8616
0,96,30.4677,0.5471,0.8636
0,97,30.5559,0.5567,0.8651
0,98,30.8251,0.5493,0.8612
0,99,30.6603,0.5522,0.8624
0,100,30.4038,0.5552,0.8643
0,101,30.3067,0.5524,0.8645
0,102,30.2045,0.5597,0.8639
0,103,29.9760,0.5517,0.8665
0,104,29.6871,0.5477,0.8690
0,105,29.4842,0.5453,0.8691
0,106,29.4444,0.5454,0.8691
0,107,29.4843,0.5415,0.8670
0,108,29.1970,0.5452,0.8694
0,109,29.6270,0.5388,0.8670
0,110,29.4314,0.5478,0.8679
0,111,29.4157,0.5423,0.8701
