eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,45.450073,0.53695,0.85043746,0.0,0.0
1.0,0.0,80.06475,0.6909375,0.725725,0.0,0.0
2.0,0.0,75.24855,0.561425,0.69282496,0.0,0.0
3.0,0.0,73.98185,0.6132625,0.63033754,0.0,0.0
4.0,0.0,69.68458,0.6499375,0.686175,0.0,0.0
5.0,0.0,67.44318,0.54425,0.6770875,0.0,0.0
6.0,0.0,67.19448,0.49705002,0.68324995,0.0,0.0
7.0,0.0,58.462612,0.60187495,0.6541375,0.0,0.0
8.0,0.0,77.0707,0.90384996,0.65087503,0.0,0.0
9.0,0.0,143.92964,1.2169751,0.4871125,0.0,0.0
0.0,1.0,46.019596,0.68275,0.8474125,0.0030499997,-0.0030499997
1.0,1.0,55.463936,0.7713125,0.81745,0.0,0.0
2.0,1.0,60.636826,0.6675,0.7520375,0.0,0.0
3.0,1.0,63.74075,0.7434625,0.6873,0.0,0.0
4.0,1.0,57.12617,0.766325,0.736625,0.0,0.0
5.0,1.0,54.922314,0.6405875,0.7306125,0.0,0.0
6.0,1.0,55.186577,0.5801625,0.74393755,0.0,0.0
7.0,1.0,47.209064,0.76807505,0.72168756,0.0,0.0
8.0,1.0,70.45469,1.2192125,0.694025,0.0,0.0
9.0,1.0,138.59286,1.4816749,0.526525,0.0,0.0
0.0,2.0,45.997776,0.67316246,0.8495,0.00092499994,-0.00092499994
1.0,2.0,53.936615,0.7753,0.81780005,-0.00036250002,0.00036250002
2.0,2.0,55.849373,0.6324375,0.764325,0.0,0.0
3.0,2.0,59.387913,0.6933875,0.7044875,0.0,0.0
4.0,2.0,53.4778,0.74758756,0.74955,0.0,0.0
5.0,2.0,51.675716,0.62069994,0.74143755,0.0,0.0
6.0,2.0,51.561707,0.5583875,0.7535375,0.0,0.0
7.0,2.0,43.97346,0.733175,0.737325,0.0,0.0
8.0,2.0,61.5458,1.0570874,0.71580005,0.0,0.0
9.0,2.0,130.48639,1.3753625,0.5565375,0.0,0.0
0.0,3.0,46.724926,0.6992625,0.8457875,0.00465,-0.00465
1.0,3.0,52.058624,0.794875,0.82807505,-0.010650001,0.010650001
2.0,3.0,53.50267,0.6386125,0.7778875,-0.0135625,0.0135625
3.0,3.0,54.411648,0.687,0.7374375,0.0,0.0
4.0,3.0,50.64571,0.75238746,0.7682625,0.0,0.0
5.0,3.0,49.790302,0.64185,0.760375,0.0,0.0
6.0,3.0,49.36161,0.565625,0.768775,0.0,0.0
7.0,3.0,41.002384,0.7442249,0.76956254,0.0,0.0
8.0,3.0,57.32715,1.0084624,0.7320125,0.0,0.0
9.0,3.0,121.59373,1.360075,0.59440005,0.0,0.0
0.0,4.0,47.839886,0.71532494,0.84307504,0.007375,-0.007375
1.0,4.0,50.07617,0.797675,0.83257496,-0.0151625,0.0151625
2.0,4.0,51.844925,0.64623755,0.7819625,-0.0176375,0.0176375
3.0,4.0,52.361248,0.69194996,0.74665004,-0.0092125,0.0092125
4.0,4.0,47.184063,0.7476125,0.782175,0.0,0.0
5.0,4.0,47.329636,0.63935,0.76618755,0.0,0.0
6.0,4.0,47.183964,0.561475,0.774225,0.0,0.0
7.0,4.0,38.807236,0.73945004,0.77775,0.0,0.0
8.0,4.0,54.712975,1.0077375,0.7390125,0.0,0.0
9.0,4.0,117.70696,1.3721,0.6104,0.0,0.0
0.0,5.0,50.64725,0.7752875,0.8354,0.015037499,-0.015037499
1.0,5.0,48.150074,0.835875,0.8394374,-0.0220125,0.0220125
2.0,5.0,50.05735,0.680025,0.788275,-0.023962501,0.023962501
3.0,5.0,50.249607,0.7298375,0.7581625,-0.0206875,0.0206875
4.0,5.0,45.104862,0.787525,0.78898746,-0.0068125003,0.0068125003
5.0,5.0,43.297165,0.65693754,0.7816375,0.0,0.0
6.0,5.0,44.744736,0.58855003,0.783575,0.0,0.0
7.0,5.0,35.154465,0.7736125,0.79565,0.0,0.0
8.0,5.0,53.278473,1.0646875,0.74617505,0.0,0.0
9.0,5.0,115.69287,1.4266,0.62185,0.0,0.0
0.0,6.0,50.831444,0.7492,0.8345875,0.01585,-0.01585
1.0,6.0,47.832676,0.79391253,0.83951247,-0.022075001,0.022075001
2.0,6.0,49.99054,0.639075,0.78935003,-0.025024999,0.025024999
3.0,6.0,49.631996,0.67406243,0.7597,-0.02225,0.02225
4.0,6.0,44.178173,0.73929995,0.79187495,-0.0097,0.0097
5.0,6.0,43.399273,0.61227494,0.781675,-2.5000012e-05,2.5000012e-05
6.0,6.0,42.93539,0.5404875,0.79133755,0.0,0.0
7.0,6.0,35.180912,0.6976249,0.7972125,0.0,0.0
8.0,6.0,49.60005,0.93492496,0.7585,0.0,0.0
9.0,6.0,113.29552,1.331725,0.6320875,0.0,0.0
0.0,7.0,53.90171,0.781275,0.8233625,0.0271,-0.0271
1.0,7.0,47.183292,0.79971254,0.84217495,-0.024750002,0.024750002
2.0,7.0,48.9711,0.65366244,0.79403746,-0.029700002,0.029700002
3.0,7.0,47.94259,0.68928754,0.7665875,-0.029125,0.029125
4.0,7.0,42.956676,0.74566245,0.7956625,-0.013499999,0.013499999
5.0,7.0,41.749725,0.6201,0.788975,-0.0073750005,0.0073750005
6.0,7.0,42.071987,0.547575,0.796575,-0.0052375,0.0052375
7.0,7.0,31.88715,0.70373756,0.81735003,0.0,0.0
8.0,7.0,50.776302,0.9874624,0.749475,0.0,0.0
9.0,7.0,112.78716,1.3860874,0.638125,0.0,0.0
0.0,8.0,54.883003,0.74286246,0.823425,0.027025,-0.027025
1.0,8.0,46.477184,0.75401247,0.8418625,-0.024425,0.024425
2.0,8.0,50.604473,0.5916375,0.789475,-0.025150001,0.025150001
3.0,8.0,48.103912,0.607525,0.76382494,-0.0263625,0.0263625
4.0,8.0,42.77549,0.7071125,0.7966374,-0.014462501,0.014462501
5.0,8.0,41.95385,0.57955,0.7859125,-0.0042749997,0.0042749997
6.0,8.0,41.239014,0.52172506,0.80076253,-0.009425,0.009425
7.0,8.0,34.115414,0.6422375,0.80083746,0.016525,-0.016525
