training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,430.6233,1.0950,-0.3053
0,1,323.1939,2.4255,0.0043
0,2,262.4813,4.4515,0.1243
0,3,266.8763,4.9189,0.1921
0,4,247.6258,4.1080,0.2101
0,5,224.5854,2.9961,0.3144
0,6,217.2500,2.6747,0.3540
0,7,211.9261,2.5302,0.3372
0,8,199.3054,2.6862,0.3852
0,9,185.7388,3.0325,0.4502
0,10,179.5073,3.1894,0.4638
0,11,173.5863,3.3002,0.4496
0,12,167.4050,2.9258,0.5034
0,13,157.9777,2.6009,0.5070
0,14,154.6727,2.2986,0.5271
0,15,148.7617,2.2364,0.5461
0,16,143.4182,2.3969,0.5778
0,17,139.5285,2.2730,0.5745
0,18,136.6810,2.2085,0.5924
0,19,129.1323,2.0281,0.6030
0,20,126.6503,1.7633,0.6177
0,21,120.8500,1.6876,0.6334
0,22,119.1382,1.7714,0.6486
0,23,116.5532,1.7662,0.6461
0,24,111.8759,1.6581,0.6696
0,25,111.6126,1.5374,0.6683
0,26,108.5228,1.5529,0.6663
0,27,106.4202,1.5339,0.6708
0,28,102.4375,1.4271,0.6766
0,29,99.9320,1.5887,0.6781
0,30,96.8351,1.4764,0.6927
0,31,97.1654,1.4160,0.7024
0,32,93.8104,1.3300,0.7069
0,33,90.3947,1.2588,0.7261
0,34,91.6826,1.1916,0.7129
0,35,88.1391,1.2200,0.7337
0,36,89.3662,1.2671,0.7156
0,37,85.3083,1.1748,0.7279
0,38,83.3064,1.0841,0.7393
0,39,82.1432,1.0282,0.7451
0,40,82.2214,1.1250,0.7413
0,41,80.0641,1.1479,0.7447
0,42,79.6705,1.0083,0.7518
0,43,79.6002,0.9917,0.7584
0,44,77.5179,1.0586,0.7537
0,45,76.2632,1.1141,0.7472
0,46,75.3993,1.0234,0.7602
0,47,74.8985,1.0079,0.7622
0,48,74.0592,1.0171,0.7740
0,49,72.0586,1.0266,0.7753
0,50,71.9705,1.0101,0.7724
0,51,70.7615,1.0289,0.7748
0,52,70.2840,0.9917,0.7734
0,53,71.3244,0.9889,0.7677
0,54,69.7058,1.0101,0.7718
0,55,70.2659,1.0532,0.7851
0,56,66.8097,0.9666,0.7866
0,57,67.5132,1.0136,0.7633
0,58,68.2865,0.9149,0.7756
0,59,64.8145,0.9408,0.7880
0,60,65.6880,0.9454,0.7659
0,61,65.6380,0.9563,0.7898
0,62,65.9009,0.9664,0.7880
0,63,64.5387,0.9105,0.7906
0,64,64.0790,0.8748,0.7783
0,65,65.0954,0.8806,0.7931
0,66,64.5993,0.8915,0.7930
0,67,62.7171,0.8638,0.7877
0,68,62.2388,0.9578,0.7911
0,69,61.9021,0.9126,0.8094
0,70,61.3339,0.8769,0.7959
0,71,62.7388,0.8913,0.7957
0,72,60.4099,0.9020,0.7957
0,73,60.7969,0.9038,0.8062
0,74,58.0659,0.8620,0.8158
0,75,57.0145,0.9773,0.8158
0,76,59.2742,0.8857,0.8115
0,77,58.2092,0.8414,0.8049
0,78,55.7214,0.8757,0.8118
0,79,59.5572,0.8874,0.8062
0,80,57.6527,0.8597,0.8111
0,81,57.5266,0.7978,0.8116
0,82,57.5611,0.8275,0.8060
0,83,56.0871,0.7917,0.8093
0,84,55.6630,0.7791,0.8230
0,85,55.5957,0.8527,0.8070
0,86,56.3586,0.8416,0.8024
0,87,53.1646,0.8315,0.8224
0,88,56.0927,0.7990,0.8182
0,89,54.3613,0.8455,0.8051
0,90,53.4942,0.7832,0.8284
0,91,54.9898,0.8351,0.8161
0,92,54.7915,0.9002,0.8292
0,93,54.0605,0.8133,0.8157
0,94,53.9491,0.8384,0.8207
0,95,53.0579,0.8203,0.8195
0,96,53.1837,0.7875,0.8152
0,97,54.1485,0.7751,0.8186
0,98,53.5691,0.8244,0.8176
0,99,52.7108,0.8530,0.8207
0,100,52.7628,0.8637,0.8185
0,101,51.5222,0.8574,0.8091
0,102,51.7956,0.8101,0.8297
0,103,53.0872,0.7696,0.8105
0,104,51.5338,0.7783,0.8307
0,105,50.1420,0.8091,0.8358
0,106,53.8947,0.7499,0.8243
0,107,52.7202,0.8183,0.8166
