eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,44.41416,0.5284375,0.85295004,0.0,0.0
1.0,0.0,80.09479,0.68963754,0.72111243,0.0,0.0
2.0,0.0,74.25541,0.565575,0.6937875,0.0,0.0
3.0,0.0,72.844574,0.6170875,0.63516253,0.0,0.0
4.0,0.0,67.81779,0.6537125,0.693,0.0,0.0
5.0,0.0,66.32319,0.55817497,0.679875,0.0,0.0
6.0,0.0,65.937675,0.5055625,0.6853125,0.0,0.0
7.0,0.0,57.709423,0.6287,0.6576875,0.0,0.0
8.0,0.0,75.52011,0.91616255,0.6566625,0.0,0.0
9.0,0.0,139.92719,1.238025,0.5022375,0.0,0.0
0.0,1.0,44.90415,0.62845004,0.8515875,0.0013624999,-0.0013624999
1.0,1.0,50.51205,0.73103756,0.83250004,0.0,0.0
2.0,1.0,58.398636,0.63398755,0.7587875,0.0,0.0
3.0,1.0,60.82936,0.7073875,0.70201254,0.0,0.0
4.0,1.0,53.89481,0.73397505,0.75013757,0.0,0.0
5.0,1.0,52.18196,0.62850004,0.74137497,0.0,0.0
6.0,1.0,52.652187,0.5586625,0.749925,0.0,0.0
7.0,1.0,45.578514,0.74906254,0.73125005,0.0,0.0
8.0,1.0,65.277626,1.13035,0.711375,0.0,0.0
9.0,1.0,129.25594,1.4266624,0.5564375,0.0,0.0
0.0,2.0,45.21949,0.6306125,0.852875,8.75e-05,-8.75e-05
1.0,2.0,48.962658,0.76377505,0.83083755,0.001675,-0.001675
2.0,2.0,51.838097,0.60042495,0.77331245,0.0,0.0
3.0,2.0,55.0039,0.661875,0.7239876,0.0,0.0
4.0,2.0,49.263847,0.72305006,0.767525,0.0,0.0
5.0,2.0,47.81965,0.6115375,0.7566625,0.0,0.0
6.0,2.0,48.661522,0.54198754,0.7607125,0.0,0.0
7.0,2.0,41.01854,0.720675,0.75075,0.0,0.0
8.0,2.0,55.007286,0.9809,0.742575,0.0,0.0
9.0,2.0,117.21465,1.3146,0.59697497,0.0,0.0
0.0,3.0,46.2536,0.6338,0.84771246,0.00525,-0.00525
1.0,3.0,47.41913,0.76254994,0.84186244,-0.0093625,0.0093625
2.0,3.0,50.563072,0.58168745,0.78455,-0.0112499995,0.0112499995
3.0,3.0,47.72894,0.6153375,0.7778125,0.0,0.0
4.0,3.0,45.011368,0.6971251,0.801225,0.0,0.0
5.0,3.0,45.3371,0.598225,0.787925,0.0,0.0
6.0,3.0,46.455097,0.5288625,0.781675,0.0,0.0
7.0,3.0,37.42565,0.68985,0.7943375,0.0,0.0
8.0,3.0,50.485004,0.8797875,0.77018744,0.0,0.0
9.0,3.0,102.00113,1.2339,0.66291255,0.0,0.0
0.0,4.0,47.68336,0.6196375,0.84536254,0.0076,-0.0076
1.0,4.0,43.88231,0.74057496,0.84877497,-0.016275,0.016275
2.0,4.0,48.297962,0.5616625,0.7853875,-0.012075,0.012075
3.0,4.0,42.448902,0.58722496,0.8000126,-0.0222125,0.0222125
4.0,4.0,36.64251,0.6523,0.83387494,0.0,0.0
5.0,4.0,41.047726,0.57132506,0.8024,0.0,0.0
6.0,4.0,42.087486,0.5027125,0.79422504,0.0,0.0
7.0,4.0,33.61901,0.65483755,0.807725,0.0,0.0
8.0,4.0,44.41294,0.79922503,0.789375,0.0,0.0
9.0,4.0,93.71615,1.1714625,0.69468755,0.0,0.0
0.0,5.0,53.148914,0.7055875,0.8346,0.018375,-0.018375
1.0,5.0,44.554302,0.7769,0.8493875,-0.0168875,0.0168875
2.0,5.0,46.70314,0.568425,0.78832495,-0.015012499,0.015012499
3.0,5.0,39.6408,0.572725,0.80775,-0.02995,0.02995
4.0,5.0,34.22065,0.6474875,0.8405625,-0.0067,0.0067
5.0,5.0,33.60708,0.55198747,0.825125,0.0,0.0
6.0,5.0,37.92975,0.49962503,0.81078744,0.0,0.0
