training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,429.2399,1.2035,-0.3143
0,1,313.5984,2.7259,0.0154
0,2,260.6955,4.7288,0.0977
0,3,263.7766,5.3224,0.2133
0,4,237.9082,4.0695,0.2619
0,5,219.1945,3.1078,0.3298
0,6,215.0695,2.4315,0.3510
0,7,210.8152,2.4127,0.3488
0,8,198.4510,2.6143,0.3632
0,9,185.1347,2.7463,0.4586
0,10,178.3593,3.0959,0.4507
0,11,172.9240,3.4219,0.4732
0,12,165.7105,3.2131,0.5005
0,13,158.7641,2.8068,0.5134
0,14,155.9570,2.5208,0.5286
0,15,149.3070,2.3974,0.5520
0,16,144.2172,2.2493,0.5550
0,17,142.4722,2.4628,0.5804
0,18,135.2605,2.2441,0.5992
0,19,132.2195,1.9694,0.5834
0,20,131.0295,1.9925,0.6203
0,21,127.1314,1.7360,0.6198
0,22,123.4034,1.8658,0.6231
0,23,121.4535,1.8179,0.6321
0,24,116.4267,1.6493,0.6577
0,25,112.2774,1.8513,0.6609
0,26,112.1947,1.6765,0.6486
0,27,108.2890,1.4907,0.6654
0,28,107.1199,1.5771,0.6539
0,29,102.6595,1.3722,0.6928
0,30,101.6121,1.4193,0.6888
0,31,96.9740,1.3703,0.7045
0,32,97.3071,1.3723,0.7002
0,33,95.9700,1.3726,0.6915
0,34,93.7517,1.2694,0.6979
0,35,91.0829,1.2228,0.7144
0,36,88.1643,1.1784,0.7146
0,37,88.4232,1.2306,0.7269
0,38,85.7902,1.1855,0.7278
0,39,85.7979,1.1814,0.7231
0,40,82.5085,1.1477,0.7307
0,41,81.5264,1.1568,0.7547
0,42,80.9972,1.1143,0.7332
0,43,82.5662,1.0419,0.7360
0,44,76.6990,0.9412,0.7459
0,45,80.0778,1.0405,0.7359
0,46,78.4106,1.0962,0.7314
0,47,75.6789,1.0289,0.7570
0,48,75.8388,1.0374,0.7551
0,49,73.6427,1.0011,0.7658
0,50,72.2165,0.9690,0.7765
0,51,73.1271,1.0032,0.7649
0,52,70.0003,0.9648,0.7679
0,53,71.4320,0.9532,0.7658
0,54,68.8828,0.9808,0.7752
0,55,70.7642,0.9997,0.7758
0,56,69.0489,0.9851,0.7731
0,57,68.0955,1.0068,0.7793
0,58,69.8281,1.0669,0.7714
0,59,66.3153,1.0342,0.7992
0,60,66.3488,1.0278,0.7836
0,61,66.1629,0.9179,0.7813
0,62,65.8495,0.9510,0.7860
0,63,67.9315,0.9886,0.7658
0,64,64.3029,0.9490,0.7903
0,65,63.2638,0.9103,0.7866
0,66,63.6439,0.8985,0.7820
0,67,62.8595,0.9061,0.7943
0,68,61.5524,0.9288,0.7935
0,69,63.4049,0.9151,0.7956
0,70,60.2375,0.8262,0.8081
0,71,60.3503,0.9111,0.8105
0,72,61.0673,0.8893,0.8013
0,73,59.5926,0.8704,0.7897
0,74,59.1559,0.8562,0.8095
0,75,59.9261,0.9209,0.8010
0,76,58.5353,0.9228,0.8150
0,77,58.9490,0.8233,0.8083
0,78,57.0574,0.8865,0.8096
0,79,59.3416,0.8793,0.8154
0,80,57.2149,0.8369,0.7984
0,81,55.3616,0.8257,0.8235
0,82,57.0493,0.8333,0.8126
0,83,56.0602,0.7935,0.8113
0,84,55.3216,0.8486,0.8161
0,85,54.4728,0.8035,0.8082
0,86,54.7429,0.8668,0.8216
0,87,55.8362,0.8463,0.8102
0,88,57.9054,0.9006,0.8155
0,89,55.7007,0.8714,0.8129
0,90,54.1231,0.8643,0.8260
0,91,53.9268,0.8047,0.8143
0,92,55.8688,0.8064,0.8111
0,93,55.3998,0.7727,0.8156
0,94,53.9356,0.7472,0.8256
0,95,54.5527,0.7952,0.8164
0,96,52.7032,0.8447,0.8275
0,97,52.2923,0.8149,0.8156
0,98,52.0391,0.8358,0.8255
0,99,51.7900,0.7900,0.8332
0,100,53.9619,0.8335,0.8148
0,101,52.2468,0.7668,0.8238
0,102,51.0091,0.7992,0.8325
0,103,50.8023,0.8170,0.8249
0,104,52.1281,0.7610,0.8316
0,105,52.0714,0.7269,0.8177
0,106,52.1586,0.8049,0.8230
0,107,51.5050,0.7848,0.8302
