eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,0.8822762,0.012448275,0.0029696114,0.0,0.0
0.0,0.0,1.641544,0.010136281,0.011514764,0.0,0.0
0.0,0.0,1.2905687,0.008795163,0.0061068446,0.0,0.0
0.0,0.0,1.8355033,0.010335835,0.013642764,0.0,0.0
0.0,0.0,2.0362926,0.010237427,0.011807087,0.0,0.0
0.0,0.0,1.7335056,0.004308924,0.008956531,0.0,0.0
0.0,0.0,1.7881795,0.006200553,0.010539447,0.0,0.0
0.0,0.0,1.0052325,0.016172701,0.009020813,0.0,0.0
0.0,0.0,2.0846202,0.04116562,0.010709463,0.0,0.0
0.0,0.0,6.464658,0.029725876,0.02282274,0.0,0.0
0.0,0.0,1.2311088,0.016582498,0.0043098712,0.0047657634,0.0047657634
0.0,0.0,0.4844529,0.014765582,0.0015221197,0.0,0.0
0.0,0.0,0.5029297,0.011428794,0.00233653,0.0,0.0
0.0,0.0,0.6811753,0.008929847,0.007519147,0.0,0.0
0.0,0.0,0.5886777,0.015301544,0.002911079,0.0,0.0
0.0,0.0,0.3381965,0.010286944,0.0036694466,0.0,0.0
0.0,0.0,0.5084468,0.010040838,0.0033320237,0.0,0.0
0.0,0.0,0.54598886,0.0180861,0.004283391,0.0,0.0
0.0,0.0,0.44302467,0.037438337,0.0075131627,0.0,0.0
0.0,0.0,5.6762505,0.042461198,0.01701176,0.0,0.0
0.0,0.0,1.6138268,0.011895044,0.0050959387,0.0053751166,0.0053751166
0.0,0.0,0.5797564,0.013906256,0.0022355071,0.0019068544,0.0019068544
0.0,0.0,0.35386667,0.0055674077,0.0016590237,0.0,0.0
0.0,0.0,0.5280067,0.008292158,0.0034842498,0.0,0.0
0.0,0.0,0.24682571,0.009219918,0.0024632008,0.0,0.0
0.0,0.0,0.36943448,0.007704221,0.0025401483,0.0,0.0
0.0,0.0,0.42967978,0.010943538,0.003609174,0.0,0.0
0.0,0.0,0.5635522,0.0112539325,0.0030646992,0.0,0.0
0.0,0.0,0.44699126,0.012437022,0.00415013,0.0,0.0
0.0,0.0,2.068942,0.01940711,0.0062814667,0.0,0.0
0.0,0.0,1.1188135,0.008034999,0.0040911236,0.0028499993,0.0028499993
0.0,0.0,0.51735073,0.020737192,0.002017264,0.0014247259,0.0014247259
0.0,0.0,0.870205,0.0034347281,0.0032046875,0.0033135847,0.0033135847
0.0,0.0,0.2283588,0.0066513065,0.002400761,0.0,0.0
0.0,0.0,0.24068362,0.009232822,0.0017909496,0.0,0.0
0.0,0.0,0.45809242,0.007056724,0.0019116399,0.0,0.0
0.0,0.0,0.41641718,0.0072869645,0.0041048,0.0,0.0
0.0,0.0,0.58246756,0.008522094,0.0034835364,0.0,0.0
0.0,0.0,0.9040791,0.0033055856,0.0057098423,0.0,0.0
0.0,0.0,2.4380224,0.014945901,0.0058644954,0.0,0.0
0.0,0.0,3.2724395,0.0068336404,0.0107809715,0.010387606,0.010387606
0.0,0.0,1.7664264,0.0070153,0.0069979965,0.006749341,0.006749341
0.0,0.0,2.1575568,0.005434844,0.009444308,0.009789209,0.009789209
0.0,0.0,0.46541786,0.0036499784,0.003342062,0.0022513538,0.0022513538
0.0,0.0,0.4811985,0.0081404755,0.0025695367,0.0,0.0
0.0,0.0,0.15139776,0.004238639,0.0019251085,0.0,0.0
0.0,0.0,0.48163855,0.003790119,0.0027351636,0.0,0.0
0.0,0.0,0.27357695,0.0056429165,0.0022712576,0.0,0.0
0.0,0.0,0.9537306,0.004826941,0.0056483275,0.0,0.0
0.0,0.0,2.197267,0.01799661,0.0058965893,0.0,0.0
0.0,0.0,6.0853796,0.025418298,0.016152965,0.016879205,0.016879205
0.0,0.0,2.9278374,0.024889294,0.009114516,0.009584485,0.009584485
0.0,0.0,3.1683955,0.01281395,0.011410296,0.011534127,0.011534127
0.0,0.0,0.9850445,0.010337767,0.00639569,0.0073857023,0.0073857023
0.0,0.0,0.6792762,0.007933953,0.003859966,0.0028781232,0.0028781232
0.0,0.0,0.41276994,0.0069594244,0.0022217364,0.0,0.0
0.0,0.0,0.34182888,0.005456292,0.0033660026,0.0,0.0
0.0,0.0,0.30363917,0.010473176,0.0023560787,0.0,0.0
0.0,0.0,0.5805521,0.022961644,0.0046782554,0.0,0.0
0.0,0.0,3.5604947,0.027400823,0.009606758,0.0,0.0
0.0,0.0,3.4073045,0.016708076,0.013885509,0.014406834,0.014406834
0.0,0.0,1.1709659,0.008171503,0.0056060078,0.005413121,0.005413121
0.0,0.0,1.029398,0.005317524,0.005154556,0.0047704657,0.0047704657
0.0,0.0,0.36439463,0.005149509,0.0025386838,0.0036571845,0.0036571845
0.0,0.0,0.3865714,0.005416412,0.0017265765,0.0020710807,0.0020710807
