training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,426.5630,1.1063,-0.3329
0,1,317.3205,2.5657,0.0115
0,2,261.5289,4.8970,0.0574
0,3,262.7766,4.9351,0.1943
0,4,239.1271,3.8992,0.2428
0,5,218.0106,2.9441,0.2883
0,6,213.4092,2.3767,0.3412
0,7,208.8191,2.5172,0.3483
0,8,197.6929,2.6553,0.4018
0,9,183.3633,2.9696,0.4590
0,10,176.8405,2.9147,0.4528
0,11,172.1874,3.5264,0.4702
0,12,162.7998,3.1308,0.5099
0,13,156.0564,2.6245,0.5389
0,14,151.4960,2.5207,0.5317
0,15,148.4236,2.4911,0.5554
0,16,142.8258,2.1162,0.5780
0,17,137.0866,2.2193,0.5966
0,18,134.4085,2.0468,0.5956
0,19,131.6676,2.0252,0.5927
0,20,128.4394,1.8833,0.6186
0,21,124.1939,1.8726,0.6115
0,22,120.6604,1.8341,0.6521
0,23,116.2792,1.7069,0.6429
0,24,116.1425,1.6821,0.6433
0,25,110.7119,1.6122,0.6485
0,26,111.3581,1.5385,0.6714
0,27,108.9504,1.5943,0.6728
0,28,106.0930,1.5473,0.6718
0,29,100.9926,1.4990,0.6932
0,30,98.2357,1.3915,0.6896
0,31,97.2995,1.4261,0.6870
0,32,94.5603,1.3577,0.7118
0,33,92.2865,1.3634,0.7047
0,34,90.5433,1.2769,0.7174
0,35,88.9494,1.2349,0.7129
0,36,88.3892,1.2457,0.7223
0,37,87.0195,1.2128,0.7309
0,38,84.0078,1.2123,0.7298
0,39,84.7799,1.0831,0.7490
0,40,82.9946,1.1579,0.7214
0,41,80.9758,1.1409,0.7424
0,42,81.9159,1.0274,0.7553
0,43,77.3147,1.0688,0.7583
0,44,78.7332,1.0209,0.7482
0,45,76.9750,1.0251,0.7561
0,46,75.7422,1.0496,0.7546
0,47,74.2133,1.0205,0.7589
0,48,73.8840,1.0715,0.7725
0,49,72.4499,0.9640,0.7755
0,50,72.0626,0.9646,0.7491
0,51,72.0789,0.9663,0.7702
0,52,73.1334,1.1557,0.7545
0,53,69.4029,1.0556,0.7692
0,54,70.2408,0.9666,0.7848
0,55,68.0023,0.9755,0.7871
0,56,66.9175,0.9886,0.7823
0,57,68.0203,0.9934,0.7792
0,58,67.6324,0.9632,0.7794
0,59,65.7046,0.9592,0.8007
0,60,64.6889,0.9387,0.7971
0,61,64.6874,0.9622,0.7946
0,62,63.2678,0.8911,0.7819
0,63,62.9267,0.8875,0.7989
0,64,63.4958,0.9287,0.7851
0,65,63.8206,0.9046,0.7985
0,66,63.6277,0.9186,0.8074
0,67,63.1017,0.8964,0.7855
0,68,61.7066,0.9795,0.7943
0,69,61.1522,0.9656,0.8130
0,70,60.9830,0.9150,0.7981
0,71,60.3175,0.9014,0.8067
0,72,59.6669,0.8883,0.8094
0,73,57.9759,0.8827,0.8133
0,74,57.9614,0.8596,0.7954
0,75,57.9693,0.8470,0.8144
0,76,56.9820,0.8735,0.8141
0,77,57.6288,0.8693,0.8156
0,78,57.4604,0.9060,0.8152
0,79,56.7516,0.9112,0.8173
0,80,56.8432,0.8402,0.8007
0,81,56.4063,0.9486,0.8177
0,82,55.4272,0.8534,0.8081
0,83,56.7687,0.8501,0.8102
0,84,56.4208,0.8358,0.8215
0,85,54.8859,0.8751,0.8090
0,86,55.3357,0.8144,0.8211
0,87,54.8054,0.7794,0.8155
0,88,55.9461,0.7703,0.8077
0,89,53.9527,0.8209,0.8213
0,90,55.4029,0.8488,0.8179
0,91,54.7523,0.8827,0.8056
0,92,53.8218,0.8088,0.8282
0,93,54.0471,0.8048,0.8268
0,94,53.2004,0.8621,0.8313
0,95,55.0134,0.8385,0.8047
0,96,53.1958,0.7726,0.8226
0,97,51.9178,0.8414,0.8301
0,98,53.8555,0.8362,0.8188
0,99,51.7981,0.7384,0.8195
0,100,53.0215,0.7632,0.8161
0,101,52.7646,0.8325,0.8292
0,102,52.1601,0.8889,0.8328
0,103,52.2947,0.8614,0.8286
0,104,51.2500,0.8237,0.8305
0,105,53.6428,0.8017,0.8252
0,106,50.7025,0.7742,0.8310
0,107,49.4843,0.7856,0.8255
0,108,49.7131,0.7918,0.8346
0,109,52.5733,0.7811,0.8239
0,110,51.7561,0.8041,0.8147
0,111,51.5871,0.8093,0.8281
0,112,49.4186,0.7605,0.8333
0,113,50.1505,0.8634,0.8374
0,114,50.5650,0.7675,0.8363
0,115,49.6253,0.7593,0.8406
0,116,50.9491,0.7336,0.8376
0,117,49.6555,0.7769,0.8269
0,118,50.0519,0.8159,0.8240
0,119,48.4269,0.7317,0.8448
0,120,50.9576,0.7828,0.8244
0,121,48.6200,0.8221,0.8358
0,122,49.0832,0.7725,0.8329
0,123,48.6735,0.7580,0.8404
0,124,48.3025,0.7173,0.8372
0,125,48.0153,0.7882,0.8448
0,126,48.3930,0.7511,0.8366
0,127,48.7340,0.7207,0.8347
0,128,48.6367,0.7975,0.8316
0,129,48.1407,0.7577,0.8355
0,130,48.8868,0.8682,0.8317
0,131,47.6370,0.7027,0.8450
0,132,47.6158,0.7581,0.8328
0,133,48.5412,0.7434,0.8291
0,134,46.8758,0.7544,0.8390
0,135,46.7187,0.7252,0.8381
0,136,46.6742,0.7293,0.8476
0,137,46.2572,0.6981,0.8393
0,138,46.7420,0.7462,0.8396
0,139,46.1509,0.7409,0.8341
0,140,45.9112,0.7224,0.8467
0,141,45.7445,0.7433,0.8508
0,142,47.5032,0.7711,0.8454
0,143,46.9150,0.7516,0.8376
0,144,46.3880,0.7383,0.8405
0,145,46.8450,0.6972,0.8328
0,146,45.4543,0.7697,0.8376
0,147,46.1556,0.7680,0.8448
0,148,46.7078,0.7278,0.8366
0,149,44.7349,0.7309,0.8497
0,150,45.2503,0.7124,0.8405
0,151,45.2302,0.6909,0.8463
0,152,45.3250,0.6834,0.8426
0,153,44.0583,0.6975,0.8511
0,154,45.3371,0.7217,0.8402
0,155,45.9697,0.7631,0.8379
0,156,45.4011,0.6877,0.8460
0,157,45.0131,0.6974,0.8288
0,158,46.4292,0.7569,0.8472
0,159,46.1016,0.7387,0.8343
0,160,46.2630,0.7457,0.8453
0,161,46.3871,0.7587,0.8299
0,162,45.5375,0.7455,0.8419
0,163,45.2092,0.6763,0.8456
0,164,43.9238,0.6590,0.8495
0,165,44.4434,0.6766,0.8392
0,166,43.7586,0.7208,0.8552
0,167,44.7469,0.6705,0.8489
0,168,45.3115,0.7253,0.8473
0,169,44.0353,0.7098,0.8478
0,170,43.0400,0.7621,0.8406
0,171,43.7910,0.7208,0.8504
0,172,44.1607,0.7343,0.8375
0,173,44.2445,0.7520,0.8424
0,174,42.1685,0.7068,0.8602
0,175,44.7327,0.7164,0.8515
0,176,42.1669,0.7300,0.8473
0,177,42.9042,0.7212,0.8421
0,178,44.0508,0.7009,0.8385
0,179,42.8267,0.6587,0.8527
0,180,41.7101,0.6884,0.8523
0,181,43.2010,0.6982,0.8434
0,182,41.6294,0.7240,0.8430
0,183,43.3621,0.7094,0.8538
0,184,42.7995,0.7437,0.8370
0,185,43.0533,0.6808,0.8381
0,186,43.7398,0.6684,0.8512
0,187,42.1426,0.7350,0.8380
0,188,43.6199,0.7848,0.8468
0,189,42.8845,0.7344,0.8490
0,190,40.8444,0.7223,0.8561
0,191,42.9827,0.7290,0.8599
0,192,42.1132,0.7548,0.8573
0,193,42.6889,0.7197,0.8455
0,194,42.3369,0.6713,0.8486
0,195,42.9536,0.6984,0.8401
0,196,39.8457,0.6857,0.8624
0,197,42.2441,0.7203,0.8533
0,198,42.2057,0.6827,0.8557
0,199,43.1326,0.6924,0.8525
0,200,40.9145,0.7146,0.8603
0,201,43.5241,0.7075,0.8522
0,202,42.0234,0.6386,0.8592
0,203,42.5571,0.6288,0.8570
0,204,40.4275,0.6723,0.8582
0,205,40.4477,0.7056,0.8643
0,206,41.2609,0.7377,0.8613
0,207,42.1126,0.6876,0.8522
0,208,41.7144,0.6755,0.8588
0,209,42.0432,0.6810,0.8427
0,210,41.1346,0.7150,0.8576
0,211,40.5123,0.6919,0.8551
0,212,43.5972,0.6531,0.8555
0,213,41.6152,0.6710,0.8677
0,214,40.0154,0.6623,0.8529
0,215,40.9851,0.6822,0.8591
0,216,40.6609,0.6754,0.8567
0,217,41.9018,0.6827,0.8518
0,218,40.6750,0.7166,0.8627
0,219,41.6402,0.6344,0.8533
0,220,41.7928,0.6815,0.8579
0,221,40.0546,0.6834,0.8689
0,222,39.6190,0.7136,0.8619
0,223,40.9520,0.6579,0.8628
0,224,41.1132,0.6702,0.8565
0,225,40.3732,0.6886,0.8596
0,226,41.8765,0.6765,0.8550
0,227,39.5177,0.7277,0.8540
0,228,40.3243,0.6693,0.8640
0,229,40.0653,0.6729,0.8635
0,230,40.1789,0.6453,0.8714
0,231,40.5840,0.6704,0.8517
0,232,41.2238,0.6849,0.8553
0,233,41.0989,0.6919,0.8663
0,234,40.6282,0.6829,0.8502
0,235,39.9217,0.6920,0.8592
0,236,40.1348,0.7110,0.8512
0,237,41.3228,0.6693,0.8580
0,238,40.2455,0.6378,0.8580
0,239,40.7477,0.6695,0.8560
0,240,41.1525,0.6853,0.8612
0,241,40.7669,0.6934,0.8649
0,242,40.2294,0.6352,0.8639
0,243,40.0776,0.6840,0.8616
0,244,40.2945,0.6796,0.8539
0,245,39.0574,0.6718,0.8637
0,246,41.0853,0.6538,0.8575
0,247,40.1756,0.7637,0.8541
0,248,39.4673,0.6909,0.8643
0,249,39.6405,0.7054,0.8604
1,0,77.0711,0.8120,0.7136
1,1,64.1374,1.1852,0.7723
1,2,59.0954,1.1524,0.7756
1,3,58.1681,0.9693,0.7753
1,4,51.4658,1.0159,0.8015
1,5,51.9338,0.9488,0.8004
1,6,46.0076,0.7919,0.8232
1,7,46.1622,0.8326,0.8242
1,8,46.0068,0.8586,0.8201
1,9,44.3380,0.8420,0.8329
1,10,45.3376,0.7520,0.8204
1,11,44.6278,0.7458,0.8322
1,12,40.9454,0.8423,0.8349
1,13,39.1255,0.8211,0.8466
1,14,39.8486,0.7569,0.8329
1,15,40.8677,0.8022,0.8457
1,16,39.5904,0.8868,0.8412
1,17,37.6445,0.8264,0.8569
1,18,37.7306,0.8266,0.8514
1,19,37.3434,0.8511,0.8567
1,20,37.2399,0.7950,0.8577
1,21,36.7786,0.7887,0.8566
1,22,37.6245,0.8216,0.8534
1,23,36.4931,0.9432,0.8588
1,24,35.8334,0.8542,0.8581
1,25,36.1286,0.8448,0.8557
1,26,35.8312,0.8199,0.8576
1,27,35.2080,0.7754,0.8634
1,28,35.5194,0.7766,0.8616
1,29,35.9751,0.7316,0.8593
1,30,35.0711,0.8118,0.8574
1,31,35.2882,0.8063,0.8621
1,32,33.1698,0.7929,0.8762
1,33,36.0945,0.8434,0.8572
1,34,34.4903,0.8005,0.8643
1,35,33.8093,0.7356,0.8677
1,36,34.0844,0.7811,0.8642
1,37,33.9538,0.8383,0.8682
1,38,33.5598,0.7273,0.8664
1,39,34.6764,0.7774,0.8563
1,40,34.1442,0.7466,0.8637
1,41,32.1530,0.6977,0.8734
1,42,33.1473,0.7469,0.8690
1,43,33.2970,0.8041,0.8640
1,44,32.4950,0.7290,0.8716
1,45,33.1080,0.7249,0.8556
1,46,32.5220,0.7318,0.8700
1,47,32.1150,0.7536,0.8684
1,48,32.8694,0.7693,0.8663
1,49,30.8480,0.7760,0.8779
1,50,32.2616,0.6928,0.8731
1,51,33.2405,0.7883,0.8676
1,52,30.8934,0.7105,0.8760
1,53,31.2167,0.7076,0.8820
1,54,31.8813,0.7404,0.8689
1,55,31.1226,0.7171,0.8735
1,56,32.4044,0.7870,0.8734
1,57,31.4526,0.7584,0.8733
1,58,30.4931,0.7326,0.8817
1,59,30.2706,0.7383,0.8797
1,60,31.7111,0.7325,0.8720
1,61,30.5951,0.7191,0.8765
1,62,31.1952,0.7478,0.8753
1,63,31.8380,0.7617,0.8677
1,64,31.0285,0.7453,0.8782
1,65,31.6746,0.7465,0.8610
1,66,30.1605,0.6755,0.8791
1,67,31.7806,0.6971,0.8696
1,68,29.9050,0.6954,0.8875
1,69,32.2027,0.6957,0.8710
1,70,30.0401,0.7214,0.8774
1,71,30.1806,0.7225,0.8785
1,72,30.9743,0.7319,0.8725
1,73,29.0859,0.7662,0.8862
1,74,30.0584,0.7885,0.8812
1,75,30.5493,0.7350,0.8756
1,76,30.8601,0.7572,0.8773
1,77,29.9789,0.7373,0.8762
1,78,30.1919,0.7230,0.8727
1,79,30.5238,0.7158,0.8762
1,80,29.8770,0.6932,0.8823
1,81,29.5961,0.7207,0.8799
1,82,29.9702,0.7266,0.8798
1,83,29.4499,0.7030,0.8858
1,84,30.1351,0.7267,0.8797
1,85,30.8631,0.7356,0.8778
1,86,29.1356,0.7244,0.8888
1,87,29.1548,0.7241,0.8831
1,88,29.7740,0.7483,0.8793
1,89,28.5430,0.7468,0.8795
1,90,28.8696,0.6888,0.8839
