eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,46.572422,0.54963744,0.846775,0.0,0.0
1.0,0.0,81.26554,0.69654995,0.7199249,0.0,0.0
2.0,0.0,76.30485,0.5729875,0.68805,0.0,0.0
3.0,0.0,75.33449,0.62645,0.62163746,0.0,0.0
4.0,0.0,71.44226,0.65583754,0.6747875,0.0,0.0
5.0,0.0,68.61164,0.54983747,0.6674375,0.0,0.0
6.0,0.0,68.45741,0.5030125,0.6737875,0.0,0.0
7.0,0.0,59.1207,0.60858744,0.646075,0.0,0.0
8.0,0.0,79.194435,0.9469625,0.63927495,0.0,0.0
9.0,0.0,147.86206,1.245425,0.4730625,0.0,0.0
0.0,1.0,49.085297,0.5449375,0.8404375,0.0063375,-0.0063375
1.0,1.0,28.602186,0.5554,0.8981125,0.0,0.0
2.0,1.0,48.927963,0.5254,0.7818875,0.0,0.0
3.0,1.0,46.707424,0.57285,0.7539125,0.0,0.0
4.0,1.0,40.549465,0.6117751,0.79702497,0.0,0.0
5.0,1.0,42.46252,0.55193746,0.7741626,0.0,0.0
6.0,1.0,44.9993,0.47165,0.7621,0.0,0.0
7.0,1.0,40.115425,0.60631245,0.76018745,0.0,0.0
8.0,1.0,49.923172,0.81214994,0.73378754,0.0,0.0
9.0,1.0,101.63672,1.1134375,0.637125,0.0,0.0
0.0,2.0,51.24378,0.55748755,0.8361624,0.0106125,-0.0106125
1.0,2.0,29.341862,0.5470875,0.89161247,0.006475,-0.006475
2.0,2.0,29.404638,0.41666248,0.84269994,0.0,0.0
3.0,2.0,31.659412,0.45999998,0.8368125,0.0,0.0
4.0,2.0,29.5611,0.5317375,0.8550625,0.0,0.0
5.0,2.0,31.430338,0.47428748,0.8412125,0.0,0.0
6.0,2.0,35.50106,0.42016253,0.81326246,0.0,0.0
7.0,2.0,28.902452,0.50998753,0.84515005,0.0,0.0
8.0,2.0,35.383526,0.5529625,0.81365,0.0,0.0
9.0,2.0,70.39234,0.8777,0.7523999,0.0,0.0
0.0,3.0,52.463615,0.53608745,0.83150005,0.015287501,-0.015287501
1.0,3.0,29.288387,0.53403753,0.890975,0.0071125003,-0.0071125003
2.0,3.0,31.435638,0.4131625,0.836025,0.0066750003,-0.0066750003
3.0,3.0,25.30546,0.39031255,0.8762375,0.0,0.0
4.0,3.0,25.770447,0.48055,0.876575,0.0,0.0
5.0,3.0,30.11475,0.44795,0.84805006,0.0,0.0
6.0,3.0,33.09263,0.39813748,0.8267876,0.0,0.0
7.0,3.0,27.114214,0.46943748,0.85298747,0.0,0.0
8.0,3.0,34.49781,0.484575,0.81345,0.0,0.0
9.0,3.0,70.12235,0.840375,0.76115,0.0,0.0
0.0,4.0,56.25299,0.5309375,0.82061255,0.0261375,-0.0261375
1.0,4.0,30.579187,0.53417504,0.88425004,0.013825001,-0.013825001
2.0,4.0,33.414375,0.40651253,0.82708746,0.015612501,-0.015612501
3.0,4.0,25.59221,0.37998754,0.87162495,0.004625,-0.004625
4.0,4.0,20.341877,0.4283375,0.9034625,0.0,0.0
5.0,4.0,29.124348,0.4267625,0.85535,0.0,0.0
6.0,4.0,31.486698,0.36506248,0.8375874,0.0,0.0
7.0,4.0,24.839964,0.43187502,0.86591244,0.0,0.0
8.0,4.0,33.6847,0.4544625,0.81988746,0.0,0.0
9.0,4.0,63.024338,0.7970125,0.788825,0.0,0.0
0.0,5.0,56.964973,0.555175,0.82151246,0.025224999,-0.025224999
1.0,5.0,32.401535,0.5526375,0.8785375,0.019574998,-0.019574998
2.0,5.0,34.81081,0.426875,0.8222625,0.0204375,-0.0204375
3.0,5.0,26.351912,0.38822502,0.871675,0.0045499997,-0.0045499997
4.0,5.0,21.918587,0.4383875,0.8946125,0.00885,-0.00885
5.0,5.0,21.116026,0.4045375,0.888875,0.0,0.0
6.0,5.0,30.06655,0.37441254,0.84944993,0.0,0.0
7.0,5.0,24.314112,0.454,0.8740625,0.0,0.0
8.0,5.0,29.798525,0.459775,0.84412503,0.0,0.0
9.0,5.0,66.29596,0.8593625,0.78183746,0.0,0.0
0.0,6.0,54.577198,0.56156254,0.825625,0.021137498,-0.021137498
1.0,6.0,33.50984,0.5591,0.87545,0.02265,-0.02265
2.0,6.0,32.500675,0.42707503,0.83998746,0.0027,-0.0027
3.0,6.0,25.579552,0.3999,0.8736125,0.0026375,-0.0026375
4.0,6.0,22.251638,0.4496,0.89371246,0.00975,-0.00975
5.0,6.0,25.602264,0.4313125,0.87416255,0.0147125,-0.0147125
6.0,6.0,24.23336,0.33765003,0.88132507,0.0,0.0
7.0,6.0,22.981565,0.44578752,0.879475,0.0,0.0
8.0,6.0,27.5285,0.466475,0.8607375,0.0,0.0
9.0,6.0,61.622307,0.8474,0.7969,0.0,0.0
0.0,7.0,55.668205,0.56205,0.82313746,0.023625,-0.023625
1.0,7.0,34.0402,0.56212497,0.87398756,0.0241125,-0.0241125
2.0,7.0,34.087997,0.43711248,0.8334875,0.009225001,-0.009225001
3.0,7.0,28.092663,0.40683752,0.86093754,0.015325001,-0.015325001
4.0,7.0,21.803875,0.43600002,0.894425,0.0090125,-0.0090125
5.0,7.0,25.526398,0.43433753,0.8722876,0.016562501,-0.016562501
6.0,7.0,25.421188,0.3476125,0.8772375,0.0041125,-0.0041125
7.0,7.0,17.392725,0.426025,0.905625,0.0,0.0
8.0,7.0,27.760748,0.473875,0.86455,0.0,0.0
9.0,7.0,57.431114,0.8431375,0.81875,0.0,0.0
0.0,8.0,56.54122,0.5607375,0.81927496,0.0275,-0.0275
1.0,8.0,34.19309,0.5715375,0.86901253,0.0291,-0.0291
2.0,8.0,34.09451,0.44370002,0.8286375,0.0140875,-0.0140875
3.0,8.0,25.421412,0.41424996,0.87869996,-0.0024375003,0.0024375003
4.0,8.0,22.615864,0.46141252,0.89317495,0.0102625005,-0.0102625005
5.0,8.0,26.214924,0.43550003,0.873275,0.015587499,-0.015587499
6.0,8.0,25.058125,0.34957498,0.8784875,0.0028124999,-0.0028124999
7.0,8.0,17.8729,0.434575,0.902175,0.0034374995,-0.0034374995
8.0,8.0,20.81085,0.39657497,0.8916,0.0,0.0
9.0,8.0,49.52565,0.757875,0.8309875,0.0,0.0
0.0,9.0,58.416115,0.5787,0.8136,0.033150002,-0.033150002
1.0,9.0,38.11984,0.6064,0.85937494,0.038725,-0.038725
2.0,9.0,36.100838,0.4613,0.8264875,0.016224999,-0.016224999
3.0,9.0,28.424835,0.4326,0.861475,0.014775,-0.014775
4.0,9.0,24.941486,0.49228752,0.885525,0.0179375,-0.0179375
5.0,9.0,28.898811,0.4727375,0.8574625,0.0314125,-0.0314125
6.0,9.0,28.839087,0.3875875,0.8681625,0.013162499,-0.013162499
7.0,9.0,19.667301,0.469275,0.899175,0.0064375005,-0.0064375005
8.0,9.0,24.806013,0.44716248,0.8855375,0.006075,-0.006075
9.0,9.0,27.47015,0.57632506,0.90517503,0.0,0.0
