eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,0.75437933,0.014035128,0.002367345,0.0,0.0
0.0,0.0,2.2087023,0.008597384,0.011740616,0.0,0.0
0.0,0.0,1.5538393,0.007893732,0.0064903763,0.0,0.0
0.0,0.0,1.9150876,0.0075380607,0.014658102,0.0,0.0
0.0,0.0,1.725084,0.009116044,0.011805445,0.0,0.0
0.0,0.0,1.513609,0.005264712,0.0068947417,0.0,0.0
0.0,0.0,1.3739057,0.0076378104,0.008640393,0.0,0.0
0.0,0.0,1.7828251,0.015131296,0.010264949,0.0,0.0
0.0,0.0,2.6201823,0.03294799,0.014279864,0.0,0.0
0.0,0.0,6.969016,0.019741997,0.027027342,0.0,0.0
0.0,0.0,1.5196879,0.014435895,0.005562805,0.006398425,0.006398425
0.0,0.0,0.5359495,0.010238646,0.0013147659,0.0,0.0
0.0,0.0,0.7590292,0.00933487,0.0050225602,0.0,0.0
0.0,0.0,1.9514871,0.009351341,0.013042376,0.0,0.0
0.0,0.0,0.6831113,0.014973038,0.00342518,0.0,0.0
0.0,0.0,0.816359,0.009863303,0.0033083032,0.0,0.0
0.0,0.0,1.1791966,0.011446728,0.0049562952,0.0,0.0
0.0,0.0,1.094482,0.021065151,0.009060836,0.0,0.0
0.0,0.0,2.2477891,0.04776717,0.016240038,0.0,0.0
0.0,0.0,4.4754686,0.049705867,0.013930161,0.0,0.0
0.0,0.0,2.3424654,0.013365203,0.007537562,0.007795582,0.007795582
0.0,0.0,1.0553799,0.015542558,0.003322061,0.0029046298,0.0029046298
0.0,0.0,0.48677704,0.010318783,0.0017219143,0.0,0.0
0.0,0.0,0.6928318,0.010706655,0.0043656114,0.0,0.0
0.0,0.0,0.52877384,0.012338555,0.0028713832,0.0,0.0
0.0,0.0,0.781371,0.008647751,0.0043876064,0.0,0.0
0.0,0.0,0.49983448,0.008595631,0.0034835066,0.0,0.0
0.0,0.0,0.8451152,0.017194292,0.0027888205,0.0,0.0
0.0,0.0,0.6701421,0.023807509,0.0071779164,0.0,0.0
0.0,0.0,2.2753594,0.031973463,0.009892925,0.0,0.0
0.0,0.0,3.2572525,0.016651383,0.010430006,0.010975477,0.010975477
0.0,0.0,1.7934586,0.018701335,0.0077901916,0.007311025,0.007311025
0.0,0.0,0.8323688,0.00466153,0.0065382933,0.006767893,0.006767893
0.0,0.0,0.5914276,0.0067837043,0.0041148965,0.0,0.0
0.0,0.0,0.4399106,0.008646968,0.0018906046,0.0,0.0
0.0,0.0,0.64140165,0.0086939605,0.003317746,0.0,0.0
0.0,0.0,0.3669966,0.0065922197,0.005569208,0.0,0.0
0.0,0.0,0.77359706,0.011262435,0.00811163,0.0,0.0
0.0,0.0,1.6442307,0.011763159,0.03604736,0.0,0.0
0.0,0.0,4.0772133,0.024905702,0.01179556,0.0,0.0
