eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,45.616676,0.541075,0.84950006,0.0,0.0
1.0,0.0,80.31782,0.694775,0.7249,0.0,0.0
2.0,0.0,75.16585,0.5656125,0.6928125,0.0,0.0
3.0,0.0,74.15589,0.61547494,0.62965,0.0,0.0
4.0,0.0,70.10209,0.65013754,0.68365,0.0,0.0
5.0,0.0,67.572685,0.5444375,0.6751125,0.0,0.0
6.0,0.0,67.69476,0.499,0.678675,0.0,0.0
7.0,0.0,58.383125,0.6056125,0.6533,0.0,0.0
8.0,0.0,77.0436,0.92152494,0.65370005,0.0,0.0
9.0,0.0,145.02158,1.2274874,0.48406252,0.0,0.0
0.0,1.0,42.93761,0.5241125,0.85856247,-0.009062501,0.009062501
1.0,1.0,29.8941,0.5832125,0.8954375,0.0,0.0
2.0,1.0,47.46865,0.5224625,0.78808755,0.0,0.0
3.0,1.0,45.87741,0.56509995,0.75785,0.0,0.0
4.0,1.0,40.380974,0.62127507,0.79972494,0.0,0.0
5.0,1.0,41.702213,0.5484375,0.7778,0.0,0.0
6.0,1.0,44.097515,0.47657502,0.76946247,0.0,0.0
7.0,1.0,38.040024,0.60556257,0.768825,0.0,0.0
8.0,1.0,46.53096,0.78482497,0.75460005,0.0,0.0
9.0,1.0,97.485466,1.1116376,0.65347505,0.0,0.0
0.0,2.0,42.680035,0.51035,0.86147493,-0.011975,0.011975
1.0,2.0,26.232676,0.5239625,0.90405,-0.0085875,0.0085875
2.0,2.0,29.72405,0.42198747,0.84311247,0.0,0.0
3.0,2.0,32.353584,0.46328747,0.834125,0.0,0.0
4.0,2.0,30.220749,0.5384,0.85135,0.0,0.0
5.0,2.0,32.1611,0.48090002,0.83795005,0.0,0.0
6.0,2.0,35.68358,0.4235125,0.81168747,0.0,0.0
7.0,2.0,29.62324,0.5132,0.83981246,0.0,0.0
8.0,2.0,34.99076,0.55507493,0.81773746,0.0,0.0
9.0,2.0,68.5654,0.88215005,0.76014996,0.0,0.0
0.0,3.0,42.4301,0.4922375,0.8621,-0.012600001,0.012600001
1.0,3.0,25.481325,0.5017,0.90615,-0.0106999995,0.0106999995
2.0,3.0,28.992737,0.40094998,0.8445375,-0.001425,0.001425
3.0,3.0,25.629763,0.39696246,0.87346244,0.0,0.0
4.0,3.0,26.067652,0.4846,0.8747875,0.0,0.0
5.0,3.0,29.275763,0.4489,0.8528625,0.0,0.0
6.0,3.0,31.931812,0.396225,0.83082503,0.0,0.0
7.0,3.0,26.49681,0.469125,0.85811245,0.0,0.0
8.0,3.0,32.36171,0.48978752,0.8328625,0.0,0.0
9.0,3.0,64.03395,0.81102496,0.7766125,0.0,0.0
0.0,4.0,43.96265,0.4848125,0.858425,-0.008925,0.008925
1.0,4.0,24.93375,0.49431252,0.90783745,-0.012387499,0.012387499
2.0,4.0,28.677324,0.3900625,0.8456375,-0.0025250004,0.0025250004
3.0,4.0,23.951424,0.37336248,0.8816376,-0.008175,0.008175
4.0,4.0,20.75635,0.4314,0.9013375,0.0,0.0
5.0,4.0,27.849375,0.42456248,0.86263746,0.0,0.0
6.0,4.0,29.398924,0.3620125,0.847375,0.0,0.0
7.0,4.0,23.765713,0.4323375,0.8731749,0.0,0.0
8.0,4.0,31.424065,0.45354998,0.84237504,0.0,0.0
9.0,4.0,59.627426,0.77111244,0.796025,0.0,0.0
0.0,5.0,43.5014,0.49478748,0.85985,-0.0103625,0.0103625
1.0,5.0,25.396276,0.5052375,0.9055625,-0.010087499,0.010087499
2.0,5.0,28.295,0.39795002,0.8463375,-0.003225,0.003225
3.0,5.0,24.004812,0.37707502,0.88247496,-0.0090125,0.0090125
4.0,5.0,20.907524,0.43707502,0.89918745,0.002175,-0.002175
5.0,5.0,21.761288,0.4113375,0.8869875,0.0,0.0
6.0,5.0,28.364075,0.372275,0.854225,0.0,0.0
7.0,5.0,22.417252,0.4511625,0.883425,0.0,0.0
8.0,5.0,28.777514,0.45797497,0.85800004,0.0,0.0
9.0,5.0,60.487774,0.8149125,0.79666245,0.0,0.0
0.0,6.0,43.00774,0.49482498,0.8609,-0.0114,0.0114
1.0,6.0,26.091625,0.50865,0.9025375,-0.007075,0.007075
2.0,6.0,28.064537,0.39728752,0.84844995,-0.0053375,0.0053375
3.0,6.0,23.278727,0.38152498,0.8867875,-0.0133125,0.0133125
4.0,6.0,20.808187,0.4379875,0.90124995,8.7500026e-05,-8.7500026e-05
5.0,6.0,24.0203,0.4250375,0.880225,0.0067749997,-0.0067749997
6.0,6.0,23.807163,0.34056252,0.882375,0.0,0.0
7.0,6.0,21.1463,0.44378752,0.889225,0.0,0.0
8.0,6.0,27.005299,0.44685,0.8683624,0.0,0.0
9.0,6.0,56.763836,0.7939625,0.81004995,0.0,0.0
0.0,7.0,43.865685,0.4939875,0.85896254,-0.009425,0.009425
1.0,7.0,26.548975,0.5105125,0.90155005,-0.0060874997,0.0060874997
2.0,7.0,28.778965,0.40574998,0.84548753,-0.0023499997,0.0023499997
3.0,7.0,23.8815,0.38865,0.8840125,-0.010575,0.010575
4.0,7.0,20.441349,0.428275,0.90196246,-0.0006125,0.0006125
5.0,7.0,23.661812,0.4300125,0.88165,0.0053375,-0.0053375
6.0,7.0,24.369728,0.34588748,0.87927496,0.0030874999,-0.0030874999
7.0,7.0,16.582863,0.43131247,0.9090874,0.0,0.0
8.0,7.0,27.191778,0.4635,0.8684125,0.0,0.0
9.0,7.0,53.272335,0.79428744,0.82293755,0.0,0.0
0.0,8.0,44.58815,0.50181246,0.85566247,-0.0061749998,0.0061749998
1.0,8.0,26.867138,0.519075,0.898875,-0.0034375,0.0034375
2.0,8.0,29.114576,0.41176254,0.8425875,0.00052500004,-0.00052500004
3.0,8.0,22.774,0.3915,0.8911375,-0.017649999,0.017649999
4.0,8.0,20.452436,0.441075,0.9023375,-0.0009875,0.0009875
5.0,8.0,23.837889,0.42826253,0.882,0.0050125,-0.0050125
6.0,8.0,24.02344,0.34374997,0.8810875,0.0012875,-0.0012875
7.0,8.0,17.688675,0.4371125,0.90308744,0.0060375007,-0.0060375007
8.0,8.0,20.905413,0.4049375,0.8921125,0.0,0.0
9.0,8.0,47.485676,0.73252505,0.8339625,0.0,0.0
0.0,9.0,44.86844,0.51023746,0.85525,-0.0057625,0.0057625
1.0,9.0,27.262512,0.5327875,0.8986625,-0.0032125,0.0032125
2.0,9.0,29.00319,0.41655,0.84596246,-0.0028374996,0.0028374996
3.0,9.0,23.506212,0.398225,0.8856625,-0.0121875005,0.0121875005
4.0,9.0,21.226313,0.45656252,0.90312505,-0.0017749999,0.0017749999
5.0,9.0,24.6046,0.448525,0.87748754,0.009550001,-0.009550001
6.0,9.0,24.419888,0.359125,0.8856625,-0.0032999997,0.0032999997
7.0,9.0,17.709862,0.4572875,0.9064876,0.0026,-0.0026
8.0,9.0,21.861464,0.4255125,0.89426243,-0.0021125001,0.0021125001
9.0,9.0,28.521826,0.57823753,0.9019375,0.0,0.0
