training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,428.2903,1.1545,-0.3268
0,1,316.2321,3.0262,0.0106
0,2,260.6570,5.0144,0.0847
0,3,261.7231,4.9031,0.1868
0,4,236.0289,4.1325,0.2508
0,5,219.0627,3.0788,0.2925
0,6,213.6358,2.4529,0.3503
0,7,209.0304,2.3719,0.3657
0,8,196.4862,2.8447,0.4026
0,9,182.9348,2.8290,0.4499
0,10,178.9092,3.3898,0.4547
0,11,172.3881,3.3527,0.4752
0,12,162.9614,2.9277,0.4981
0,13,155.6475,2.4190,0.5355
0,14,154.0857,2.2813,0.5293
0,15,147.7782,2.0499,0.5599
0,16,140.6326,2.1490,0.5836
0,17,137.0115,2.1403,0.5990
0,18,136.7812,2.2266,0.5926
0,19,130.4538,2.1370,0.5981
0,20,126.7505,1.8024,0.6185
0,21,125.1761,1.7573,0.6306
0,22,120.6322,1.8500,0.6364
0,23,118.1840,1.7753,0.6183
0,24,112.9968,1.7028,0.6635
0,25,112.2091,1.6543,0.6350
0,26,111.1320,1.6683,0.6508
0,27,105.8000,1.4875,0.6858
0,28,107.0832,1.5947,0.6676
0,29,102.0802,1.5038,0.6813
0,30,99.8666,1.4281,0.6782
0,31,98.1867,1.3967,0.7013
0,32,96.5405,1.4042,0.7033
0,33,92.3822,1.3724,0.7144
0,34,93.7292,1.2763,0.7145
0,35,92.3256,1.2742,0.6961
0,36,89.6187,1.2930,0.7162
0,37,87.9735,1.1982,0.7177
0,38,86.5610,1.1603,0.7032
0,39,85.6506,1.0899,0.7262
0,40,84.4889,1.0759,0.7444
0,41,82.0606,1.1934,0.7442
0,42,80.7258,1.1709,0.7281
0,43,79.0878,1.0683,0.7376
0,44,78.9436,1.0349,0.7348
0,45,77.5026,1.0382,0.7555
0,46,77.4681,1.0646,0.7591
0,47,76.1994,1.0321,0.7574
0,48,74.5097,1.0451,0.7734
0,49,75.6079,1.0571,0.7652
0,50,71.6391,1.0420,0.7617
0,51,73.0458,1.0857,0.7701
0,52,70.4721,0.9944,0.7838
0,53,73.6796,1.0303,0.7655
0,54,68.3727,0.9913,0.7726
0,55,69.4907,0.9415,0.7732
0,56,67.7230,0.8984,0.7791
0,57,66.7670,0.9304,0.7922
0,58,67.0179,1.0254,0.7745
0,59,66.1156,0.9555,0.7840
0,60,67.3159,0.8843,0.7892
0,61,66.0127,0.8693,0.7874
0,62,65.0768,0.9546,0.7871
0,63,67.4630,0.9260,0.7839
0,64,65.6580,0.8620,0.7885
0,65,62.0902,0.8894,0.8005
0,66,64.7748,0.8973,0.7886
0,67,63.0851,0.9415,0.7987
0,68,61.8666,0.9149,0.7837
0,69,60.7781,0.8098,0.8096
0,70,61.3472,1.0458,0.8027
0,71,61.9544,0.8977,0.7865
0,72,60.9100,0.8395,0.7991
0,73,60.7426,0.8175,0.8056
0,74,59.4008,0.8981,0.8167
0,75,58.7344,0.9099,0.8084
0,76,58.6637,0.8248,0.8049
0,77,59.6820,0.8182,0.8114
0,78,58.5382,0.7956,0.8137
0,79,58.1984,0.9051,0.7997
0,80,60.1663,0.8461,0.7977
0,81,56.1472,0.8998,0.8207
0,82,55.8882,0.8636,0.8030
0,83,56.3133,0.8814,0.8175
0,84,56.1813,0.7787,0.8102
0,85,56.2624,0.8165,0.8103
0,86,56.7377,0.8044,0.8042
0,87,56.0996,0.8558,0.7941
0,88,55.3536,0.8406,0.7997
0,89,54.5104,0.8319,0.8228
0,90,54.3952,0.8168,0.8292
0,91,54.5121,0.8074,0.8177
0,92,52.5776,0.7948,0.8286
0,93,53.7824,0.7574,0.8204
0,94,52.7108,0.7923,0.8298
0,95,53.4206,0.7750,0.8303
0,96,52.7435,0.8274,0.8152
0,97,51.6631,0.7457,0.8289
0,98,53.7797,0.7965,0.8090
0,99,52.6518,0.7774,0.8276
0,100,53.0186,0.8459,0.8263
0,101,50.8233,0.8125,0.8351
0,102,52.3884,0.8162,0.8275
0,103,51.6411,0.7488,0.8100
0,104,51.5066,0.9064,0.8179
0,105,52.6636,0.7746,0.8237
0,106,51.6582,0.7825,0.8292
0,107,50.8740,0.7871,0.8398
0,108,50.7878,0.7704,0.8354
0,109,51.5755,0.7652,0.8184
0,110,49.5013,0.7609,0.8283
0,111,51.5994,0.8033,0.8372
0,112,50.4755,0.8188,0.8302
0,113,49.7677,0.7462,0.8348
0,114,49.5219,0.7118,0.8316
0,115,51.1243,0.7241,0.8212
0,116,49.0283,0.7668,0.8332
0,117,50.3677,0.7574,0.8306
0,118,49.8451,0.8111,0.8444
0,119,50.4361,0.7647,0.8276
0,120,47.5789,0.7476,0.8531
0,121,48.4335,0.7099,0.8415
0,122,49.4698,0.6972,0.8188
