training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,429.9181,1.0851,-0.3179
0,1,324.2635,2.8850,0.0122
0,2,261.9629,4.5736,0.0630
0,3,258.2909,5.0815,0.2199
0,4,241.1142,4.1698,0.2517
0,5,219.8868,3.2420,0.2973
0,6,212.1723,2.5880,0.3619
0,7,207.6536,2.2837,0.3828
0,8,197.7428,2.3603,0.4087
0,9,184.6400,2.6838,0.4570
0,10,177.2428,2.8513,0.4726
0,11,172.2195,3.1416,0.4827
0,12,164.9687,3.0079,0.4972
0,13,157.4265,2.9934,0.5174
0,14,151.8885,2.4796,0.5335
0,15,148.2897,2.3203,0.5414
0,16,143.5852,2.2986,0.5720
0,17,138.6577,2.0908,0.5864
0,18,136.4735,2.1083,0.5989
0,19,129.7237,2.0165,0.6049
0,20,127.3107,1.9102,0.6129
0,21,121.4592,1.7782,0.6385
0,22,119.6824,1.8279,0.6298
0,23,116.7684,1.7116,0.6551
0,24,113.2030,1.7027,0.6529
0,25,111.0499,1.6205,0.6666
0,26,107.6238,1.6297,0.6604
0,27,105.7954,1.5629,0.6816
0,28,102.2134,1.5035,0.6908
0,29,99.9389,1.3095,0.6922
0,30,98.7149,1.3644,0.6956
0,31,97.1080,1.4209,0.6958
0,32,92.8553,1.4213,0.7060
0,33,91.4988,1.2294,0.7178
0,34,90.2881,1.2426,0.7248
0,35,87.0530,1.1805,0.7248
0,36,85.5084,1.2035,0.7262
0,37,86.4320,1.1863,0.7064
0,38,85.4047,1.1921,0.7304
0,39,83.5576,1.1673,0.7215
0,40,80.4877,1.1335,0.7469
0,41,80.6437,1.1417,0.7600
0,42,79.4895,1.0464,0.7468
0,43,76.2215,1.0566,0.7587
0,44,77.7093,1.1064,0.7546
0,45,75.2125,1.1038,0.7585
0,46,75.9432,1.0418,0.7575
0,47,71.6693,1.0140,0.7687
0,48,73.3892,1.0334,0.7620
0,49,70.9160,1.0555,0.7744
0,50,72.7605,1.0220,0.7577
0,51,71.3580,1.0718,0.7583
0,52,71.5386,0.9864,0.7750
0,53,70.6080,1.0093,0.7801
0,54,67.7660,0.9755,0.7895
0,55,68.1742,0.9146,0.7777
0,56,68.7638,0.9704,0.7915
0,57,66.8307,0.9494,0.7711
0,58,65.3888,0.8944,0.7886
0,59,65.9421,1.0154,0.7832
0,60,64.1569,0.9830,0.7948
0,61,66.2787,0.8856,0.7784
0,62,64.3767,0.8782,0.7808
0,63,65.1946,1.0064,0.7915
0,64,62.7564,0.9905,0.7863
0,65,64.2558,0.9008,0.7963
0,66,62.9734,0.9196,0.8075
0,67,61.1066,0.8754,0.8092
0,68,61.2358,0.9021,0.8022
0,69,60.4336,0.9063,0.7951
0,70,59.2301,0.8589,0.8076
0,71,59.1837,0.9317,0.8159
0,72,59.5170,0.8782,0.8054
0,73,59.6075,0.8619,0.8083
0,74,59.4510,0.8881,0.8142
0,75,58.9205,0.9205,0.8039
0,76,56.9599,0.8299,0.8202
0,77,57.6336,0.8067,0.8066
0,78,58.4112,0.8347,0.8001
0,79,58.9000,0.9033,0.8023
0,80,56.4742,0.9059,0.8153
0,81,55.7826,0.8771,0.8155
0,82,56.1411,0.7821,0.8176
0,83,54.6899,0.8559,0.8093
0,84,53.9780,0.8122,0.8186
0,85,53.3991,0.8015,0.8280
0,86,54.7258,0.8229,0.8147
0,87,55.2285,0.8847,0.8152
0,88,52.9763,0.8044,0.8278
0,89,53.8262,0.8171,0.8034
0,90,54.6478,0.7617,0.8201
0,91,53.3579,0.8772,0.8097
0,92,53.3532,0.8460,0.8220
0,93,52.5766,0.7813,0.8216
0,94,51.9607,0.7913,0.8049
0,95,54.3383,0.8227,0.8214
0,96,52.2513,0.7877,0.8280
0,97,51.9705,0.7855,0.8120
0,98,52.9944,0.7738,0.8132
0,99,50.8809,0.8454,0.8309
0,100,51.8150,0.7941,0.8348
0,101,52.9967,0.8172,0.8180
0,102,51.4042,0.7569,0.8313
0,103,51.5484,0.8451,0.8239
0,104,50.3309,0.7268,0.8354
0,105,48.9879,0.8021,0.8381
0,106,50.1873,0.8197,0.8316
0,107,50.6123,0.7831,0.8290
0,108,50.3148,0.7729,0.8307
0,109,49.9410,0.7552,0.8282
0,110,49.9746,0.7957,0.8215
0,111,48.8603,0.8417,0.8304
0,112,49.6377,0.7765,0.8250
0,113,48.9856,0.7614,0.8392
0,114,49.1303,0.7346,0.8415
0,115,50.3962,0.7483,0.8192
0,116,48.6422,0.7803,0.8334
0,117,48.2221,0.7585,0.8462
0,118,49.7102,0.7757,0.8165
0,119,48.1442,0.7892,0.8406
0,120,49.0410,0.7692,0.8312
0,121,47.2808,0.7517,0.8329
0,122,48.1872,0.7004,0.8462
0,123,47.7828,0.7532,0.8362
0,124,47.3428,0.7594,0.8378
0,125,46.7339,0.7759,0.8376
0,126,47.1449,0.7670,0.8298
0,127,47.7477,0.7517,0.8385
0,128,46.1689,0.7448,0.8397
0,129,47.7878,0.7224,0.8471
0,130,48.5152,0.7271,0.8331
0,131,47.2729,0.8301,0.8356
0,132,47.8791,0.7668,0.8394
0,133,46.8976,0.7467,0.8346
0,134,46.9293,0.7275,0.8398
0,135,47.1893,0.7243,0.8414
0,136,47.7295,0.7639,0.8281
0,137,46.0007,0.7286,0.8409
0,138,46.4783,0.7113,0.8373
0,139,47.3227,0.7568,0.8385
0,140,45.5442,0.7007,0.8420
0,141,45.5794,0.7253,0.8511
0,142,44.3140,0.7070,0.8530
0,143,44.8752,0.7111,0.8496
0,144,44.5537,0.7361,0.8461
0,145,47.4451,0.7565,0.8332
0,146,45.7453,0.6647,0.8481
0,147,44.3909,0.7118,0.8433
0,148,44.5800,0.6943,0.8457
0,149,44.4096,0.7310,0.8395
0,150,44.4838,0.7332,0.8435
0,151,45.1695,0.7416,0.8453
0,152,44.1536,0.7457,0.8536
0,153,44.0825,0.7610,0.8566
0,154,46.5235,0.7315,0.8204
