eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,8.942375,0.91050005,0.8650501,0.0,0.0
1.0,0.0,23.187786,1.1077499,0.5958625,0.0,0.0
2.0,0.0,13.440587,0.9542999,0.67362505,0.0,0.0
3.0,0.0,12.23135,0.82196254,0.472125,0.0,0.0
4.0,0.0,11.157437,0.86036247,0.4891,0.0,0.0
5.0,0.0,8.318712,0.85973746,0.57000005,0.0,0.0
6.0,0.0,12.338938,0.7200125,0.5539125,0.0,0.0
7.0,0.0,8.559663,1.0161625,0.4974875,0.0,0.0
8.0,0.0,9.704325,1.2637374,0.6113,0.0,0.0
9.0,0.0,39.916225,1.3556001,0.306575,0.0,0.0
0.0,1.0,11.878526,1.3428625,0.82505,0.039975002,-0.039975002
1.0,1.0,6.356188,1.2204626,0.8881125,0.0,0.0
2.0,1.0,9.494188,1.142525,0.75916255,0.0,0.0
3.0,1.0,7.7041125,0.867975,0.66171247,0.0,0.0
4.0,1.0,5.6026998,0.91353744,0.742925,0.0,0.0
5.0,1.0,4.20465,0.9347875,0.7831,0.0,0.0
6.0,1.0,6.2961874,0.76355,0.7728125,0.0,0.0
7.0,1.0,5.4761877,1.107675,0.67853755,0.0,0.0
8.0,1.0,7.330162,1.4787874,0.70631254,0.0,0.0
9.0,1.0,29.10795,1.4826876,0.4917125,0.0,0.0
0.0,2.0,13.214774,1.2313501,0.80156255,0.06345,-0.06345
1.0,2.0,6.9287624,1.3380251,0.878275,0.009875,-0.009875
2.0,2.0,5.645488,0.8189374,0.8623875,0.0,0.0
3.0,2.0,5.0969877,0.6898,0.7786875,0.0,0.0
4.0,2.0,4.2403626,0.8145625,0.80535007,0.0,0.0
5.0,2.0,3.7555625,0.8004125,0.8034125,0.0,0.0
6.0,2.0,4.7447,0.74551255,0.8285625,0.0,0.0
7.0,2.0,3.4211497,0.970975,0.7991751,0.0,0.0
8.0,2.0,4.9665623,0.9980625,0.79498756,0.0,0.0
9.0,2.0,21.287874,1.3779,0.6369375,0.0,0.0
0.0,3.0,13.3508625,1.0976126,0.79976255,0.0652375,-0.0652375
1.0,3.0,7.7366247,1.3120875,0.86392504,0.0242,-0.0242
2.0,3.0,6.3887124,0.7955125,0.84658754,0.0158125,-0.0158125
3.0,3.0,2.3475,0.5622625,0.88885003,0.0,0.0
4.0,3.0,2.8514752,0.73391247,0.868575,0.0,0.0
5.0,3.0,2.9791,0.69495,0.85097504,0.0,0.0
6.0,3.0,3.8091002,0.66926247,0.8640625,0.0,0.0
7.0,3.0,2.59165,0.82175,0.8478625,0.0,0.0
8.0,3.0,3.9894128,0.7940875,0.83703744,0.0,0.0
9.0,3.0,15.460913,1.0941,0.73817503,0.0,0.0
0.0,4.0,20.447075,1.18205,0.68855,0.17648749,-0.17648749
1.0,4.0,10.02355,1.5661875,0.82333744,0.064775,-0.064775
2.0,4.0,8.167075,1.0380001,0.8058625,0.0565125,-0.0565125
3.0,4.0,2.6464875,0.5740625,0.86528754,0.0235625,-0.0235625
4.0,4.0,1.5723749,0.64876246,0.92805004,0.0,0.0
5.0,4.0,2.620975,0.6678,0.8653375,0.0,0.0
6.0,4.0,3.2027624,0.5597625,0.885,0.0,0.0
7.0,4.0,2.1389377,0.7802,0.87443745,0.0,0.0
8.0,4.0,3.4483125,0.8073625,0.86917496,0.0,0.0
9.0,4.0,10.863225,0.90955,0.81363755,0.0,0.0
0.0,5.0,19.678864,1.2538749,0.6962124,0.1688,-0.1688
1.0,5.0,9.72585,1.3242874,0.82823753,0.0598625,-0.0598625
2.0,5.0,8.665449,1.07655,0.80138755,0.061000004,-0.061000004
3.0,5.0,3.0248628,0.58526254,0.85731244,0.031525,-0.031525
4.0,5.0,2.1963873,0.6955,0.8987375,0.029324997,-0.029324997
5.0,5.0,2.0386,0.6560875,0.89663756,0.0,0.0
6.0,5.0,3.1591501,0.5949375,0.8842375,0.0,0.0
7.0,5.0,2.3001876,0.8351625,0.864975,0.0,0.0
8.0,5.0,3.3467875,0.95552504,0.8767875,0.0,0.0
9.0,5.0,12.331224,0.9134875,0.781725,0.0,0.0
0.0,6.0,21.26025,1.2908626,0.6779001,0.1871375,-0.1871375
1.0,6.0,9.898,1.3332375,0.82558745,0.062525,-0.062525
2.0,6.0,7.430075,1.0905375,0.8264,0.035987496,-0.035987496
3.0,6.0,2.6070623,0.6130625,0.87567496,0.013199999,-0.013199999
4.0,6.0,2.2609499,0.7443375,0.8956625,0.032424998,-0.032424998
5.0,6.0,2.5598874,0.7033375,0.8670875,0.029537499,-0.029537499
6.0,6.0,2.1730125,0.575125,0.9207375,0.0,0.0
7.0,6.0,1.7370123,0.807425,0.8980375,0.0,0.0
8.0,6.0,2.8098376,1.002575,0.89914995,0.0,0.0
9.0,6.0,8.876901,0.95203745,0.84385,0.0,0.0
0.0,7.0,18.857924,1.4692626,0.7149625,0.1500625,-0.1500625
1.0,7.0,7.2531624,1.2830501,0.8717375,0.016375,-0.016375
2.0,7.0,6.99035,1.1678499,0.84052503,0.0218625,-0.0218625
3.0,7.0,2.8839872,0.6315125,0.8535625,0.0353,-0.0353
4.0,7.0,2.4306498,0.725,0.887375,0.040700004,-0.040700004
5.0,7.0,2.3138,0.705575,0.8807375,0.0159,-0.0159
6.0,7.0,2.7989874,0.5510125,0.89425004,0.0264875,-0.0264875
7.0,7.0,1.4273499,0.7271625,0.9162,0.0,0.0
8.0,7.0,2.6829,1.058075,0.88815,0.0,0.0
9.0,7.0,8.273487,1.026325,0.852875,0.0,0.0
0.0,8.0,22.406986,1.37795,0.6598375,0.2051875,-0.2051875
1.0,8.0,10.9024,1.2904624,0.8074,0.0807125,-0.0807125
2.0,8.0,8.028362,1.0594625,0.8063125,0.056050003,-0.056050003
3.0,8.0,2.7113624,0.65498745,0.871475,0.0173875,-0.0173875
4.0,8.0,2.2999375,0.7864375,0.89393747,0.034125,-0.034125
5.0,8.0,2.5511,0.6990624,0.8646249,0.0320125,-0.0320125
6.0,8.0,2.69745,0.5993125,0.89983755,0.020900002,-0.020900002
7.0,8.0,2.0428874,0.735325,0.8800625,0.036125,-0.036125
8.0,8.0,2.38255,0.85895,0.89637494,0.0,0.0
9.0,8.0,8.744175,0.8887,0.84723747,0.0,0.0
0.0,9.0,18.695013,1.4162499,0.72055,0.14446251,-0.14446251
1.0,9.0,9.458038,1.4186251,0.83445,0.053674996,-0.053674996
2.0,9.0,8.111099,1.1964875,0.80695,0.0554,-0.0554
3.0,9.0,4.7781873,0.75197506,0.7659875,0.1228875,-0.1228875
4.0,9.0,3.3482127,0.89857495,0.84519994,0.082875,-0.082875
5.0,9.0,2.8036876,0.7912,0.86364996,0.0329875,-0.0329875
6.0,9.0,3.4960625,0.6678125,0.8713,0.049475,-0.049475
7.0,9.0,2.1961374,0.82945,0.87109995,0.045124996,-0.045124996
8.0,9.0,2.7003624,0.88256246,0.881175,0.0152,-0.0152
9.0,9.0,4.6268373,0.820775,0.9176875,0.0,0.0
