eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,0.08424487,0.06475954,0.0011629622,0.0,0.0
0.0,0.0,0.6123024,0.06920838,0.010476291,0.0,0.0
0.0,0.0,0.35866186,0.05031942,0.008967687,0.0,0.0
0.0,0.0,0.49279547,0.023766402,0.021008246,0.0,0.0
0.0,0.0,0.48101166,0.027015686,0.021932455,0.0,0.0
0.0,0.0,0.39472687,0.0331837,0.021202894,0.0,0.0
0.0,0.0,0.5233069,0.024582643,0.018248247,0.0,0.0
0.0,0.0,0.33543363,0.032597616,0.01969533,0.0,0.0
0.0,0.0,0.69437,0.08428937,0.034929033,0.0,0.0
0.0,0.0,1.6727017,0.037467826,0.031229308,0.0,0.0
0.0,0.0,0.6271511,0.12811388,0.009851005,0.010009215,0.010009215
0.0,0.0,0.2677003,0.12152287,0.0047086235,0.0,0.0
0.0,0.0,0.3456792,0.114427455,0.009757936,0.0,0.0
0.0,0.0,0.6319256,0.05137254,0.027669145,0.0,0.0
0.0,0.0,0.28159392,0.0648243,0.012929304,0.0,0.0
0.0,0.0,0.22543871,0.077573694,0.010991484,0.0,0.0
0.0,0.0,0.15967594,0.06320954,0.0057769986,0.0,0.0
0.0,0.0,0.37304813,0.11624147,0.02188708,0.0,0.0
0.0,0.0,0.68378484,0.21614257,0.03214274,0.0,0.0
0.0,0.0,1.7078264,0.0809765,0.032218527,0.0,0.0
0.0,0.0,0.42998055,0.048152402,0.006702599,0.0067762462,0.0067762462
0.0,0.0,0.45222658,0.082718536,0.007932179,0.0049203024,0.0049203024
0.0,0.0,0.052652363,0.024212603,0.0013373928,0.0,0.0
0.0,0.0,0.20267463,0.030399712,0.009889688,0.0,0.0
0.0,0.0,0.13802826,0.038215347,0.0063322466,0.0,0.0
0.0,0.0,0.13156857,0.04427766,0.0070575117,0.0,0.0
0.0,0.0,0.26141614,0.039546248,0.009499336,0.0,0.0
0.0,0.0,0.07602991,0.05599284,0.004475408,0.0,0.0
0.0,0.0,0.17375973,0.060393773,0.0077792043,0.0,0.0
0.0,0.0,0.96918726,0.05708146,0.01646997,0.0,0.0
0.0,0.0,0.6156385,0.054083362,0.00905883,0.00931396,0.00931396
0.0,0.0,0.32899365,0.12147559,0.0057681776,0.0066479323,0.0066479323
0.0,0.0,0.11556577,0.02184464,0.003121469,0.0031266746,0.0031266746
0.0,0.0,0.050279044,0.00900735,0.0021517347,0.0,0.0
0.0,0.0,0.080237605,0.021305429,0.00371812,0.0,0.0
0.0,0.0,0.0839736,0.029812954,0.004815021,0.0,0.0
0.0,0.0,0.03691055,0.012499789,0.0015936889,0.0,0.0
0.0,0.0,0.050937105,0.06431094,0.0029866206,0.0,0.0
0.0,0.0,0.23467652,0.043168455,0.011218726,0.0,0.0
0.0,0.0,0.481665,0.058235344,0.008121693,0.0,0.0
0.0,0.0,0.65073484,0.049571007,0.010698012,0.010241635,0.010241635
0.0,0.0,0.7482663,0.11092036,0.013187861,0.011109315,0.011109315
0.0,0.0,0.2618811,0.06340919,0.0055185896,0.005708423,0.005708423
0.0,0.0,0.096590355,0.0139748035,0.005467963,0.0059778625,0.0059778625
0.0,0.0,0.048092086,0.014934936,0.0022164118,0.0,0.0
0.0,0.0,0.08575219,0.019429095,0.004929728,0.0,0.0
0.0,0.0,0.098114446,0.020948032,0.003705735,0.0,0.0
0.0,0.0,0.047844287,0.030990483,0.00280621,0.0,0.0
0.0,0.0,0.14232522,0.046059802,0.008214134,0.0,0.0
0.0,0.0,0.3960199,0.017797546,0.00702814,0.0,0.0
0.0,0.0,1.0142183,0.036399566,0.015779678,0.015253035,0.015253035
0.0,0.0,0.7313431,0.119443126,0.012872347,0.011601071,0.011601071
0.0,0.0,0.46466607,0.07016778,0.009622811,0.009018453,0.009018453
0.0,0.0,0.10550505,0.012793166,0.004848572,0.004988424,0.004988424
0.0,0.0,0.11446775,0.012784845,0.0053448416,0.0044729044,0.0044729044
0.0,0.0,0.06390761,0.020774778,0.0031100356,0.0,0.0
0.0,0.0,0.1027301,0.011444742,0.0037549748,0.0,0.0
0.0,0.0,0.14530185,0.01301133,0.008526845,0.0,0.0
0.0,0.0,0.14691071,0.05948314,0.005806773,0.0,0.0
0.0,0.0,0.47883448,0.042328104,0.008283975,0.0,0.0
0.0,0.0,1.2078782,0.040871624,0.018417647,0.01884953,0.01884953
0.0,0.0,0.996405,0.103100285,0.017496033,0.018407727,0.018407727
0.0,0.0,0.32364726,0.05351979,0.008244393,0.008882207,0.008882207
0.0,0.0,0.087166145,0.011174399,0.0041423775,0.0046260133,0.0046260133
0.0,0.0,0.063788675,0.0116691915,0.0029423435,0.0026046836,0.0026046836
0.0,0.0,0.0983309,0.017757807,0.005488504,0.005625597,0.005625597
0.0,0.0,0.04963223,0.016154543,0.0020729944,0.0,0.0
0.0,0.0,0.103891656,0.02537306,0.0061036716,0.0,0.0
0.0,0.0,0.10741668,0.0543004,0.0062599997,0.0,0.0
0.0,0.0,0.36741766,0.030068053,0.0064005847,0.0,0.0
0.0,0.0,1.3465118,0.05893005,0.019781232,0.02016928,0.02016928
0.0,0.0,0.8017733,0.07597459,0.014242184,0.015694724,0.015694724
0.0,0.0,0.32961679,0.064033054,0.007748038,0.0075315894,0.0075315894
0.0,0.0,0.16039784,0.01553902,0.009716736,0.008659821,0.008659821
0.0,0.0,0.15384923,0.0115110865,0.0072048176,0.0059422217,0.0059422217
0.0,0.0,0.085571386,0.014123712,0.0044167046,0.004371213,0.004371213
0.0,0.0,0.17859903,0.012853155,0.0070000053,0.007380115,0.007380115
0.0,0.0,0.05626925,0.016117759,0.0033154949,0.0,0.0
0.0,0.0,0.16129884,0.07505373,0.013548712,0.0,0.0
0.0,0.0,0.2701618,0.036799446,0.0048087896,0.0,0.0
0.0,0.0,1.782079,0.06565554,0.02582281,0.026259972,0.026259972
0.0,0.0,1.0239885,0.15729734,0.01792387,0.020880222,0.020880222
0.0,0.0,0.5074092,0.034447234,0.013683709,0.014707225,0.014707225
0.0,0.0,0.06977635,0.012668908,0.004392811,0.004257475,0.004257475
0.0,0.0,0.06772451,0.022601983,0.0031713406,0.002632845,0.002632845
0.0,0.0,0.073170446,0.019259725,0.0041763494,0.0050713504,0.0050713504
0.0,0.0,0.073568925,0.019969195,0.0029580141,0.0037080992,0.0037080992
0.0,0.0,0.11580192,0.014534583,0.0067911632,0.008692778,0.008692778
0.0,0.0,0.047182854,0.025834434,0.004401909,0.0,0.0
0.0,0.0,0.18222229,0.026203623,0.0039006192,0.0,0.0
0.0,0.0,1.0440464,0.056649778,0.015412098,0.015754836,0.015754836
